Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1734776695,88.00, 181.00, 47.00, 445.00, 30.00, 284.00, 262.00, 163.00, 51.80, 23.20
1734776696,87.00, 181.00, 47.00, 447.00, 30.00, 286.00, 262.00, 164.00, 51.80, 23.20
1734776697,87.00, 180.00, 47.00, 447.00, 30.00, 288.00, 260.00, 163.00, 51.80, 23.20
1734776698,88.00, 181.00, 48.00, 448.00, 31.00, 287.00, 262.00, 162.00, 51.80, 23.20
1734776699,87.00, 184.00, 49.00, 449.00, 31.00, 288.00, 257.00, 159.00, 51.80, 23.20
1734776700,87.00, 186.00, 49.00, 451.00, 32.00, 289.00, 258.00, 160.00, 51.80, 23.20
1734776701,87.00, 182.00, 46.00, 447.00, 30.00, 289.00, 252.00, 152.00, 51.80, 23.20
1734776702,87.00, 182.00, 51.00, 447.00, 30.00, 285.00, 250.00, 148.00, 51.80, 23.20
1734776703,88.00, 188.00, 52.00, 447.00, 30.00, 291.00, 252.00, 150.00, 51.80, 23.20
1734776704,87.00, 190.00, 51.00, 449.00, 31.00, 291.00, 253.00, 149.00, 51.80, 23.20
1734776705,88.00, 190.00, 53.00, 449.00, 31.00, 293.00, 255.00, 161.00, 51.80, 23.20
1734776706,88.00, 188.00, 49.00, 448.00, 32.00, 294.00, 250.00, 153.00, 51.80, 23.20
1734776707,88.00, 182.00, 46.00, 443.00, 30.00, 288.00, 244.00, 140.00, 51.80, 23.20
1734776708,88.00, 177.00, 45.00, 445.00, 30.00, 288.00, 237.00, 145.00, 51.80, 23.20
1734776709,88.00, 185.00, 51.00, 449.00, 30.00, 291.00, 248.00, 158.00, 51.80, 23.20
1734776710,88.00, 187.00, 49.00, 454.00, 32.00, 298.00, 257.00, 171.00, 51.80, 23.20
1734776711,87.00, 179.00, 46.00, 449.00, 31.00, 294.00, 260.00, 170.00, 51.80, 23.20
1734776712,88.00, 179.00, 46.00, 450.00, 31.00, 292.00, 262.00, 169.00, 51.80, 23.20
1734776713,86.00, 176.00, 46.00, 449.00, 31.00, 294.00, 264.00, 169.00, 51.80, 23.20
1734776714,87.00, 182.00, 47.00, 452.00, 31.00, 294.00, 266.00, 173.00, 51.80, 23.20
1734776715,87.00, 182.00, 50.00, 453.00, 30.00, 297.00, 270.00, 177.00, 51.80, 23.20
1734776717,87.00, 180.00, 47.00, 453.00, 32.00, 299.00, 271.00, 175.00, 51.80, 23.20
1734776718,87.00, 190.00, 55.00, 454.00, 32.00, 303.00, 274.00, 177.00, 51.80, 23.20
1734776719,88.00, 199.00, 61.00, 458.00, 32.00, 309.00, 276.00, 180.00, 51.80, 23.20
1734776720,89.00, 202.00, 58.00, 460.00, 33.00, 315.00, 278.00, 182.00, 51.80, 23.20
1734776721,89.00, 207.00, 64.00, 464.00, 32.00, 315.00, 274.00, 183.00, 51.80, 23.20
1734776722,90.00, 211.00, 64.00, 465.00, 32.00, 324.00, 274.00, 182.00, 51.80, 23.20
1734776723,91.00, 212.00, 64.00, 466.00, 32.00, 325.00, 282.00, 188.00, 51.80, 23.20
1734776724,90.00, 218.00, 68.00, 469.00, 33.00, 330.00, 275.00, 186.00, 51.80, 23.20
1734776725,91.00, 218.00, 66.00, 469.00, 34.00, 333.00, 279.00, 188.00, 51.80, 23.20
