Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1734776439,80.00, 114.00, 27.00, 379.00, 25.00, 211.00, 160.00, 60.00, 50.60, 23.60
1734776440,79.00, 113.00, 27.00, 379.00, 25.00, 209.00, 162.00, 60.00, 50.60, 23.60
1734776441,80.00, 115.00, 27.00, 379.00, 24.00, 209.00, 162.00, 60.00, 50.60, 23.60
1734776442,80.00, 114.00, 27.00, 379.00, 25.00, 209.00, 161.00, 60.00, 50.60, 23.60
1734776443,79.00, 114.00, 27.00, 378.00, 25.00, 210.00, 162.00, 59.00, 50.60, 23.60
1734776444,79.00, 114.00, 27.00, 380.00, 24.00, 208.00, 162.00, 60.00, 50.60, 23.60
1734776445,80.00, 114.00, 28.00, 379.00, 25.00, 209.00, 161.00, 60.00, 50.60, 23.60
1734776446,79.00, 113.00, 27.00, 379.00, 25.00, 210.00, 163.00, 61.00, 50.60, 23.60
1734776447,80.00, 114.00, 28.00, 379.00, 24.00, 209.00, 162.00, 60.00, 50.60, 23.60
1734776448,79.00, 115.00, 27.00, 380.00, 24.00, 210.00, 162.00, 60.00, 50.60, 23.60
1734776449,80.00, 115.00, 27.00, 380.00, 25.00, 210.00, 164.00, 61.00, 50.60, 23.60
1734776450,80.00, 114.00, 28.00, 380.00, 25.00, 210.00, 163.00, 61.00, 50.60, 23.60
1734776451,80.00, 115.00, 27.00, 380.00, 25.00, 210.00, 162.00, 61.00, 50.60, 23.60
1734776452,80.00, 114.00, 27.00, 380.00, 25.00, 210.00, 162.00, 60.00, 50.60, 23.60
1734776453,80.00, 114.00, 28.00, 379.00, 24.00, 210.00, 163.00, 61.00, 50.60, 23.60
1734776454,80.00, 114.00, 27.00, 379.00, 25.00, 209.00, 161.00, 60.00, 50.60, 23.60
1734776455,80.00, 114.00, 27.00, 380.00, 24.00, 210.00, 162.00, 60.00, 50.60, 23.60
1734776456,80.00, 114.00, 27.00, 380.00, 25.00, 208.00, 162.00, 60.00, 50.60, 23.60
1734776457,79.00, 112.00, 27.00, 377.00, 25.00, 210.00, 162.00, 60.00, 50.60, 23.60
1734776458,80.00, 115.00, 27.00, 379.00, 25.00, 210.00, 161.00, 59.00, 50.60, 23.60
1734776459,80.00, 115.00, 27.00, 379.00, 25.00, 209.00, 162.00, 61.00, 50.60, 23.60
1734776460,79.00, 113.00, 27.00, 378.00, 25.00, 210.00, 161.00, 60.00, 50.60, 23.60
1734776461,80.00, 113.00, 27.00, 377.00, 25.00, 208.00, 161.00, 59.00, 50.60, 23.60
1734776462,80.00, 114.00, 27.00, 378.00, 25.00, 210.00, 161.00, 60.00, 50.60, 23.60
1734776463,81.00, 115.00, 28.00, 378.00, 25.00, 210.00, 164.00, 61.00, 50.60, 23.60
1734776464,79.00, 114.00, 28.00, 377.00, 24.00, 211.00, 164.00, 60.00, 50.60, 23.60
1734776465,80.00, 116.00, 28.00, 381.00, 24.00, 211.00, 163.00, 61.00, 50.60, 23.60
1734776466,80.00, 116.00, 27.00, 380.00, 25.00, 211.00, 163.00, 61.00, 50.60, 23.60
1734776467,80.00, 115.00, 27.00, 379.00, 25.00, 212.00, 162.00, 60.00, 50.60, 23.60
1734776468,80.00, 116.00, 28.00, 380.00, 25.00, 212.00, 162.00, 60.00, 50.60, 23.60
