Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1741688786,22.00, 46.00, 64.00, 46.00, 393.00, 24.00, 296.00, 347.00,,
1741688787,24.00, 49.00, 68.00, 50.00, 407.00, 25.00, 216.00, 265.00,,
1741688788,24.00, 50.00, 68.00, 49.00, 408.00, 26.00, 327.00, 357.00,,
1741688789,25.00, 49.00, 67.00, 49.00, 408.00, 26.00, 181.00, 219.00,,
1741688790,24.00, 50.00, 67.00, 49.00, 407.00, 26.00, 261.00, 303.00,,
1741688791,24.00, 49.00, 68.00, 49.00, 406.00, 26.00, 244.00, 269.00,,
1741688792,24.00, 49.00, 67.00, 49.00, 405.00, 26.00, 174.00, 211.00,,
1741688793,24.00, 50.00, 67.00, 49.00, 407.00, 25.00, 312.00, 340.00,,
1741688794,25.00, 50.00, 67.00, 49.00, 408.00, 26.00, 179.00, 214.00,,
1741688795,25.00, 50.00, 68.00, 49.00, 407.00, 26.00, 238.00, 280.00,,
1741688796,24.00, 49.00, 67.00, 49.00, 405.00, 25.00, 258.00, 281.00,,
1741688797,24.00, 49.00, 67.00, 50.00, 405.00, 25.00, 167.00, 203.00,,
1741688798,24.00, 49.00, 67.00, 49.00, 403.00, 26.00, 307.00, 339.00,,
1741688799,24.00, 49.00, 67.00, 49.00, 407.00, 25.00, 183.00, 218.00,,
1741688800,24.00, 49.00, 67.00, 49.00, 407.00, 26.00, 222.00, 262.00,,
1741688801,24.00, 49.00, 67.00, 48.00, 408.00, 26.00, 274.00, 297.00,,
1741688802,23.00, 50.00, 68.00, 49.00, 407.00, 26.00, 164.00, 201.00,,
1741688803,24.00, 50.00, 67.00, 49.00, 407.00, 26.00, 296.00, 331.00,,
1741688804,24.00, 49.00, 67.00, 49.00, 407.00, 26.00, 191.00, 221.00,,
1741688805,24.00, 49.00, 67.00, 49.00, 407.00, 26.00, 202.00, 242.00,,
1741688806,24.00, 50.00, 67.00, 49.00, 407.00, 25.00, 292.00, 315.00,,
1741688807,24.00, 49.00, 67.00, 49.00, 404.00, 26.00, 164.00, 200.00,,
1741688808,24.00, 49.00, 67.00, 49.00, 407.00, 26.00, 277.00, 315.00,,
1741688809,24.00, 49.00, 67.00, 49.00, 406.00, 26.00, 216.00, 239.00,,
1741688810,25.00, 49.00, 67.00, 49.00, 406.00, 25.00, 178.00, 215.00,,
1741688811,24.00, 49.00, 67.00, 48.00, 403.00, 26.00, 306.00, 331.00,,
1741688812,24.00, 49.00, 66.00, 49.00, 406.00, 25.00, 170.00, 204.00,,
1741688813,24.00, 50.00, 67.00, 49.00, 406.00, 26.00, 239.00, 282.00,,
1741688814,25.00, 50.00, 67.00, 50.00, 406.00, 25.00, 261.00, 284.00,,
1741688815,24.00, 49.00, 67.00, 49.00, 406.00, 26.00, 163.00, 199.00,,
1741688816,24.00, 49.00, 67.00, 49.00, 407.00, 26.00, 296.00, 331.00,,
1741688817,24.00, 49.00, 67.00, 49.00, 406.00, 25.00, 195.00, 225.00,,
1741688818,25.00, 50.00, 66.00, 49.00, 406.00, 26.00, 187.00, 227.00,,
1741688819,23.00, 49.00, 67.00, 49.00, 406.00, 26.00, 302.00, 327.00,,
1741688820,24.00, 49.00, 67.00, 49.00, 406.00, 26.00, 168.00, 203.00,,
1741688821,24.00, 48.00, 66.00, 49.00, 405.00, 25.00, 250.00, 292.00,,
1741688822,24.00, 49.00, 66.00, 49.00, 404.00, 26.00, 246.00, 270.00,,
1741688823,24.00, 49.00, 67.00, 49.00, 406.00, 26.00, 165.00, 202.00,,
1741688824,25.00, 49.00, 67.00, 49.00, 406.00, 26.00, 306.00, 338.00,,
1741688825,24.00, 49.00, 68.00, 49.00, 406.00, 26.00, 180.00, 214.00,,
