Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1744971021,6.00, 11.00, 19.00, 33.00, 300.00, 79.00, 320.00, 394.00,,
1744971022,6.00, 11.00, 19.00, 33.00, 300.00, 80.00, 313.00, 386.00,,
1744971023,6.00, 11.00, 19.00, 33.00, 301.00, 80.00, 244.00, 302.00,,
1744971024,6.00, 11.00, 19.00, 33.00, 300.00, 80.00, 204.00, 257.00,,
1744971025,5.00, 11.00, 20.00, 32.00, 300.00, 80.00, 264.00, 314.00,,
1744971026,6.00, 11.00, 19.00, 32.00, 301.00, 80.00, 256.00, 298.00,,
1744971027,6.00, 11.00, 19.00, 32.00, 300.00, 79.00, 200.00, 246.00,,
1744971028,6.00, 11.00, 19.00, 32.00, 300.00, 80.00, 239.00, 288.00,,
1744971029,6.00, 11.00, 19.00, 31.00, 301.00, 80.00, 271.00, 313.00,,
1744971030,6.00, 11.00, 19.00, 32.00, 301.00, 80.00, 204.00, 250.00,,
1744971031,6.00, 11.00, 19.00, 32.00, 301.00, 79.00, 220.00, 268.00,,
1744971032,5.00, 11.00, 19.00, 32.00, 301.00, 80.00, 278.00, 321.00,,
1744971033,6.00, 11.00, 19.00, 32.00, 300.00, 80.00, 218.00, 259.00,,
1744971034,6.00, 11.00, 19.00, 32.00, 300.00, 79.00, 206.00, 253.00,,
1744971035,6.00, 11.00, 19.00, 32.00, 301.00, 80.00, 273.00, 318.00,,
1744971036,6.00, 11.00, 19.00, 32.00, 301.00, 80.00, 234.00, 275.00,,
1744971037,6.00, 11.00, 19.00, 32.00, 299.00, 79.00, 200.00, 245.00,,
1744971038,6.00, 11.00, 19.00, 32.00, 300.00, 79.00, 262.00, 309.00,,
1744971039,6.00, 11.00, 19.00, 32.00, 301.00, 80.00, 252.00, 293.00,,
1744971040,6.00, 11.00, 19.00, 32.00, 300.00, 79.00, 197.00, 243.00,,
1744971041,6.00, 11.00, 19.00, 33.00, 301.00, 80.00, 241.00, 290.00,,
1744971042,8.00, 12.00, 19.00, 33.00, 301.00, 80.00, 267.00, 309.00,,
1744971043,6.00, 11.00, 19.00, 32.00, 299.00, 79.00, 202.00, 247.00,,
1744971044,6.00, 11.00, 20.00, 32.00, 301.00, 80.00, 221.00, 269.00,,
1744971045,5.00, 11.00, 19.00, 33.00, 301.00, 80.00, 276.00, 318.00,,
1744971046,6.00, 11.00, 19.00, 32.00, 299.00, 80.00, 216.00, 258.00,,
1744971047,7.00, 11.00, 19.00, 32.00, 301.00, 80.00, 205.00, 252.00,,
1744971048,6.00, 11.00, 19.00, 33.00, 300.00, 79.00, 271.00, 316.00,,
1744971049,6.00, 11.00, 19.00, 32.00, 299.00, 79.00, 241.00, 282.00,,
1744971050,6.00, 11.00, 19.00, 32.00, 300.00, 80.00, 197.00, 242.00,,
1744971051,6.00, 11.00, 19.00, 33.00, 300.00, 80.00, 245.00, 293.00,,
1744971052,5.00, 12.00, 19.00, 32.00, 300.00, 79.00, 267.00, 310.00,,
1744971053,6.00, 11.00, 19.00, 32.00, 301.00, 79.00, 203.00, 248.00,,
1744971054,6.00, 11.00, 19.00, 32.00, 300.00, 80.00, 215.00, 263.00,,
1744971055,6.00, 11.00, 19.00, 32.00, 299.00, 79.00, 276.00, 321.00,,
1744971056,6.00, 11.00, 19.00, 31.00, 300.00, 80.00, 230.00, 272.00,,
1744971057,6.00, 11.00, 19.00, 32.00, 301.00, 80.00, 199.00, 245.00,,
1744971058,6.00, 11.00, 19.00, 32.00, 300.00, 79.00, 252.00, 300.00,,
1744971059,6.00, 11.00, 19.00, 32.00, 301.00, 80.00, 261.00, 302.00,,
1744971060,6.00, 11.00, 20.00, 32.00, 300.00, 80.00, 201.00, 245.00,,
