Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1741691454,24.00, 75.00, 96.00, 55.00, 549.00, 38.00, 340.00, 418.00,,
1741691455,26.00, 78.00, 100.00, 58.00, 563.00, 40.00, 335.00, 394.00,,
1741691456,26.00, 78.00, 100.00, 57.00, 563.00, 39.00, 294.00, 336.00,,
1741691457,25.00, 78.00, 100.00, 58.00, 561.00, 40.00, 228.00, 257.00,,
1741691458,26.00, 78.00, 99.00, 57.00, 559.00, 40.00, 191.00, 219.00,,
1741691459,25.00, 78.00, 99.00, 58.00, 562.00, 40.00, 181.00, 210.00,,
1741691460,26.00, 79.00, 100.00, 58.00, 561.00, 40.00, 200.00, 236.00,,
1741691461,25.00, 78.00, 100.00, 58.00, 561.00, 39.00, 249.00, 293.00,,
1741691462,25.00, 77.00, 99.00, 56.00, 559.00, 39.00, 293.00, 337.00,,
1741691463,25.00, 78.00, 99.00, 57.00, 561.00, 39.00, 298.00, 336.00,,
1741691464,25.00, 78.00, 100.00, 57.00, 561.00, 40.00, 261.00, 291.00,,
1741691465,25.00, 78.00, 100.00, 57.00, 562.00, 39.00, 206.00, 229.00,,
1741691466,26.00, 78.00, 99.00, 57.00, 562.00, 40.00, 184.00, 210.00,,
1741691467,26.00, 78.00, 99.00, 57.00, 562.00, 39.00, 178.00, 207.00,,
1741691468,25.00, 78.00, 99.00, 57.00, 559.00, 39.00, 194.00, 229.00,,
1741691469,26.00, 77.00, 99.00, 57.00, 562.00, 39.00, 236.00, 278.00,,
1741691470,26.00, 78.00, 99.00, 58.00, 562.00, 39.00, 282.00, 329.00,,
1741691471,25.00, 78.00, 99.00, 57.00, 562.00, 40.00, 299.00, 342.00,,
1741691472,25.00, 78.00, 100.00, 57.00, 563.00, 40.00, 279.00, 313.00,,
1741691473,25.00, 78.00, 100.00, 57.00, 563.00, 40.00, 240.00, 264.00,,
1741691474,26.00, 77.00, 99.00, 58.00, 562.00, 40.00, 196.00, 223.00,,
1741691475,25.00, 78.00, 99.00, 57.00, 563.00, 39.00, 183.00, 209.00,,
1741691476,26.00, 78.00, 99.00, 57.00, 561.00, 39.00, 178.00, 208.00,,
1741691477,26.00, 77.00, 99.00, 57.00, 560.00, 39.00, 193.00, 228.00,,
1741691478,26.00, 78.00, 100.00, 57.00, 562.00, 39.00, 228.00, 269.00,,
1741691479,25.00, 78.00, 100.00, 58.00, 561.00, 39.00, 271.00, 318.00,,
1741691480,26.00, 78.00, 99.00, 57.00, 562.00, 39.00, 294.00, 338.00,,
1741691481,25.00, 77.00, 100.00, 58.00, 560.00, 39.00, 283.00, 319.00,,
1741691482,25.00, 77.00, 99.00, 58.00, 561.00, 39.00, 247.00, 274.00,,
1741691483,25.00, 77.00, 99.00, 57.00, 561.00, 39.00, 200.00, 223.00,,
1741691484,25.00, 78.00, 99.00, 57.00, 561.00, 40.00, 184.00, 210.00,,
1741691485,25.00, 78.00, 99.00, 57.00, 562.00, 39.00, 179.00, 208.00,,
1741691486,25.00, 78.00, 100.00, 56.00, 562.00, 39.00, 194.00, 229.00,,
1741691487,25.00, 78.00, 99.00, 57.00, 562.00, 40.00, 237.00, 280.00,,
1741691488,24.00, 78.00, 100.00, 57.00, 562.00, 39.00, 280.00, 325.00,,
1741691489,25.00, 78.00, 99.00, 57.00, 559.00, 39.00, 298.00, 338.00,,
1741691490,25.00, 77.00, 99.00, 56.00, 560.00, 39.00, 277.00, 309.00,,
1741691491,25.00, 77.00, 99.00, 57.00, 558.00, 40.00, 228.00, 252.00,,
1741691492,25.00, 78.00, 100.00, 57.00, 562.00, 39.00, 188.00, 215.00,,
1741691493,25.00, 78.00, 100.00, 57.00, 562.00, 39.00, 174.00, 202.00,,
