Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1744800885,16.00, 34.00, 56.00, 48.00, 574.00, 142.00, 413.00, 504.00,,
1744800886,14.00, 35.00, 56.00, 47.00, 577.00, 143.00, 257.00, 340.00,,
1744800887,15.00, 34.00, 56.00, 48.00, 578.00, 142.00, 325.00, 382.00,,
1744800888,14.00, 34.00, 57.00, 47.00, 580.00, 143.00, 250.00, 288.00,,
1744800889,14.00, 34.00, 57.00, 46.00, 583.00, 144.00, 246.00, 289.00,,
1744800890,16.00, 36.00, 58.00, 49.00, 586.00, 144.00, 336.00, 364.00,,
1744800891,17.00, 38.00, 60.00, 49.00, 594.00, 147.00, 216.00, 254.00,,
1744800892,16.00, 40.00, 62.00, 52.00, 602.00, 150.00, 315.00, 354.00,,
1744800893,17.00, 41.00, 64.00, 53.00, 608.00, 151.00, 277.00, 305.00,,
1744800894,15.00, 41.00, 65.00, 55.00, 612.00, 152.00, 236.00, 276.00,,
1744800895,19.00, 43.00, 66.00, 55.00, 617.00, 154.00, 322.00, 351.00,,
1744800896,19.00, 43.00, 67.00, 56.00, 623.00, 155.00, 242.00, 277.00,,
1744800897,19.00, 44.00, 68.00, 56.00, 626.00, 156.00, 290.00, 327.00,,
1744800898,19.00, 44.00, 69.00, 55.00, 631.00, 157.00, 290.00, 318.00,,
1744800899,18.00, 45.00, 70.00, 56.00, 634.00, 158.00, 244.00, 280.00,,
1744800900,18.00, 45.00, 70.00, 55.00, 634.00, 158.00, 324.00, 354.00,,
1744800901,18.00, 45.00, 71.00, 55.00, 639.00, 159.00, 248.00, 282.00,,
1744800902,18.00, 46.00, 72.00, 55.00, 643.00, 160.00, 277.00, 313.00,,
1744800903,18.00, 46.00, 72.00, 54.00, 644.00, 160.00, 300.00, 328.00,,
1744800904,18.00, 46.00, 72.00, 54.00, 646.00, 161.00, 242.00, 278.00,,
1744800905,18.00, 47.00, 72.00, 53.00, 649.00, 161.00, 321.00, 352.00,,
1744800906,18.00, 47.00, 72.00, 52.00, 651.00, 162.00, 246.00, 277.00,,
1744800907,18.00, 47.00, 74.00, 55.00, 658.00, 161.00, 275.00, 312.00,,
1744800908,18.00, 50.00, 76.00, 56.00, 669.00, 165.00, 326.00, 350.00,,
1744800909,18.00, 53.00, 80.00, 59.00, 679.00, 168.00, 247.00, 282.00,,
1744800910,20.00, 55.00, 83.00, 60.00, 688.00, 172.00, 324.00, 356.00,,
1744800911,20.00, 56.00, 85.00, 61.00, 692.00, 173.00, 268.00, 297.00,,
1744800912,19.00, 57.00, 87.00, 62.00, 699.00, 176.00, 273.00, 308.00,,
1744800913,20.00, 58.00, 89.00, 63.00, 705.00, 178.00, 330.00, 353.00,,
1744800914,19.00, 60.00, 90.00, 63.00, 707.00, 179.00, 247.00, 280.00,,
1744800915,20.00, 60.00, 91.00, 63.00, 711.00, 181.00, 339.00, 367.00,,
1744800916,19.00, 60.00, 92.00, 63.00, 715.00, 182.00, 270.00, 299.00,,
1744800917,20.00, 61.00, 93.00, 63.00, 718.00, 183.00, 285.00, 318.00,,
1744800918,19.00, 62.00, 93.00, 63.00, 720.00, 184.00, 324.00, 348.00,,
1744800919,18.00, 61.00, 94.00, 62.00, 722.00, 185.00, 257.00, 291.00,,
1744800920,18.00, 62.00, 94.00, 62.00, 726.00, 186.00, 337.00, 364.00,,
1744800921,19.00, 62.00, 94.00, 61.00, 729.00, 186.00, 269.00, 299.00,,
1744800922,18.00, 63.00, 94.00, 62.00, 726.00, 185.00, 295.00, 327.00,,
1744800923,19.00, 63.00, 95.00, 61.00, 731.00, 187.00, 318.00, 342.00,,
1744800924,19.00, 63.00, 95.00, 60.00, 733.00, 186.00, 242.00, 277.00,,
