Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743678000,45.00, 281.00, 280.00, 86.00, 974.00, 260.00, 452.00, 514.00,,
1743678001,45.00, 283.00, 278.00, 86.00, 975.00, 260.00, 462.00, 516.00,,
1743678002,44.00, 282.00, 278.00, 86.00, 980.00, 260.00, 312.00, 368.00,,
1743678003,44.00, 280.00, 275.00, 86.00, 977.00, 258.00, 377.00, 422.00,,
1743678004,45.00, 281.00, 277.00, 86.00, 980.00, 259.00, 365.00, 392.00,,
1743678005,44.00, 280.00, 275.00, 86.00, 977.00, 258.00, 291.00, 323.00,,
1743678006,45.00, 278.00, 273.00, 86.00, 972.00, 256.00, 409.00, 433.00,,
1743678007,44.00, 279.00, 273.00, 86.00, 978.00, 256.00, 312.00, 336.00,,
1743678008,44.00, 278.00, 273.00, 86.00, 975.00, 256.00, 340.00, 367.00,,
1743678009,46.00, 279.00, 272.00, 88.00, 976.00, 255.00, 393.00, 412.00,,
1743678010,60.00, 292.00, 285.00, 104.00, 979.00, 273.00, 289.00, 311.00,,
1743678011,64.00, 302.00, 301.00, 112.00, 980.00, 291.00, 401.00, 420.00,,
1743678012,67.00, 312.00, 314.00, 116.00, 986.00, 304.00, 379.00, 389.00,,
1743678013,67.00, 316.00, 321.00, 119.00, 982.00, 310.00, 326.00, 344.00,,
1743678014,67.00, 322.00, 327.00, 120.00, 986.00, 315.00, 455.00, 465.00,,
1743678015,68.00, 325.00, 334.00, 121.00, 988.00, 320.00, 339.00, 355.00,,
1743678016,68.00, 326.00, 337.00, 121.00, 985.00, 324.00, 387.00, 405.00,,
1743678017,67.00, 329.00, 339.00, 121.00, 983.00, 324.00, 416.00, 424.00,,
1743678018,68.00, 331.00, 342.00, 121.00, 990.00, 329.00, 334.00, 351.00,,
1743678019,66.00, 330.00, 341.00, 119.00, 983.00, 327.00, 452.00, 465.00,,
1743678020,66.00, 332.00, 344.00, 119.00, 991.00, 330.00, 369.00, 384.00,,
1743678021,65.00, 331.00, 342.00, 118.00, 988.00, 327.00, 373.00, 393.00,,
1743678022,65.00, 332.00, 344.00, 118.00, 990.00, 329.00, 445.00, 452.00,,
1743678023,64.00, 331.00, 342.00, 117.00, 987.00, 327.00, 334.00, 354.00,,
1743678024,64.00, 332.00, 342.00, 117.00, 991.00, 327.00, 445.00, 462.00,,
1743678025,64.00, 331.00, 340.00, 115.00, 986.00, 325.00, 370.00, 386.00,,
1743678026,63.00, 331.00, 342.00, 115.00, 990.00, 325.00, 364.00, 385.00,,
1743678027,62.00, 329.00, 339.00, 114.00, 984.00, 323.00, 444.00, 453.00,,
1743678028,62.00, 330.00, 340.00, 114.00, 988.00, 323.00, 331.00, 350.00,,
1743678029,61.00, 330.00, 339.00, 114.00, 990.00, 322.00, 435.00, 453.00,,
1743678030,60.00, 328.00, 336.00, 112.00, 989.00, 319.00, 371.00, 389.00,,
1743678031,61.00, 328.00, 336.00, 112.00, 989.00, 320.00, 353.00, 375.00,,
1743678032,59.00, 326.00, 334.00, 111.00, 984.00, 316.00, 443.00, 452.00,,
1743678033,60.00, 326.00, 333.00, 111.00, 988.00, 316.00, 326.00, 346.00,,
1743678034,60.00, 327.00, 333.00, 110.00, 991.00, 315.00, 424.00, 444.00,,
1743678035,59.00, 325.00, 330.00, 110.00, 988.00, 313.00, 372.00, 388.00,,
1743678036,59.00, 325.00, 329.00, 109.00, 988.00, 312.00, 343.00, 366.00,,
1743678037,59.00, 325.00, 328.00, 109.00, 990.00, 310.00, 441.00, 451.00,,
1743678038,58.00, 324.00, 327.00, 109.00, 990.00, 309.00, 324.00, 344.00,,
1743678039,58.00, 322.00, 325.00, 108.00, 984.00, 307.00, 408.00, 431.00,,
