Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743590804,26.00, 102.00, 121.00, 61.00, 719.00, 88.00, 336.00, 414.00,,
1743590805,25.00, 102.00, 120.00, 61.00, 720.00, 88.00, 373.00, 457.00,,
1743590806,25.00, 102.00, 121.00, 61.00, 720.00, 87.00, 208.00, 281.00,,
1743590807,25.00, 102.00, 121.00, 61.00, 725.00, 88.00, 268.00, 335.00,,
1743590808,26.00, 102.00, 120.00, 61.00, 725.00, 88.00, 245.00, 287.00,,
1743590809,25.00, 102.00, 120.00, 60.00, 725.00, 87.00, 201.00, 257.00,,
1743590810,25.00, 102.00, 118.00, 60.00, 720.00, 87.00, 309.00, 343.00,,
1743590811,24.00, 101.00, 119.00, 61.00, 724.00, 88.00, 172.00, 222.00,,
1743590812,25.00, 101.00, 119.00, 61.00, 725.00, 87.00, 332.00, 373.00,,
1743590813,25.00, 101.00, 119.00, 60.00, 726.00, 87.00, 183.00, 229.00,,
1743590814,25.00, 101.00, 117.00, 60.00, 724.00, 85.00, 281.00, 335.00,,
1743590815,24.00, 101.00, 117.00, 60.00, 719.00, 85.00, 231.00, 270.00,,
1743590816,25.00, 100.00, 117.00, 60.00, 725.00, 85.00, 208.00, 262.00,,
1743590817,25.00, 100.00, 117.00, 60.00, 721.00, 86.00, 298.00, 332.00,,
1743590818,25.00, 100.00, 116.00, 60.00, 721.00, 85.00, 171.00, 222.00,,
1743590819,24.00, 99.00, 117.00, 60.00, 723.00, 85.00, 328.00, 367.00,,
1743590820,25.00, 100.00, 116.00, 60.00, 724.00, 85.00, 178.00, 224.00,,
1743590821,25.00, 100.00, 116.00, 59.00, 725.00, 85.00, 285.00, 337.00,,
1743590822,25.00, 99.00, 116.00, 60.00, 727.00, 85.00, 224.00, 264.00,,
1743590823,24.00, 99.00, 116.00, 60.00, 725.00, 84.00, 209.00, 263.00,,
1743590824,25.00, 99.00, 115.00, 59.00, 719.00, 83.00, 297.00, 331.00,,
1743590825,24.00, 98.00, 114.00, 59.00, 717.00, 82.00, 169.00, 219.00,,
1743590826,25.00, 99.00, 113.00, 59.00, 718.00, 83.00, 324.00, 366.00,,
1743590827,24.00, 99.00, 114.00, 59.00, 719.00, 83.00, 185.00, 229.00,,
1743590828,24.00, 98.00, 113.00, 59.00, 719.00, 83.00, 256.00, 311.00,,
1743590829,25.00, 97.00, 114.00, 59.00, 716.00, 83.00, 254.00, 290.00,,
1743590830,24.00, 98.00, 114.00, 59.00, 724.00, 82.00, 180.00, 232.00,,
1743590831,24.00, 98.00, 113.00, 59.00, 720.00, 82.00, 320.00, 357.00,,
1743590832,24.00, 98.00, 114.00, 58.00, 725.00, 82.00, 170.00, 217.00,,
1743590833,24.00, 98.00, 113.00, 59.00, 727.00, 84.00, 295.00, 346.00,,
1743590834,24.00, 97.00, 112.00, 58.00, 724.00, 82.00, 217.00, 259.00,,
1743590835,24.00, 96.00, 111.00, 58.00, 718.00, 81.00, 208.00, 262.00,,
1743590836,24.00, 97.00, 112.00, 59.00, 724.00, 82.00, 296.00, 331.00,,
1743590837,24.00, 97.00, 112.00, 58.00, 724.00, 82.00, 167.00, 217.00,,
1743590838,24.00, 96.00, 111.00, 58.00, 726.00, 81.00, 323.00, 367.00,,
1743590839,24.00, 97.00, 112.00, 58.00, 725.00, 81.00, 183.00, 228.00,,
1743590840,24.00, 96.00, 111.00, 58.00, 724.00, 81.00, 258.00, 313.00,,
1743590841,25.00, 96.00, 110.00, 58.00, 719.00, 81.00, 247.00, 282.00,,
1743590842,24.00, 95.00, 110.00, 57.00, 719.00, 80.00, 183.00, 235.00,,
1743590843,24.00, 96.00, 110.00, 58.00, 719.00, 80.00, 315.00, 350.00,,
