Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1744442170,7.00, 17.00, 28.00, 33.00, 425.00, 112.00, 366.00, 441.00,,
1744442171,8.00, 17.00, 28.00, 33.00, 424.00, 112.00, 286.00, 350.00,,
1744442172,7.00, 17.00, 29.00, 33.00, 424.00, 112.00, 225.00, 277.00,,
1744442173,8.00, 18.00, 28.00, 33.00, 426.00, 113.00, 280.00, 324.00,,
1744442174,7.00, 18.00, 28.00, 33.00, 426.00, 112.00, 250.00, 285.00,,
1744442175,7.00, 18.00, 28.00, 34.00, 425.00, 112.00, 216.00, 254.00,,
1744442176,8.00, 17.00, 28.00, 34.00, 423.00, 112.00, 279.00, 315.00,,
1744442177,7.00, 17.00, 28.00, 33.00, 423.00, 112.00, 245.00, 277.00,,
1744442178,7.00, 17.00, 28.00, 34.00, 426.00, 112.00, 216.00, 252.00,,
1744442179,7.00, 17.00, 28.00, 33.00, 425.00, 112.00, 277.00, 313.00,,
1744442180,8.00, 17.00, 28.00, 34.00, 425.00, 112.00, 247.00, 280.00,,
1744442181,7.00, 17.00, 28.00, 33.00, 425.00, 112.00, 214.00, 250.00,,
1744442182,7.00, 17.00, 28.00, 33.00, 424.00, 112.00, 272.00, 309.00,,
1744442183,8.00, 17.00, 28.00, 33.00, 425.00, 112.00, 253.00, 285.00,,
1744442184,7.00, 18.00, 28.00, 34.00, 424.00, 112.00, 212.00, 249.00,,
1744442185,7.00, 17.00, 28.00, 34.00, 424.00, 112.00, 267.00, 305.00,,
1744442186,7.00, 17.00, 28.00, 33.00, 424.00, 112.00, 260.00, 292.00,,
1744442187,8.00, 17.00, 29.00, 33.00, 422.00, 111.00, 210.00, 246.00,,
1744442188,7.00, 17.00, 28.00, 33.00, 422.00, 111.00, 257.00, 295.00,,
1744442189,7.00, 17.00, 28.00, 33.00, 423.00, 112.00, 267.00, 299.00,,
1744442190,7.00, 17.00, 28.00, 33.00, 423.00, 111.00, 213.00, 248.00,,
1744442191,8.00, 17.00, 28.00, 33.00, 424.00, 112.00, 246.00, 285.00,,
1744442192,7.00, 18.00, 28.00, 33.00, 423.00, 112.00, 275.00, 306.00,,
1744442193,7.00, 17.00, 28.00, 33.00, 424.00, 112.00, 216.00, 251.00,,
1744442194,7.00, 17.00, 28.00, 33.00, 424.00, 112.00, 236.00, 273.00,,
1744442195,7.00, 17.00, 28.00, 33.00, 422.00, 111.00, 280.00, 312.00,,
1744442196,8.00, 17.00, 28.00, 33.00, 421.00, 111.00, 220.00, 256.00,,
1744442197,8.00, 17.00, 28.00, 33.00, 421.00, 111.00, 227.00, 264.00,,
1744442198,7.00, 18.00, 28.00, 33.00, 421.00, 110.00, 283.00, 317.00,,
1744442199,7.00, 17.00, 28.00, 33.00, 422.00, 111.00, 227.00, 261.00,,
1744442200,7.00, 17.00, 28.00, 33.00, 422.00, 111.00, 219.00, 256.00,,
1744442201,7.00, 17.00, 28.00, 33.00, 423.00, 111.00, 281.00, 316.00,,
1744442202,8.00, 17.00, 28.00, 32.00, 421.00, 111.00, 236.00, 268.00,,
1744442203,7.00, 17.00, 28.00, 33.00, 421.00, 111.00, 214.00, 249.00,,
1744442204,7.00, 17.00, 28.00, 33.00, 421.00, 111.00, 273.00, 310.00,,
1744442205,7.00, 17.00, 28.00, 33.00, 422.00, 112.00, 251.00, 283.00,,
1744442206,7.00, 17.00, 28.00, 33.00, 421.00, 111.00, 211.00, 247.00,,
1744442207,7.00, 17.00, 28.00, 33.00, 422.00, 111.00, 258.00, 296.00,,
1744442208,7.00, 17.00, 28.00, 33.00, 422.00, 111.00, 266.00, 298.00,,
1744442209,7.00, 17.00, 28.00, 32.00, 420.00, 111.00, 214.00, 249.00,,
