Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1744795632,7.00, 12.00, 26.00, 36.00, 394.00, 93.00, 317.00, 387.00,,
1744795633,5.00, 14.00, 26.00, 36.00, 399.00, 95.00, 390.00, 441.00,,
1744795634,9.00, 15.00, 27.00, 36.00, 404.00, 96.00, 185.00, 239.00,,
1744795635,7.00, 15.00, 29.00, 35.00, 409.00, 99.00, 293.00, 346.00,,
1744795636,8.00, 15.00, 32.00, 36.00, 419.00, 102.00, 326.00, 359.00,,
1744795637,8.00, 18.00, 34.00, 36.00, 432.00, 106.00, 175.00, 217.00,,
1744795638,9.00, 20.00, 35.00, 39.00, 446.00, 110.00, 352.00, 394.00,,
1744795639,11.00, 22.00, 36.00, 42.00, 460.00, 115.00, 282.00, 310.00,,
1744795640,9.00, 22.00, 41.00, 48.00, 474.00, 118.00, 195.00, 238.00,,
1744795641,12.00, 24.00, 43.00, 48.00, 486.00, 119.00, 384.00, 418.00,,
1744795642,12.00, 26.00, 44.00, 50.00, 500.00, 126.00, 232.00, 260.00,,
1744795643,12.00, 27.00, 47.00, 58.00, 515.00, 130.00, 240.00, 283.00,,
1744795644,15.00, 29.00, 51.00, 55.00, 527.00, 134.00, 390.00, 414.00,,
1744795645,14.00, 30.00, 50.00, 59.00, 537.00, 137.00, 207.00, 241.00,,
1744795646,17.00, 32.00, 54.00, 58.00, 546.00, 140.00, 294.00, 333.00,,
1744795647,16.00, 33.00, 56.00, 60.00, 557.00, 142.00, 367.00, 389.00,,
1744795648,17.00, 35.00, 58.00, 60.00, 566.00, 145.00, 207.00, 243.00,,
1744795649,16.00, 35.00, 60.00, 61.00, 573.00, 149.00, 324.00, 360.00,,
1744795650,16.00, 36.00, 61.00, 61.00, 578.00, 150.00, 309.00, 338.00,,
1744795651,16.00, 37.00, 62.00, 61.00, 586.00, 153.00, 236.00, 273.00,,
1744795652,16.00, 38.00, 64.00, 61.00, 592.00, 154.00, 336.00, 370.00,,
1744795653,16.00, 38.00, 65.00, 61.00, 597.00, 156.00, 272.00, 300.00,,
1744795654,16.00, 39.00, 67.00, 60.00, 602.00, 157.00, 246.00, 282.00,,
1744795655,14.00, 40.00, 66.00, 59.00, 607.00, 158.00, 418.00, 441.00,,
1744795656,15.00, 40.00, 68.00, 62.00, 609.00, 159.00, 222.00, 242.00,,
1744795657,16.00, 42.00, 69.00, 63.00, 619.00, 162.00, 314.00, 348.00,,
1744795658,17.00, 44.00, 73.00, 62.00, 626.00, 164.00, 388.00, 408.00,,
1744795659,16.00, 45.00, 74.00, 62.00, 634.00, 167.00, 208.00, 241.00,,
1744795660,17.00, 47.00, 78.00, 64.00, 643.00, 170.00, 386.00, 422.00,,
1744795661,16.00, 48.00, 79.00, 65.00, 650.00, 170.00, 318.00, 338.00,,
1744795662,20.00, 51.00, 81.00, 65.00, 654.00, 171.00, 224.00, 261.00,,
1744795663,17.00, 51.00, 83.00, 66.00, 660.00, 174.00, 392.00, 416.00,,
1744795664,17.00, 52.00, 84.00, 66.00, 667.00, 176.00, 283.00, 315.00,,
1744795665,17.00, 52.00, 85.00, 65.00, 672.00, 178.00, 269.00, 307.00,,
1744795666,17.00, 54.00, 86.00, 65.00, 673.00, 178.00, 370.00, 393.00,,
1744795667,18.00, 54.00, 87.00, 64.00, 678.00, 179.00, 246.00, 278.00,,
1744795668,17.00, 55.00, 88.00, 63.00, 683.00, 180.00, 332.00, 367.00,,
1744795669,16.00, 55.00, 88.00, 61.00, 684.00, 181.00, 324.00, 349.00,,
1744795670,16.00, 56.00, 89.00, 61.00, 689.00, 182.00, 252.00, 287.00,,
1744795671,16.00, 56.00, 90.00, 60.00, 692.00, 182.00, 361.00, 388.00,,
