Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743674019,9.00, 13.00, 22.00, 36.00, 258.00, 23.00, 413.00, 560.00,,
1743674020,10.00, 13.00, 21.00, 37.00, 259.00, 24.00, 208.00, 331.00,,
1743674021,10.00, 12.00, 21.00, 37.00, 260.00, 24.00, 175.00, 265.00,,
1743674022,10.00, 13.00, 22.00, 38.00, 258.00, 23.00, 257.00, 318.00,,
1743674023,11.00, 13.00, 22.00, 37.00, 260.00, 24.00, 150.00, 208.00,,
1743674024,11.00, 13.00, 20.00, 38.00, 259.00, 23.00, 197.00, 259.00,,
1743674025,10.00, 13.00, 21.00, 38.00, 259.00, 24.00, 233.00, 280.00,,
1743674026,11.00, 13.00, 22.00, 39.00, 259.00, 23.00, 141.00, 197.00,,
1743674027,10.00, 13.00, 22.00, 39.00, 260.00, 23.00, 232.00, 289.00,,
1743674028,12.00, 14.00, 22.00, 45.00, 261.00, 24.00, 201.00, 247.00,,
1743674029,10.00, 14.00, 25.00, 48.00, 272.00, 26.00, 146.00, 201.00,,
1743674030,14.00, 17.00, 27.00, 50.00, 281.00, 28.00, 255.00, 307.00,,
1743674031,15.00, 18.00, 29.00, 52.00, 291.00, 31.00, 176.00, 225.00,,
1743674032,15.00, 20.00, 32.00, 54.00, 302.00, 33.00, 165.00, 221.00,,
1743674033,16.00, 22.00, 34.00, 55.00, 311.00, 36.00, 262.00, 308.00,,
1743674034,18.00, 23.00, 36.00, 56.00, 320.00, 38.00, 161.00, 210.00,,
1743674035,17.00, 25.00, 39.00, 57.00, 332.00, 40.00, 193.00, 247.00,,
1743674036,17.00, 27.00, 41.00, 58.00, 340.00, 42.00, 252.00, 295.00,,
1743674037,17.00, 28.00, 44.00, 59.00, 349.00, 44.00, 153.00, 203.00,,
1743674038,17.00, 30.00, 46.00, 59.00, 358.00, 46.00, 228.00, 283.00,,
1743674039,18.00, 31.00, 49.00, 60.00, 367.00, 47.00, 229.00, 271.00,,
1743674040,18.00, 32.00, 51.00, 60.00, 374.00, 49.00, 155.00, 206.00,,
1743674041,18.00, 34.00, 53.00, 61.00, 385.00, 50.00, 258.00, 308.00,,
1743674042,18.00, 34.00, 54.00, 61.00, 391.00, 52.00, 200.00, 243.00,,
1743674043,18.00, 36.00, 56.00, 61.00, 397.00, 53.00, 165.00, 217.00,,
1743674044,19.00, 36.00, 58.00, 61.00, 403.00, 54.00, 273.00, 320.00,,
1743674045,18.00, 37.00, 59.00, 61.00, 410.00, 56.00, 181.00, 227.00,,
1743674046,18.00, 39.00, 60.00, 61.00, 413.00, 57.00, 186.00, 239.00,,
1743674047,18.00, 39.00, 61.00, 60.00, 418.00, 57.00, 270.00, 313.00,,
1743674048,17.00, 39.00, 61.00, 60.00, 417.00, 55.00, 182.00, 232.00,,
1743674049,18.00, 39.00, 61.00, 60.00, 420.00, 55.00, 205.00, 259.00,,
1743674050,17.00, 40.00, 60.00, 59.00, 421.00, 54.00, 243.00, 288.00,,
1743674051,17.00, 40.00, 60.00, 57.00, 422.00, 54.00, 166.00, 216.00,,
1743674052,17.00, 40.00, 60.00, 57.00, 425.00, 54.00, 227.00, 280.00,,
1743674053,17.00, 41.00, 60.00, 56.00, 426.00, 54.00, 220.00, 264.00,,
1743674054,17.00, 41.00, 60.00, 55.00, 428.00, 53.00, 168.00, 217.00,,
1743674055,16.00, 42.00, 60.00, 55.00, 432.00, 54.00, 246.00, 296.00,,
1743674056,16.00, 42.00, 60.00, 54.00, 433.00, 53.00, 198.00, 242.00,,
1743674057,16.00, 42.00, 60.00, 53.00, 435.00, 53.00, 172.00, 223.00,,
1743674058,17.00, 43.00, 61.00, 53.00, 437.00, 53.00, 255.00, 302.00,,
