Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743674119,18.00, 68.00, 93.00, 60.00, 580.00, 70.00, 445.00, 588.00,,
1743674120,17.00, 68.00, 93.00, 60.00, 582.00, 70.00, 227.00, 347.00,,
1743674121,17.00, 69.00, 93.00, 60.00, 583.00, 71.00, 217.00, 303.00,,
1743674122,17.00, 69.00, 93.00, 60.00, 585.00, 71.00, 280.00, 333.00,,
1743674123,17.00, 69.00, 93.00, 59.00, 585.00, 70.00, 166.00, 220.00,,
1743674124,17.00, 69.00, 93.00, 60.00, 586.00, 70.00, 267.00, 320.00,,
1743674125,17.00, 69.00, 93.00, 59.00, 588.00, 71.00, 221.00, 261.00,,
1743674126,17.00, 69.00, 94.00, 59.00, 590.00, 71.00, 178.00, 229.00,,
1743674127,18.00, 69.00, 93.00, 59.00, 587.00, 71.00, 292.00, 333.00,,
1743674128,18.00, 69.00, 93.00, 59.00, 588.00, 71.00, 173.00, 220.00,,
1743674129,17.00, 70.00, 92.00, 59.00, 591.00, 70.00, 232.00, 285.00,,
1743674130,17.00, 70.00, 93.00, 59.00, 590.00, 70.00, 250.00, 288.00,,
1743674131,17.00, 69.00, 93.00, 59.00, 594.00, 71.00, 167.00, 217.00,,
1743674132,17.00, 69.00, 93.00, 58.00, 592.00, 70.00, 286.00, 331.00,,
1743674133,17.00, 69.00, 94.00, 59.00, 596.00, 71.00, 186.00, 230.00,,
1743674134,17.00, 70.00, 94.00, 59.00, 595.00, 71.00, 211.00, 262.00,,
1743674135,16.00, 70.00, 94.00, 58.00, 597.00, 71.00, 264.00, 302.00,,
1743674136,17.00, 71.00, 94.00, 59.00, 599.00, 72.00, 164.00, 214.00,,
1743674137,17.00, 70.00, 94.00, 59.00, 599.00, 71.00, 282.00, 327.00,,
1743674138,17.00, 71.00, 95.00, 58.00, 599.00, 71.00, 192.00, 236.00,,
1743674139,17.00, 72.00, 95.00, 59.00, 603.00, 72.00, 206.00, 258.00,,
1743674140,17.00, 72.00, 95.00, 59.00, 602.00, 72.00, 267.00, 305.00,,
1743674141,17.00, 73.00, 96.00, 59.00, 605.00, 72.00, 164.00, 213.00,,
1743674142,16.00, 72.00, 96.00, 59.00, 603.00, 72.00, 282.00, 329.00,,
1743674143,17.00, 72.00, 97.00, 59.00, 607.00, 72.00, 193.00, 237.00,,
1743674144,18.00, 73.00, 97.00, 58.00, 606.00, 73.00, 205.00, 256.00,,
1743674145,17.00, 73.00, 97.00, 58.00, 610.00, 73.00, 262.00, 302.00,,
1743674146,17.00, 73.00, 96.00, 58.00, 607.00, 72.00, 170.00, 219.00,,
1743674147,17.00, 73.00, 97.00, 58.00, 611.00, 73.00, 267.00, 314.00,,
1743674148,18.00, 73.00, 97.00, 58.00, 613.00, 72.00, 198.00, 243.00,,
1743674149,18.00, 73.00, 96.00, 58.00, 613.00, 72.00, 205.00, 256.00,,
1743674150,16.00, 73.00, 97.00, 57.00, 613.00, 72.00, 254.00, 295.00,,
1743674151,17.00, 73.00, 97.00, 55.00, 612.00, 72.00, 171.00, 219.00,,
1743674152,17.00, 72.00, 97.00, 55.00, 616.00, 72.00, 262.00, 310.00,,
1743674153,17.00, 73.00, 97.00, 54.00, 615.00, 72.00, 198.00, 242.00,,
1743674154,17.00, 73.00, 97.00, 54.00, 617.00, 72.00, 191.00, 242.00,,
1743674155,16.00, 73.00, 96.00, 54.00, 617.00, 72.00, 265.00, 304.00,,
1743674156,16.00, 73.00, 96.00, 53.00, 615.00, 72.00, 171.00, 218.00,,
1743674157,16.00, 73.00, 96.00, 52.00, 619.00, 72.00, 257.00, 306.00,,
1743674158,16.00, 73.00, 96.00, 52.00, 618.00, 71.00, 208.00, 249.00,,
