Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743679731,18.00, 85.00, 92.00, 47.00, 840.00, 93.00, 360.00, 447.00,,
1743679732,17.00, 84.00, 92.00, 47.00, 833.00, 92.00, 301.00, 395.00,,
1743679733,18.00, 84.00, 92.00, 47.00, 836.00, 92.00, 271.00, 340.00,,
1743679734,18.00, 84.00, 92.00, 47.00, 834.00, 92.00, 195.00, 254.00,,
1743679735,18.00, 84.00, 91.00, 47.00, 837.00, 92.00, 271.00, 323.00,,
1743679736,17.00, 84.00, 92.00, 47.00, 837.00, 92.00, 227.00, 270.00,,
1743679737,17.00, 84.00, 91.00, 47.00, 838.00, 93.00, 197.00, 243.00,,
1743679738,17.00, 84.00, 91.00, 46.00, 833.00, 92.00, 282.00, 324.00,,
1743679739,17.00, 84.00, 91.00, 46.00, 834.00, 92.00, 204.00, 247.00,,
1743679740,17.00, 84.00, 91.00, 46.00, 835.00, 92.00, 216.00, 263.00,,
1743679741,18.00, 83.00, 91.00, 47.00, 836.00, 92.00, 272.00, 310.00,,
1743679742,17.00, 84.00, 91.00, 47.00, 834.00, 92.00, 191.00, 236.00,,
1743679743,18.00, 84.00, 91.00, 47.00, 836.00, 91.00, 243.00, 291.00,,
1743679744,17.00, 84.00, 91.00, 46.00, 837.00, 92.00, 249.00, 287.00,,
1743679745,17.00, 84.00, 90.00, 47.00, 837.00, 92.00, 187.00, 233.00,,
1743679746,17.00, 84.00, 90.00, 46.00, 832.00, 91.00, 280.00, 324.00,,
1743679747,17.00, 84.00, 90.00, 47.00, 834.00, 91.00, 212.00, 251.00,,
1743679748,18.00, 84.00, 91.00, 47.00, 837.00, 93.00, 196.00, 242.00,,
1743679749,21.00, 86.00, 94.00, 51.00, 840.00, 98.00, 295.00, 333.00,,
1743679750,21.00, 88.00, 97.00, 51.00, 841.00, 102.00, 199.00, 240.00,,
1743679751,21.00, 89.00, 100.00, 52.00, 844.00, 104.00, 230.00, 276.00,,
1743679752,22.00, 91.00, 102.00, 53.00, 844.00, 106.00, 283.00, 317.00,,
1743679753,22.00, 92.00, 105.00, 53.00, 847.00, 108.00, 196.00, 239.00,,
1743679755,22.00, 94.00, 107.00, 53.00, 852.00, 109.00, 264.00, 307.00,,
1743679756,22.00, 94.00, 108.00, 53.00, 851.00, 110.00, 240.00, 276.00,,
1743679757,22.00, 95.00, 109.00, 53.00, 853.00, 111.00, 210.00, 253.00,,
1743679758,22.00, 96.00, 110.00, 53.00, 850.00, 112.00, 295.00, 332.00,,
1743679759,22.00, 95.00, 111.00, 53.00, 854.00, 111.00, 217.00, 261.00,,
1743679760,22.00, 96.00, 111.00, 55.00, 852.00, 112.00, 231.00, 274.00,,
1743679761,22.00, 98.00, 113.00, 56.00, 855.00, 114.00, 254.00, 292.00,,
1743679762,22.00, 99.00, 115.00, 57.00, 859.00, 116.00, 218.00, 260.00,,
1743679763,22.00, 101.00, 117.00, 58.00, 860.00, 116.00, 258.00, 300.00,,
1743679764,23.00, 102.00, 118.00, 58.00, 860.00, 118.00, 235.00, 273.00,,
1743679765,23.00, 103.00, 120.00, 59.00, 863.00, 119.00, 229.00, 270.00,,
1743679766,23.00, 105.00, 122.00, 59.00, 866.00, 120.00, 268.00, 303.00,,
1743679767,22.00, 105.00, 123.00, 60.00, 859.00, 120.00, 203.00, 241.00,,
1743679768,23.00, 106.00, 124.00, 59.00, 862.00, 121.00, 278.00, 320.00,,
1743679769,23.00, 106.00, 124.00, 60.00, 865.00, 122.00, 239.00, 273.00,,
1743679770,23.00, 107.00, 126.00, 60.00, 865.00, 122.00, 212.00, 254.00,,
1743679771,22.00, 108.00, 126.00, 60.00, 866.00, 123.00, 299.00, 332.00,,
