Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743679834,19.00, 104.00, 116.00, 49.00, 868.00, 111.00, 438.00, 555.00,,
1743679835,18.00, 105.00, 115.00, 49.00, 868.00, 111.00, 264.00, 372.00,,
1743679836,18.00, 104.00, 115.00, 49.00, 868.00, 111.00, 302.00, 376.00,,
1743679837,18.00, 104.00, 115.00, 49.00, 867.00, 110.00, 198.00, 258.00,,
1743679838,18.00, 103.00, 114.00, 49.00, 865.00, 110.00, 281.00, 332.00,,
1743679839,19.00, 104.00, 114.00, 51.00, 865.00, 110.00, 225.00, 266.00,,
1743679840,20.00, 106.00, 117.00, 54.00, 867.00, 112.00, 235.00, 282.00,,
1743679841,20.00, 107.00, 118.00, 54.00, 868.00, 114.00, 276.00, 309.00,,
1743679842,21.00, 108.00, 119.00, 54.00, 869.00, 115.00, 201.00, 247.00,,
1743679843,20.00, 108.00, 119.00, 55.00, 864.00, 116.00, 306.00, 339.00,,
1743679844,20.00, 109.00, 121.00, 56.00, 866.00, 117.00, 196.00, 238.00,,
1743679845,21.00, 109.00, 121.00, 55.00, 869.00, 117.00, 304.00, 345.00,,
1743679846,20.00, 110.00, 123.00, 57.00, 871.00, 118.00, 216.00, 256.00,,
1743679847,21.00, 111.00, 123.00, 57.00, 870.00, 119.00, 256.00, 302.00,,
1743679848,21.00, 111.00, 124.00, 58.00, 873.00, 120.00, 258.00, 290.00,,
1743679849,21.00, 112.00, 126.00, 59.00, 874.00, 121.00, 216.00, 261.00,,
1743679850,21.00, 113.00, 126.00, 59.00, 870.00, 121.00, 297.00, 327.00,,
1743679851,22.00, 114.00, 127.00, 59.00, 869.00, 122.00, 197.00, 240.00,,
1743679852,22.00, 114.00, 128.00, 59.00, 872.00, 123.00, 314.00, 349.00,,
1743679853,23.00, 115.00, 129.00, 60.00, 875.00, 125.00, 201.00, 241.00,,
1743679854,23.00, 117.00, 131.00, 60.00, 876.00, 126.00, 285.00, 325.00,,
1743679855,23.00, 117.00, 131.00, 60.00, 876.00, 126.00, 232.00, 270.00,,
1743679856,23.00, 118.00, 131.00, 59.00, 873.00, 126.00, 247.00, 290.00,,
1743679857,23.00, 117.00, 132.00, 58.00, 872.00, 126.00, 263.00, 296.00,,
1743679858,22.00, 118.00, 132.00, 57.00, 875.00, 127.00, 220.00, 264.00,,
1743679859,22.00, 118.00, 132.00, 56.00, 875.00, 127.00, 288.00, 320.00,,
1743679860,22.00, 118.00, 133.00, 56.00, 876.00, 128.00, 209.00, 251.00,,
1743679861,22.00, 118.00, 133.00, 55.00, 877.00, 128.00, 299.00, 336.00,,
1743679862,22.00, 119.00, 133.00, 54.00, 876.00, 128.00, 207.00, 248.00,,
1743679863,22.00, 118.00, 133.00, 55.00, 878.00, 128.00, 295.00, 337.00,,
1743679864,22.00, 118.00, 132.00, 55.00, 879.00, 129.00, 227.00, 264.00,,
1743679865,22.00, 118.00, 133.00, 57.00, 876.00, 128.00, 253.00, 297.00,,
1743679866,22.00, 119.00, 134.00, 58.00, 878.00, 130.00, 271.00, 301.00,,
1743679867,23.00, 120.00, 135.00, 59.00, 880.00, 131.00, 215.00, 258.00,,
1743679868,22.00, 120.00, 135.00, 60.00, 881.00, 131.00, 312.00, 341.00,,
1743679869,23.00, 121.00, 136.00, 60.00, 880.00, 132.00, 211.00, 254.00,,
1743679870,22.00, 120.00, 136.00, 60.00, 881.00, 131.00, 299.00, 336.00,,
1743679871,23.00, 120.00, 136.00, 60.00, 879.00, 132.00, 215.00, 253.00,,
1743679872,22.00, 121.00, 137.00, 61.00, 883.00, 132.00, 280.00, 323.00,,
1743679873,22.00, 121.00, 137.00, 61.00, 881.00, 132.00, 243.00, 277.00,,
