Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743677795,81.00, 185.00, 230.00, 125.00, 793.00, 203.00, 392.00, 447.00,,
1743677796,83.00, 190.00, 236.00, 126.00, 806.00, 207.00, 428.00, 494.00,,
1743677797,83.00, 193.00, 239.00, 126.00, 810.00, 209.00, 325.00, 376.00,,
1743677798,83.00, 198.00, 243.00, 126.00, 821.00, 213.00, 271.00, 320.00,,
1743677799,84.00, 202.00, 248.00, 127.00, 828.00, 216.00, 399.00, 427.00,,
1743677800,82.00, 204.00, 250.00, 126.00, 831.00, 218.00, 263.00, 295.00,,
1743677801,82.00, 208.00, 252.00, 127.00, 837.00, 220.00, 325.00, 358.00,,
1743677802,83.00, 212.00, 257.00, 128.00, 846.00, 223.00, 369.00, 388.00,,
1743677803,83.00, 215.00, 258.00, 127.00, 847.00, 223.00, 253.00, 284.00,,
1743677804,83.00, 219.00, 263.00, 128.00, 857.00, 228.00, 386.00, 414.00,,
1743677805,83.00, 223.00, 266.00, 127.00, 862.00, 231.00, 309.00, 330.00,,
1743677806,83.00, 228.00, 269.00, 128.00, 868.00, 233.00, 281.00, 311.00,,
1743677807,83.00, 232.00, 272.00, 128.00, 870.00, 236.00, 407.00, 425.00,,
1743677808,82.00, 234.00, 273.00, 128.00, 873.00, 236.00, 273.00, 299.00,,
1743677809,81.00, 238.00, 276.00, 128.00, 879.00, 240.00, 335.00, 364.00,,
1743677810,81.00, 240.00, 276.00, 128.00, 879.00, 240.00, 378.00, 396.00,,
1743677811,82.00, 245.00, 282.00, 128.00, 889.00, 244.00, 266.00, 293.00,,
1743677812,81.00, 249.00, 286.00, 128.00, 893.00, 249.00, 397.00, 422.00,,
1743677813,81.00, 251.00, 287.00, 128.00, 891.00, 250.00, 325.00, 343.00,,
1743677814,81.00, 256.00, 291.00, 126.00, 896.00, 254.00, 292.00, 319.00,,
1743677815,80.00, 260.00, 294.00, 127.00, 901.00, 258.00, 422.00, 437.00,,
1743677816,81.00, 264.00, 298.00, 127.00, 909.00, 261.00, 289.00, 312.00,,
1743677817,81.00, 266.00, 301.00, 127.00, 907.00, 262.00, 349.00, 374.00,,
1743677818,80.00, 268.00, 303.00, 126.00, 911.00, 265.00, 397.00, 411.00,,
1743677819,80.00, 272.00, 306.00, 126.00, 915.00, 269.00, 282.00, 306.00,,
1743677820,79.00, 275.00, 309.00, 127.00, 920.00, 272.00, 412.00, 435.00,,
1743677821,79.00, 278.00, 313.00, 126.00, 920.00, 274.00, 343.00, 358.00,,
1743677822,79.00, 278.00, 313.00, 126.00, 924.00, 277.00, 306.00, 329.00,,
1743677823,79.00, 282.00, 317.00, 126.00, 928.00, 280.00, 440.00, 453.00,,
1743677824,78.00, 284.00, 319.00, 125.00, 927.00, 281.00, 307.00, 327.00,,
1743677825,76.00, 286.00, 320.00, 124.00, 929.00, 283.00, 358.00, 382.00,,
1743677826,76.00, 288.00, 325.00, 124.00, 933.00, 288.00, 416.00, 428.00,,
1743677827,76.00, 291.00, 328.00, 123.00, 932.00, 290.00, 296.00, 318.00,,
1743677828,75.00, 292.00, 330.00, 122.00, 937.00, 294.00, 423.00, 442.00,,
1743677829,73.00, 293.00, 332.00, 121.00, 939.00, 297.00, 364.00, 375.00,,
1743677830,71.00, 292.00, 331.00, 119.00, 940.00, 296.00, 318.00, 340.00,,
1743677831,71.00, 292.00, 332.00, 118.00, 942.00, 297.00, 452.00, 463.00,,
1743677832,69.00, 290.00, 331.00, 116.00, 941.00, 295.00, 316.00, 336.00,,
1743677833,69.00, 291.00, 331.00, 116.00, 944.00, 296.00, 369.00, 391.00,,
1743677834,68.00, 290.00, 329.00, 115.00, 942.00, 294.00, 407.00, 421.00,,
