Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743677896,47.00, 261.00, 267.00, 90.00, 957.00, 237.00, 488.00, 578.00,,
1743677897,47.00, 262.00, 266.00, 90.00, 959.00, 237.00, 393.00, 464.00,,
1743677898,47.00, 261.00, 265.00, 90.00, 959.00, 237.00, 298.00, 362.00,,
1743677899,47.00, 260.00, 264.00, 90.00, 957.00, 235.00, 398.00, 438.00,,
1743677900,46.00, 258.00, 263.00, 90.00, 954.00, 236.00, 289.00, 326.00,,
1743677901,46.00, 260.00, 264.00, 90.00, 960.00, 234.00, 328.00, 363.00,,
1743677902,46.00, 259.00, 262.00, 89.00, 962.00, 235.00, 354.00, 375.00,,
1743677903,46.00, 258.00, 262.00, 89.00, 958.00, 234.00, 290.00, 321.00,,
1743677904,46.00, 257.00, 260.00, 89.00, 957.00, 233.00, 371.00, 398.00,,
1743677905,46.00, 258.00, 261.00, 89.00, 960.00, 233.00, 292.00, 320.00,,
1743677906,46.00, 257.00, 260.00, 89.00, 959.00, 233.00, 311.00, 341.00,,
1743677907,46.00, 255.00, 259.00, 88.00, 959.00, 232.00, 350.00, 370.00,,
1743677908,45.00, 256.00, 259.00, 88.00, 960.00, 231.00, 273.00, 302.00,,
1743677909,45.00, 255.00, 258.00, 88.00, 959.00, 230.00, 360.00, 386.00,,
1743677910,45.00, 255.00, 257.00, 88.00, 959.00, 230.00, 288.00, 313.00,,
1743677911,44.00, 253.00, 257.00, 88.00, 959.00, 228.00, 291.00, 320.00,,
1743677912,45.00, 253.00, 256.00, 88.00, 961.00, 228.00, 350.00, 369.00,,
1743677913,44.00, 254.00, 256.00, 87.00, 962.00, 228.00, 280.00, 307.00,,
1743677914,44.00, 252.00, 253.00, 87.00, 956.00, 227.00, 350.00, 378.00,,
1743677915,44.00, 253.00, 254.00, 88.00, 961.00, 227.00, 308.00, 334.00,,
1743677916,44.00, 252.00, 254.00, 87.00, 961.00, 226.00, 291.00, 322.00,,
1743677917,44.00, 251.00, 252.00, 86.00, 958.00, 224.00, 357.00, 379.00,,
1743677918,44.00, 251.00, 252.00, 87.00, 959.00, 225.00, 271.00, 300.00,,
1743677919,44.00, 250.00, 251.00, 86.00, 956.00, 224.00, 348.00, 376.00,,
1743677920,42.00, 248.00, 250.00, 86.00, 954.00, 222.00, 307.00, 332.00,,
1743677921,44.00, 249.00, 250.00, 86.00, 960.00, 223.00, 287.00, 318.00,,
1743677922,43.00, 248.00, 250.00, 86.00, 960.00, 222.00, 356.00, 378.00,,
1743677923,43.00, 248.00, 249.00, 86.00, 953.00, 221.00, 276.00, 305.00,,
1743677924,43.00, 248.00, 249.00, 86.00, 958.00, 221.00, 348.00, 381.00,,
1743677925,48.00, 250.00, 250.00, 89.00, 961.00, 222.00, 315.00, 335.00,,
1743677926,66.00, 268.00, 269.00, 105.00, 960.00, 249.00, 290.00, 316.00,,
1743677927,73.00, 284.00, 291.00, 115.00, 969.00, 273.00, 410.00, 420.00,,
1743677928,73.00, 294.00, 304.00, 120.00, 972.00, 286.00, 305.00, 324.00,,
1743677929,73.00, 301.00, 312.00, 121.00, 972.00, 295.00, 395.00, 415.00,,
1743677930,73.00, 305.00, 319.00, 121.00, 969.00, 301.00, 374.00, 387.00,,
1743677931,73.00, 310.00, 324.00, 123.00, 975.00, 306.00, 330.00, 351.00,,
1743677932,72.00, 314.00, 327.00, 123.00, 975.00, 310.00, 442.00, 451.00,,
1743677933,72.00, 314.00, 329.00, 121.00, 972.00, 310.00, 326.00, 345.00,,
1743677934,71.00, 317.00, 331.00, 121.00, 976.00, 313.00, 407.00, 428.00,,
1743677935,71.00, 318.00, 333.00, 121.00, 977.00, 314.00, 385.00, 396.00,,
