Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743678283,36.00, 218.00, 205.00, 77.00, 966.00, 194.00, 432.00, 513.00,,
1743678284,35.00, 216.00, 204.00, 78.00, 960.00, 192.00, 409.00, 480.00,,
1743678285,35.00, 217.00, 205.00, 77.00, 966.00, 193.00, 269.00, 332.00,,
1743678286,35.00, 217.00, 204.00, 77.00, 965.00, 193.00, 307.00, 358.00,,
1743678287,35.00, 217.00, 204.00, 77.00, 964.00, 192.00, 346.00, 379.00,,
1743678288,35.00, 217.00, 203.00, 77.00, 964.00, 192.00, 248.00, 284.00,,
1743678289,35.00, 215.00, 203.00, 77.00, 964.00, 192.00, 309.00, 346.00,,
1743678290,35.00, 216.00, 202.00, 77.00, 964.00, 191.00, 337.00, 364.00,,
1743678291,35.00, 216.00, 203.00, 77.00, 966.00, 192.00, 245.00, 278.00,,
1743678292,35.00, 215.00, 201.00, 77.00, 963.00, 191.00, 312.00, 347.00,,
1743678293,35.00, 215.00, 202.00, 76.00, 964.00, 191.00, 332.00, 358.00,,
1743678294,35.00, 214.00, 202.00, 76.00, 964.00, 191.00, 243.00, 275.00,,
1743678295,36.00, 214.00, 200.00, 76.00, 964.00, 190.00, 315.00, 350.00,,
1743678296,35.00, 215.00, 202.00, 76.00, 966.00, 191.00, 328.00, 354.00,,
1743678297,34.00, 214.00, 200.00, 76.00, 963.00, 190.00, 241.00, 274.00,,
1743678298,35.00, 214.00, 201.00, 77.00, 964.00, 192.00, 317.00, 352.00,,
1743678299,34.00, 213.00, 200.00, 76.00, 961.00, 190.00, 326.00, 352.00,,
1743678300,35.00, 213.00, 200.00, 76.00, 965.00, 190.00, 241.00, 274.00,,
1743678301,35.00, 213.00, 200.00, 76.00, 965.00, 190.00, 316.00, 351.00,,
1743678302,34.00, 212.00, 199.00, 76.00, 962.00, 189.00, 327.00, 353.00,,
1743678303,34.00, 212.00, 198.00, 76.00, 960.00, 189.00, 240.00, 273.00,,
1743678304,34.00, 211.00, 198.00, 76.00, 959.00, 189.00, 311.00, 346.00,,
1743678305,34.00, 212.00, 199.00, 76.00, 963.00, 188.00, 330.00, 357.00,,
1743678306,35.00, 212.00, 198.00, 76.00, 964.00, 188.00, 241.00, 273.00,,
1743678307,34.00, 211.00, 198.00, 76.00, 960.00, 188.00, 303.00, 338.00,,
1743678308,34.00, 211.00, 198.00, 76.00, 964.00, 188.00, 336.00, 362.00,,
1743678309,34.00, 211.00, 197.00, 76.00, 960.00, 187.00, 243.00, 275.00,,
1743678310,34.00, 210.00, 196.00, 76.00, 957.00, 187.00, 290.00, 325.00,,
1743678311,34.00, 211.00, 197.00, 76.00, 962.00, 188.00, 343.00, 368.00,,
1743678312,34.00, 210.00, 196.00, 76.00, 961.00, 188.00, 247.00, 278.00,,
1743678313,34.00, 209.00, 195.00, 76.00, 962.00, 187.00, 281.00, 316.00,,
1743678314,35.00, 209.00, 196.00, 76.00, 962.00, 187.00, 348.00, 374.00,,
1743678315,34.00, 210.00, 196.00, 76.00, 963.00, 187.00, 249.00, 281.00,,
1743678316,34.00, 209.00, 195.00, 76.00, 962.00, 186.00, 272.00, 308.00,,
1743678317,34.00, 210.00, 194.00, 75.00, 958.00, 185.00, 351.00, 378.00,,
1743678318,34.00, 208.00, 195.00, 75.00, 961.00, 186.00, 254.00, 285.00,,
1743678319,34.00, 207.00, 194.00, 75.00, 957.00, 184.00, 265.00, 300.00,,
1743678320,34.00, 208.00, 194.00, 75.00, 962.00, 186.00, 352.00, 379.00,,
1743678321,34.00, 208.00, 193.00, 75.00, 959.00, 184.00, 258.00, 288.00,,
1743678322,33.00, 207.00, 193.00, 75.00, 960.00, 184.00, 258.00, 293.00,,
