Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1743592702,26.00, 66.00, 51.00, 67.00, 583.00, 45.00, 332.00, 427.00,,
1743592703,26.00, 65.00, 50.00, 67.00, 584.00, 45.00, 272.00, 381.00,,
1743592704,29.00, 68.00, 52.00, 68.00, 587.00, 47.00, 277.00, 348.00,,
1743592705,32.00, 73.00, 56.00, 71.00, 596.00, 50.00, 148.00, 214.00,,
1743592706,34.00, 78.00, 60.00, 73.00, 604.00, 53.00, 295.00, 350.00,,
1743592707,35.00, 82.00, 66.00, 77.00, 615.00, 57.00, 194.00, 240.00,,
1743592708,36.00, 87.00, 70.00, 78.00, 622.00, 60.00, 186.00, 242.00,,
1743592709,37.00, 91.00, 76.00, 81.00, 630.00, 63.00, 300.00, 339.00,,
1743592710,39.00, 94.00, 80.00, 84.00, 643.00, 67.00, 157.00, 205.00,,
1743592711,39.00, 99.00, 86.00, 87.00, 654.00, 71.00, 267.00, 321.00,,
1743592712,40.00, 104.00, 90.00, 88.00, 662.00, 74.00, 245.00, 281.00,,
1743592713,41.00, 107.00, 96.00, 90.00, 677.00, 79.00, 169.00, 218.00,,
1743592714,42.00, 111.00, 100.00, 92.00, 687.00, 83.00, 322.00, 363.00,,
1743592715,42.00, 115.00, 106.00, 92.00, 697.00, 87.00, 188.00, 230.00,,
1743592716,42.00, 120.00, 111.00, 94.00, 706.00, 91.00, 230.00, 281.00,,
1743592717,41.00, 123.00, 116.00, 93.00, 715.00, 95.00, 296.00, 330.00,,
1743592718,43.00, 128.00, 122.00, 93.00, 721.00, 101.00, 171.00, 217.00,,
1743592719,42.00, 132.00, 129.00, 94.00, 730.00, 106.00, 318.00, 361.00,,
1743592720,42.00, 137.00, 136.00, 95.00, 743.00, 110.00, 225.00, 262.00,,
1743592721,42.00, 140.00, 140.00, 96.00, 747.00, 114.00, 214.00, 261.00,,
1743592722,43.00, 143.00, 146.00, 96.00, 759.00, 118.00, 331.00, 360.00,,
1743592723,43.00, 147.00, 150.00, 97.00, 765.00, 123.00, 186.00, 226.00,,
1743592724,42.00, 150.00, 155.00, 97.00, 770.00, 125.00, 306.00, 350.00,,
1743592725,43.00, 152.00, 158.00, 97.00, 776.00, 128.00, 262.00, 291.00,,
1743592726,43.00, 152.00, 160.00, 97.00, 775.00, 129.00, 203.00, 246.00,,
1743592727,42.00, 156.00, 163.00, 96.00, 778.00, 132.00, 350.00, 380.00,,
1743592728,42.00, 157.00, 167.00, 97.00, 785.00, 134.00, 202.00, 239.00,,
1743592729,42.00, 159.00, 170.00, 98.00, 794.00, 138.00, 286.00, 330.00,,
1743592730,42.00, 160.00, 172.00, 97.00, 793.00, 139.00, 294.00, 322.00,,
1743592731,42.00, 163.00, 175.00, 97.00, 802.00, 141.00, 201.00, 243.00,,
1743592732,42.00, 164.00, 178.00, 97.00, 807.00, 142.00, 358.00, 391.00,,
1743592733,41.00, 165.00, 180.00, 96.00, 809.00, 144.00, 214.00, 250.00,,
1743592734,42.00, 166.00, 182.00, 96.00, 812.00, 145.00, 277.00, 322.00,,
1743592735,42.00, 167.00, 184.00, 95.00, 815.00, 145.00, 308.00, 335.00,,
1743592736,40.00, 166.00, 184.00, 94.00, 817.00, 146.00, 200.00, 242.00,,
1743592737,40.00, 167.00, 184.00, 92.00, 812.00, 149.00, 359.00, 392.00,,
1743592738,39.00, 166.00, 187.00, 92.00, 818.00, 148.00, 222.00, 258.00,,
1743592739,39.00, 167.00, 187.00, 90.00, 819.00, 148.00, 268.00, 311.00,,
1743592740,39.00, 167.00, 188.00, 90.00, 825.00, 148.00, 324.00, 350.00,,
1743592741,39.00, 168.00, 187.00, 89.00, 820.00, 148.00, 199.00, 239.00,,
