Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748679669,68.00, 126.00, 681.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679669,67.00, 125.00, 679.00, 264.00, 112.00, 120.00, 259.00, 399.00,,
1748679669,67.00, 126.00, 678.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679670,67.00, 125.00, 677.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679671,67.00, 126.00, 676.00, 264.00, 112.00, 120.00, 259.00, 400.00,,
1748679672,67.00, 126.00, 674.00, 264.00, 112.00, 120.00, 259.00, 400.00,,
1748679673,67.00, 126.00, 675.00, 264.00, 112.00, 121.00, 260.00, 400.00,,
1748679674,67.00, 126.00, 676.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679675,67.00, 126.00, 676.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679676,67.00, 125.00, 676.00, 265.00, 112.00, 119.00, 259.00, 400.00,,
1748679677,66.00, 126.00, 677.00, 265.00, 112.00, 120.00, 260.00, 401.00,,
1748679678,67.00, 126.00, 676.00, 264.00, 112.00, 121.00, 259.00, 400.00,,
1748679679,66.00, 125.00, 678.00, 265.00, 112.00, 120.00, 260.00, 401.00,,
1748679680,67.00, 126.00, 675.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679681,67.00, 126.00, 676.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679682,67.00, 126.00, 678.00, 265.00, 112.00, 120.00, 259.00, 399.00,,
1748679683,66.00, 126.00, 677.00, 265.00, 112.00, 120.00, 260.00, 401.00,,
1748679684,67.00, 126.00, 676.00, 265.00, 112.00, 120.00, 259.00, 399.00,,
1748679685,66.00, 126.00, 673.00, 264.00, 112.00, 120.00, 258.00, 400.00,,
1748679686,66.00, 126.00, 674.00, 265.00, 112.00, 120.00, 259.00, 400.00,,
1748679687,66.00, 126.00, 674.00, 265.00, 112.00, 120.00, 260.00, 400.00,,
1748679688,66.00, 125.00, 674.00, 264.00, 112.00, 120.00, 259.00, 400.00,,
1748679689,66.00, 126.00, 672.00, 264.00, 112.00, 120.00, 260.00, 400.00,,
1748679690,66.00, 125.00, 669.00, 264.00, 112.00, 119.00, 260.00, 400.00,,
1748679691,65.00, 125.00, 668.00, 264.00, 111.00, 120.00, 260.00, 399.00,,
1748679692,65.00, 126.00, 668.00, 264.00, 111.00, 120.00, 259.00, 399.00,,
1748679693,66.00, 125.00, 668.00, 264.00, 111.00, 119.00, 259.00, 398.00,,
1748679694,65.00, 125.00, 667.00, 263.00, 111.00, 120.00, 259.00, 399.00,,
1748679701,64.00, 125.00, 663.00, 264.00, 110.00, 118.00, 258.00, 398.00,,
1748679702,64.00, 124.00, 661.00, 262.00, 109.00, 118.00, 259.00, 397.00,,
1748679703,64.00, 125.00, 663.00, 264.00, 109.00, 118.00, 259.00, 397.00,,
1748679704,64.00, 124.00, 662.00, 263.00, 109.00, 118.00, 258.00, 397.00,,
1748679705,64.00, 124.00, 664.00, 264.00, 109.00, 118.00, 258.00, 397.00,,
1748679706,64.00, 124.00, 664.00, 263.00, 108.00, 117.00, 258.00, 396.00,,
1748679707,64.00, 125.00, 666.00, 264.00, 109.00, 118.00, 259.00, 397.00,,
1748679708,64.00, 124.00, 665.00, 263.00, 109.00, 117.00, 258.00, 396.00,,
1748679709,64.00, 125.00, 668.00, 264.00, 108.00, 118.00, 258.00, 397.00,,
1748679710,64.00, 124.00, 668.00, 264.00, 109.00, 118.00, 258.00, 397.00,,
1748679711,65.00, 124.00, 669.00, 264.00, 109.00, 118.00, 258.00, 396.00,,
1748679712,64.00, 125.00, 668.00, 263.00, 109.00, 117.00, 258.00, 396.00,,
1748679713,64.00, 125.00, 671.00, 264.00, 109.00, 118.00, 258.00, 397.00,,
1748679714,65.00, 125.00, 673.00, 264.00, 109.00, 118.00, 258.00, 396.00,,
1748679715,65.00, 125.00, 674.00, 264.00, 109.00, 119.00, 259.00, 398.00,,
1748679716,65.00, 125.00, 674.00, 264.00, 109.00, 118.00, 258.00, 398.00,,
1748679717,65.00, 124.00, 674.00, 263.00, 110.00, 118.00, 257.00, 397.00,,
1748679718,66.00, 125.00, 677.00, 264.00, 109.00, 118.00, 258.00, 398.00,,
1748679719,66.00, 125.00, 680.00, 265.00, 110.00, 119.00, 257.00, 398.00,,
1748679720,66.00, 125.00, 680.00, 265.00, 110.00, 119.00, 258.00, 398.00,,
1748679721,66.00, 125.00, 678.00, 264.00, 110.00, 119.00, 257.00, 397.00,,
1748679722,66.00, 125.00, 680.00, 264.00, 111.00, 119.00, 256.00, 396.00,,
1748679723,66.00, 125.00, 681.00, 264.00, 110.00, 119.00, 257.00, 398.00,,
1748679724,66.00, 125.00, 678.00, 264.00, 110.00, 119.00, 256.00, 396.00,,
1748679725,66.00, 125.00, 682.00, 264.00, 111.00, 120.00, 257.00, 398.00,,
1748679726,66.00, 125.00, 679.00, 264.00, 111.00, 119.00, 256.00, 396.00,,
1748679727,66.00, 125.00, 681.00, 265.00, 111.00, 120.00, 257.00, 399.00,,
1748679728,67.00, 126.00, 680.00, 264.00, 110.00, 119.00, 257.00, 398.00,,
1748679729,67.00, 126.00, 682.00, 265.00, 111.00, 119.00, 257.00, 398.00,,
1748679730,67.00, 126.00, 682.00, 265.00, 111.00, 120.00, 257.00, 397.00,,
1748679731,67.00, 126.00, 682.00, 265.00, 111.00, 119.00, 257.00, 397.00,,
1748679732,67.00, 125.00, 681.00, 264.00, 111.00, 119.00, 256.00, 398.00,,
1748679733,67.00, 125.00, 684.00, 265.00, 111.00, 120.00, 256.00, 397.00,,
1748679734,67.00, 126.00, 683.00, 264.00, 111.00, 119.00, 256.00, 397.00,,
1748679735,67.00, 126.00, 684.00, 265.00, 111.00, 120.00, 256.00, 398.00,,
1748679736,66.00, 126.00, 683.00, 265.00, 111.00, 119.00, 256.00, 397.00,,
1748679737,67.00, 125.00, 685.00, 264.00, 111.00, 119.00, 256.00, 398.00,,
1748679738,67.00, 125.00, 683.00, 264.00, 111.00, 119.00, 256.00, 397.00,,
1748679739,67.00, 126.00, 680.00, 264.00, 111.00, 120.00, 256.00, 398.00,,
1748679740,67.00, 125.00, 680.00, 264.00, 111.00, 119.00, 257.00, 398.00,,
1748679747,66.00, 126.00, 666.00, 264.00, 111.00, 119.00, 257.00, 396.00,,
1748679749,65.00, 126.00, 666.00, 264.00, 111.00, 119.00, 257.00, 398.00,,
1748679750,65.00, 125.00, 665.00, 264.00, 110.00, 121.00, 257.00, 397.00,,
1748679751,65.00, 125.00, 664.00, 264.00, 111.00, 119.00, 257.00, 397.00,,
1748679752,65.00, 125.00, 665.00, 264.00, 110.00, 118.00, 257.00, 397.00,,
1748679753,65.00, 125.00, 666.00, 264.00, 110.00, 119.00, 257.00, 397.00,,
1748679754,65.00, 125.00, 665.00, 263.00, 110.00, 118.00, 258.00, 398.00,,
1748679755,64.00, 125.00, 666.00, 264.00, 110.00, 119.00, 258.00, 397.00,,
1748679756,65.00, 125.00, 665.00, 264.00, 109.00, 119.00, 257.00, 396.00,,
1748679757,64.00, 125.00, 666.00, 264.00, 109.00, 119.00, 258.00, 397.00,,
1748679758,64.00, 125.00, 668.00, 263.00, 109.00, 119.00, 257.00, 398.00,,
1748679759,65.00, 125.00, 667.00, 264.00, 109.00, 118.00, 257.00, 397.00,,
1748679760,64.00, 124.00, 666.00, 263.00, 109.00, 118.00, 257.00, 395.00,,
1748679761,65.00, 125.00, 670.00, 264.00, 109.00, 118.00, 257.00, 397.00,,
1748679762,64.00, 124.00, 671.00, 264.00, 110.00, 118.00, 257.00, 397.00,,
1748679763,64.00, 125.00, 671.00, 264.00, 109.00, 118.00, 257.00, 397.00,,
1748679764,64.00, 125.00, 673.00, 264.00, 109.00, 119.00, 258.00, 397.00,,
1748679765,65.00, 125.00, 673.00, 264.00, 110.00, 118.00, 258.00, 397.00,,
1748679766,65.00, 125.00, 675.00, 264.00, 109.00, 118.00, 258.00, 397.00,,
1748679767,65.00, 124.00, 673.00, 263.00, 110.00, 118.00, 258.00, 397.00,,
1748679768,65.00, 125.00, 675.00, 264.00, 109.00, 118.00, 258.00, 397.00,,
1748679769,65.00, 124.00, 673.00, 263.00, 109.00, 118.00, 256.00, 397.00,,
1748679770,65.00, 125.00, 677.00, 264.00, 109.00, 118.00, 258.00, 397.00,,
1748679771,65.00, 124.00, 677.00, 264.00, 109.00, 118.00, 258.00, 398.00,,
1748679772,66.00, 125.00, 676.00, 264.00, 109.00, 119.00, 258.00, 397.00,,
1748679773,65.00, 124.00, 676.00, 264.00, 109.00, 119.00, 257.00, 398.00,,
1748679774,66.00, 124.00, 675.00, 264.00, 109.00, 118.00, 256.00, 396.00,,
1748679775,65.00, 125.00, 678.00, 264.00, 110.00, 119.00, 258.00, 397.00,,
1748679776,65.00, 125.00, 678.00, 264.00, 110.00, 119.00, 258.00, 397.00,,
1748679777,65.00, 125.00, 679.00, 265.00, 110.00, 119.00, 259.00, 398.00,,
1748679778,66.00, 125.00, 679.00, 264.00, 109.00, 120.00, 258.00, 398.00,,
1748679779,66.00, 125.00, 679.00, 264.00, 110.00, 119.00, 258.00, 398.00,,
1748679780,66.00, 125.00, 678.00, 264.00, 110.00, 119.00, 258.00, 398.00,,
1748679781,66.00, 125.00, 681.00, 264.00, 110.00, 119.00, 258.00, 398.00,,
1748679782,66.00, 125.00, 682.00, 264.00, 110.00, 120.00, 258.00, 398.00,,
1748679783,67.00, 126.00, 682.00, 264.00, 110.00, 119.00, 257.00, 398.00,,
1748679784,67.00, 125.00, 683.00, 265.00, 110.00, 119.00, 258.00, 398.00,,
1748679785,66.00, 126.00, 683.00, 264.00, 110.00, 119.00, 256.00, 397.00,,
1748679786,66.00, 124.00, 682.00, 264.00, 111.00, 119.00, 257.00, 398.00,,
1748679787,66.00, 125.00, 681.00, 263.00, 110.00, 119.00, 256.00, 397.00,,
1748679794,67.00, 126.00, 687.00, 264.00, 111.00, 120.00, 257.00, 399.00,,
1748679795,67.00, 125.00, 686.00, 264.00, 111.00, 119.00, 257.00, 398.00,,
1748679796,67.00, 125.00, 687.00, 265.00, 111.00, 120.00, 257.00, 399.00,,
1748679797,67.00, 126.00, 688.00, 265.00, 111.00, 120.00, 257.00, 398.00,,
1748679798,67.00, 126.00, 688.00, 265.00, 111.00, 120.00, 257.00, 398.00,,
1748679799,67.00, 125.00, 686.00, 264.00, 111.00, 120.00, 257.00, 399.00,,
1748679800,67.00, 125.00, 685.00, 264.00, 111.00, 120.00, 258.00, 399.00,,
1748679801,67.00, 126.00, 684.00, 264.00, 111.00, 120.00, 257.00, 399.00,,
1748679802,67.00, 125.00, 682.00, 264.00, 111.00, 120.00, 258.00, 398.00,,
1748679803,67.00, 125.00, 679.00, 264.00, 111.00, 120.00, 258.00, 398.00,,
1748679804,67.00, 125.00, 677.00, 264.00, 111.00, 120.00, 257.00, 398.00,,
1748679805,67.00, 126.00, 677.00, 265.00, 111.00, 120.00, 258.00, 399.00,,
1748679806,66.00, 125.00, 677.00, 264.00, 111.00, 120.00, 258.00, 398.00,,
1748679807,67.00, 125.00, 676.00, 264.00, 111.00, 120.00, 258.00, 399.00,,
1748679808,67.00, 125.00, 674.00, 263.00, 111.00, 120.00, 258.00, 398.00,,
1748679809,66.00, 125.00, 673.00, 264.00, 111.00, 120.00, 258.00, 399.00,,
1748679810,65.00, 125.00, 668.00, 263.00, 110.00, 119.00, 258.00, 398.00,,
1748679811,66.00, 125.00, 670.00, 264.00, 111.00, 120.00, 258.00, 398.00,,
1748679812,65.00, 125.00, 667.00, 263.00, 110.00, 119.00, 258.00, 398.00,,
1748679813,65.00, 124.00, 667.00, 263.00, 109.00, 119.00, 258.00, 396.00,,
1748679814,64.00, 124.00, 664.00, 263.00, 109.00, 119.00, 258.00, 396.00,,
1748679815,64.00, 124.00, 661.00, 262.00, 109.00, 118.00, 257.00, 396.00,,
1748679816,64.00, 124.00, 662.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679817,64.00, 124.00, 663.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679818,64.00, 124.00, 664.00, 263.00, 108.00, 117.00, 257.00, 395.00,,
1748679819,64.00, 124.00, 665.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679820,64.00, 124.00, 664.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679821,64.00, 124.00, 667.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679822,64.00, 124.00, 668.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679823,64.00, 124.00, 668.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679824,64.00, 124.00, 671.00, 264.00, 108.00, 118.00, 258.00, 396.00,,
1748679825,64.00, 124.00, 670.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679826,64.00, 124.00, 671.00, 263.00, 108.00, 117.00, 257.00, 396.00,,
1748679827,64.00, 125.00, 670.00, 263.00, 108.00, 117.00, 257.00, 396.00,,
1748679828,64.00, 124.00, 671.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679829,64.00, 124.00, 668.00, 262.00, 107.00, 118.00, 257.00, 394.00,,
1748679830,65.00, 124.00, 668.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679831,64.00, 124.00, 667.00, 264.00, 107.00, 118.00, 258.00, 396.00,,
1748679832,64.00, 124.00, 666.00, 263.00, 107.00, 117.00, 257.00, 395.00,,
1748679833,64.00, 124.00, 667.00, 263.00, 107.00, 118.00, 257.00, 395.00,,
1748679840,64.00, 124.00, 668.00, 263.00, 107.00, 118.00, 257.00, 395.00,,
1748679841,64.00, 123.00, 668.00, 263.00, 107.00, 117.00, 257.00, 394.00,,
1748679842,65.00, 123.00, 670.00, 263.00, 107.00, 117.00, 257.00, 394.00,,
1748679843,64.00, 124.00, 670.00, 263.00, 107.00, 118.00, 257.00, 394.00,,
1748679844,64.00, 125.00, 674.00, 264.00, 107.00, 118.00, 258.00, 395.00,,
1748679845,65.00, 124.00, 673.00, 264.00, 108.00, 118.00, 256.00, 395.00,,
1748679846,65.00, 124.00, 673.00, 263.00, 107.00, 118.00, 257.00, 394.00,,
1748679847,65.00, 124.00, 675.00, 263.00, 107.00, 118.00, 257.00, 395.00,,
1748679848,65.00, 124.00, 675.00, 263.00, 107.00, 118.00, 257.00, 395.00,,
1748679849,65.00, 124.00, 676.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679850,65.00, 124.00, 676.00, 264.00, 108.00, 118.00, 257.00, 395.00,,
1748679851,65.00, 124.00, 676.00, 264.00, 108.00, 118.00, 257.00, 395.00,,
1748679852,65.00, 124.00, 675.00, 264.00, 108.00, 118.00, 257.00, 394.00,,
1748679853,65.00, 124.00, 674.00, 264.00, 108.00, 118.00, 257.00, 396.00,,
1748679854,65.00, 124.00, 673.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679855,66.00, 124.00, 673.00, 262.00, 108.00, 118.00, 256.00, 395.00,,
1748679856,65.00, 124.00, 676.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679857,66.00, 124.00, 676.00, 263.00, 108.00, 119.00, 257.00, 396.00,,
1748679858,66.00, 124.00, 676.00, 263.00, 109.00, 119.00, 257.00, 395.00,,
1748679859,65.00, 124.00, 676.00, 264.00, 108.00, 119.00, 257.00, 396.00,,
1748679860,66.00, 124.00, 674.00, 263.00, 108.00, 119.00, 256.00, 395.00,,
1748679861,66.00, 124.00, 670.00, 263.00, 109.00, 119.00, 257.00, 395.00,,
1748679862,66.00, 124.00, 668.00, 263.00, 109.00, 118.00, 257.00, 395.00,,
1748679864,65.00, 124.00, 665.00, 263.00, 108.00, 118.00, 256.00, 394.00,,
1748679865,65.00, 124.00, 667.00, 263.00, 108.00, 119.00, 257.00, 396.00,,
1748679866,65.00, 124.00, 667.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679867,65.00, 124.00, 669.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679868,65.00, 124.00, 669.00, 263.00, 108.00, 119.00, 257.00, 396.00,,
1748679869,65.00, 124.00, 669.00, 263.00, 108.00, 118.00, 257.00, 394.00,,
1748679870,65.00, 124.00, 672.00, 264.00, 108.00, 118.00, 256.00, 395.00,,
1748679871,65.00, 124.00, 669.00, 262.00, 108.00, 118.00, 256.00, 394.00,,
1748679872,65.00, 124.00, 672.00, 263.00, 108.00, 119.00, 257.00, 395.00,,
1748679873,65.00, 124.00, 672.00, 263.00, 108.00, 118.00, 257.00, 396.00,,
1748679874,65.00, 124.00, 670.00, 263.00, 108.00, 118.00, 257.00, 394.00,,
1748679875,65.00, 124.00, 668.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679876,65.00, 124.00, 667.00, 263.00, 108.00, 118.00, 256.00, 396.00,,
1748679877,65.00, 124.00, 668.00, 263.00, 108.00, 119.00, 257.00, 395.00,,
1748679878,65.00, 124.00, 668.00, 263.00, 109.00, 118.00, 257.00, 395.00,,
1748679879,65.00, 124.00, 667.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679880,65.00, 124.00, 669.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679887,65.00, 123.00, 673.00, 263.00, 108.00, 119.00, 257.00, 394.00,,
1748679888,65.00, 123.00, 673.00, 263.00, 108.00, 118.00, 258.00, 395.00,,
1748679889,65.00, 124.00, 674.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679890,65.00, 123.00, 674.00, 263.00, 108.00, 118.00, 257.00, 395.00,,
1748679891,65.00, 123.00, 674.00, 263.00, 108.00, 119.00, 258.00, 396.00,,
1748679892,65.00, 124.00, 673.00, 263.00, 108.00, 119.00, 257.00, 394.00,,
1748679893,66.00, 124.00, 677.00, 264.00, 108.00, 118.00, 258.00, 395.00,,
1748679894,65.00, 123.00, 677.00, 264.00, 108.00, 119.00, 256.00, 395.00,,
1748679895,65.00, 124.00, 679.00, 264.00, 108.00, 119.00, 257.00, 396.00,,
1748679896,66.00, 123.00, 679.00, 263.00, 109.00, 119.00, 258.00, 396.00,,
1748679897,66.00, 124.00, 680.00, 263.00, 108.00, 120.00, 257.00, 396.00,,
1748679898,66.00, 124.00, 679.00, 263.00, 109.00, 119.00, 257.00, 395.00,,
1748679899,66.00, 123.00, 677.00, 264.00, 109.00, 119.00, 257.00, 395.00,,
1748679900,66.00, 124.00, 678.00, 264.00, 109.00, 120.00, 256.00, 395.00,,
1748679901,66.00, 124.00, 678.00, 264.00, 109.00, 119.00, 257.00, 396.00,,
1748679902,66.00, 124.00, 678.00, 263.00, 109.00, 119.00, 257.00, 395.00,,
1748679903,66.00, 124.00, 679.00, 264.00, 108.00, 119.00, 257.00, 396.00,,
1748679904,66.00, 124.00, 680.00, 264.00, 109.00, 119.00, 257.00, 396.00,,
1748679905,66.00, 124.00, 679.00, 263.00, 108.00, 119.00, 258.00, 396.00,,
1748679906,67.00, 124.00, 680.00, 264.00, 109.00, 119.00, 256.00, 395.00,,
1748679907,66.00, 124.00, 681.00, 264.00, 109.00, 119.00, 257.00, 396.00,,
1748679908,66.00, 124.00, 681.00, 264.00, 109.00, 120.00, 257.00, 396.00,,
1748679909,66.00, 124.00, 682.00, 263.00, 110.00, 120.00, 257.00, 396.00,,
1748679910,66.00, 124.00, 680.00, 263.00, 110.00, 119.00, 256.00, 395.00,,
1748679911,66.00, 124.00, 683.00, 263.00, 110.00, 120.00, 257.00, 396.00,,
1748679912,67.00, 124.00, 682.00, 264.00, 110.00, 120.00, 256.00, 396.00,,
1748679913,66.00, 124.00, 683.00, 264.00, 110.00, 119.00, 256.00, 396.00,,
