Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747393413,277.00, 351.00, 12.00, 284.00, 112.00, 293.00, 722.00, 599.00,,
1747393414,277.00, 350.00, 11.00, 284.00, 113.00, 295.00, 724.00, 614.00,,
1747393415,278.00, 351.00, 10.00, 285.00, 115.00, 296.00, 724.00, 622.00,,
1747393416,277.00, 351.00, 12.00, 285.00, 116.00, 297.00, 725.00, 635.00,,
1747393417,278.00, 351.00, 11.00, 285.00, 118.00, 299.00, 726.00, 644.00,,
1747393418,278.00, 351.00, 10.00, 285.00, 120.00, 299.00, 726.00, 651.00,,
1747393419,279.00, 351.00, 11.00, 285.00, 122.00, 305.00, 727.00, 659.00,,
1747393420,280.00, 350.00, 11.00, 285.00, 124.00, 313.00, 728.00, 665.00,,
1747393421,280.00, 350.00, 10.00, 286.00, 129.00, 321.00, 728.00, 672.00,,
1747393422,283.00, 353.00, 10.00, 287.00, 134.00, 322.00, 731.00, 676.00,,
1747393423,282.00, 351.00, 12.00, 286.00, 137.00, 322.00, 730.00, 679.00,,
1747393424,283.00, 352.00, 10.00, 287.00, 141.00, 321.00, 731.00, 681.00,,
1747393425,283.00, 352.00, 10.00, 287.00, 143.00, 319.00, 730.00, 683.00,,
1747393426,284.00, 352.00, 11.00, 288.00, 146.00, 318.00, 730.00, 684.00,,
1747393427,285.00, 353.00, 10.00, 288.00, 148.00, 317.00, 730.00, 686.00,,
1747393428,285.00, 352.00, 11.00, 288.00, 149.00, 316.00, 730.00, 686.00,,
1747393429,284.00, 353.00, 10.00, 288.00, 151.00, 314.00, 728.00, 685.00,,
1747393430,285.00, 354.00, 12.00, 288.00, 152.00, 314.00, 731.00, 687.00,,
1747393431,286.00, 353.00, 12.00, 288.00, 153.00, 313.00, 728.00, 685.00,,
1747393432,285.00, 354.00, 10.00, 288.00, 154.00, 312.00, 731.00, 687.00,,
1747393433,287.00, 355.00, 8.00, 289.00, 160.00, 319.00, 729.00, 699.00,,
1747393434,291.00, 354.00, 11.00, 291.00, 175.00, 328.00, 727.00, 721.00,,
1747393435,299.00, 361.00, 11.00, 292.00, 191.00, 333.00, 729.00, 731.00,,
1747393436,301.00, 367.00, 12.00, 292.00, 202.00, 333.00, 725.00, 736.00,,
1747393437,304.00, 372.00, 12.00, 292.00, 211.00, 332.00, 725.00, 742.00,,
1747393438,303.00, 376.00, 10.00, 292.00, 216.00, 331.00, 723.00, 744.00,,
1747393439,305.00, 380.00, 12.00, 292.00, 221.00, 331.00, 725.00, 749.00,,
1747393440,305.00, 384.00, 12.00, 293.00, 224.00, 329.00, 724.00, 750.00,,
1747393441,305.00, 385.00, 11.00, 293.00, 227.00, 327.00, 722.00, 750.00,,
1747393442,305.00, 388.00, 12.00, 293.00, 229.00, 327.00, 724.00, 752.00,,
1747393443,304.00, 388.00, 11.00, 292.00, 230.00, 325.00, 722.00, 752.00,,
1747393444,305.00, 391.00, 12.00, 293.00, 231.00, 325.00, 724.00, 754.00,,
1747393445,304.00, 391.00, 12.00, 292.00, 232.00, 323.00, 721.00, 750.00,,
1747393446,304.00, 393.00, 12.00, 292.00, 233.00, 322.00, 722.00, 752.00,,
1747393447,304.00, 394.00, 13.00, 293.00, 234.00, 321.00, 722.00, 752.00,,
1747393448,303.00, 394.00, 13.00, 292.00, 234.00, 320.00, 722.00, 751.00,,
1747393449,304.00, 396.00, 12.00, 293.00, 234.00, 320.00, 722.00, 751.00,,
1747393450,303.00, 395.00, 13.00, 291.00, 234.00, 318.00, 721.00, 750.00,,
1747393451,304.00, 397.00, 12.00, 292.00, 235.00, 319.00, 722.00, 751.00,,
1747393452,303.00, 397.00, 13.00, 291.00, 234.00, 317.00, 722.00, 750.00,,
