Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747738172,605.00, 682.00, 22.00, 418.00, 505.00, 368.00, 826.00, 821.00,,
1747738173,609.00, 682.00, 23.00, 417.00, 502.00, 370.00, 822.00, 821.00,,
1747738174,608.00, 687.00, 22.00, 419.00, 505.00, 368.00, 829.00, 827.00,,
1747738175,606.00, 688.00, 23.00, 417.00, 505.00, 368.00, 830.00, 828.00,,
1747738176,603.00, 685.00, 22.00, 414.00, 504.00, 368.00, 830.00, 830.00,,
1747738177,601.00, 687.00, 22.00, 410.00, 503.00, 365.00, 825.00, 825.00,,
1747738178,595.00, 685.00, 22.00, 404.00, 501.00, 364.00, 824.00, 828.00,,
1747738179,600.00, 692.00, 24.00, 406.00, 503.00, 367.00, 824.00, 823.00,,
1747738180,592.00, 686.00, 23.00, 401.00, 498.00, 365.00, 822.00, 822.00,,
1747738181,591.00, 687.00, 21.00, 401.00, 497.00, 365.00, 821.00, 821.00,,
1747738182,586.00, 687.00, 21.00, 398.00, 496.00, 366.00, 820.00, 821.00,,
1747738183,586.00, 685.00, 22.00, 394.00, 491.00, 366.00, 817.00, 818.00,,
1747738184,586.00, 689.00, 23.00, 397.00, 493.00, 366.00, 818.00, 819.00,,
1747738185,585.00, 690.00, 24.00, 395.00, 493.00, 367.00, 819.00, 819.00,,
1747738186,581.00, 689.00, 21.00, 394.00, 489.00, 365.00, 814.00, 815.00,,
1747738187,580.00, 690.00, 23.00, 393.00, 490.00, 366.00, 814.00, 816.00,,
1747738188,580.00, 691.00, 22.00, 393.00, 488.00, 367.00, 815.00, 817.00,,
1747738189,575.00, 689.00, 23.00, 391.00, 487.00, 367.00, 815.00, 817.00,,
1747738190,572.00, 687.00, 23.00, 390.00, 483.00, 365.00, 808.00, 814.00,,
1747738191,575.00, 692.00, 22.00, 389.00, 485.00, 367.00, 807.00, 811.00,,
1747738192,573.00, 694.00, 22.00, 388.00, 484.00, 367.00, 812.00, 816.00,,
1747738193,572.00, 694.00, 24.00, 389.00, 484.00, 368.00, 811.00, 815.00,,
1747738194,571.00, 695.00, 23.00, 386.00, 481.00, 367.00, 810.00, 812.00,,
1747738195,569.00, 693.00, 24.00, 385.00, 478.00, 367.00, 806.00, 812.00,,
1747738196,569.00, 696.00, 23.00, 387.00, 482.00, 368.00, 808.00, 814.00,,
1747738197,569.00, 697.00, 24.00, 387.00, 481.00, 369.00, 809.00, 814.00,,
1747738198,567.00, 697.00, 22.00, 384.00, 477.00, 367.00, 803.00, 813.00,,
1747738199,565.00, 695.00, 24.00, 383.00, 475.00, 368.00, 802.00, 810.00,,
1747738200,565.00, 699.00, 22.00, 385.00, 478.00, 369.00, 805.00, 809.00,,
1747738201,564.00, 701.00, 22.00, 386.00, 477.00, 369.00, 803.00, 812.00,,
1747738202,563.00, 701.00, 23.00, 385.00, 477.00, 368.00, 802.00, 811.00,,
1747738203,560.00, 699.00, 23.00, 382.00, 473.00, 367.00, 798.00, 809.00,,
1747738204,561.00, 701.00, 23.00, 384.00, 474.00, 366.00, 796.00, 805.00,,
1747738205,560.00, 702.00, 24.00, 384.00, 473.00, 368.00, 800.00, 809.00,,
1747738206,558.00, 699.00, 22.00, 383.00, 472.00, 368.00, 799.00, 805.00,,
1747738207,555.00, 700.00, 23.00, 381.00, 470.00, 367.00, 794.00, 804.00,,
1747738208,555.00, 699.00, 22.00, 380.00, 471.00, 366.00, 793.00, 802.00,,
1747738209,556.00, 704.00, 21.00, 382.00, 470.00, 368.00, 796.00, 806.00,,
1747738210,556.00, 705.00, 24.00, 382.00, 469.00, 368.00, 795.00, 806.00,,
1747738211,549.00, 701.00, 22.00, 380.00, 467.00, 366.00, 791.00, 804.00,,
