Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739493,243.00, 685.00, 23.00, 309.00, 255.00, 295.00, 600.00, 740.00,,
1747739494,242.00, 688.00, 23.00, 308.00, 258.00, 297.00, 601.00, 744.00,,
1747739495,242.00, 684.00, 22.00, 307.00, 257.00, 298.00, 599.00, 743.00,,
1747739496,241.00, 682.00, 22.00, 306.00, 257.00, 296.00, 596.00, 740.00,,
1747739497,240.00, 681.00, 22.00, 306.00, 257.00, 296.00, 596.00, 738.00,,
1747739498,241.00, 682.00, 22.00, 307.00, 258.00, 297.00, 596.00, 740.00,,
1747739499,241.00, 682.00, 22.00, 306.00, 259.00, 296.00, 597.00, 741.00,,
1747739500,241.00, 683.00, 22.00, 306.00, 259.00, 296.00, 596.00, 741.00,,
1747739501,241.00, 684.00, 20.00, 307.00, 260.00, 296.00, 596.00, 742.00,,
1747739502,239.00, 680.00, 22.00, 305.00, 259.00, 296.00, 592.00, 737.00,,
1747739503,241.00, 680.00, 22.00, 306.00, 259.00, 295.00, 591.00, 738.00,,
1747739504,241.00, 682.00, 22.00, 306.00, 261.00, 296.00, 590.00, 739.00,,
1747739505,242.00, 684.00, 21.00, 306.00, 262.00, 296.00, 591.00, 741.00,,
1747739506,242.00, 685.00, 21.00, 307.00, 262.00, 296.00, 591.00, 742.00,,
1747739507,241.00, 684.00, 21.00, 307.00, 262.00, 297.00, 590.00, 741.00,,
1747739508,241.00, 685.00, 22.00, 307.00, 263.00, 296.00, 588.00, 741.00,,
1747739509,241.00, 685.00, 22.00, 306.00, 263.00, 296.00, 588.00, 741.00,,
1747739510,242.00, 685.00, 21.00, 307.00, 263.00, 296.00, 587.00, 740.00,,
1747739511,240.00, 682.00, 23.00, 305.00, 261.00, 295.00, 581.00, 736.00,,
1747739512,240.00, 683.00, 23.00, 305.00, 262.00, 294.00, 583.00, 740.00,,
1747739513,241.00, 683.00, 22.00, 306.00, 262.00, 295.00, 582.00, 738.00,,
1747739514,242.00, 685.00, 23.00, 306.00, 263.00, 294.00, 583.00, 738.00,,
1747739515,242.00, 687.00, 22.00, 308.00, 263.00, 294.00, 582.00, 739.00,,
1747739516,243.00, 688.00, 21.00, 307.00, 262.00, 294.00, 581.00, 737.00,,
1747739517,243.00, 688.00, 22.00, 307.00, 262.00, 293.00, 579.00, 735.00,,
1747739518,242.00, 689.00, 22.00, 308.00, 261.00, 292.00, 577.00, 734.00,,
1747739519,243.00, 689.00, 23.00, 308.00, 260.00, 291.00, 575.00, 732.00,,
1747739520,243.00, 690.00, 23.00, 307.00, 258.00, 290.00, 572.00, 728.00,,
1747739521,243.00, 686.00, 23.00, 307.00, 257.00, 290.00, 571.00, 728.00,,
1747739522,244.00, 687.00, 19.00, 307.00, 257.00, 289.00, 574.00, 725.00,,
1747739523,251.00, 707.00, 20.00, 313.00, 263.00, 295.00, 590.00, 744.00,,
1747739524,250.00, 693.00, 20.00, 309.00, 259.00, 292.00, 580.00, 735.00,,
1747739525,251.00, 696.00, 23.00, 309.00, 259.00, 291.00, 582.00, 735.00,,
1747739526,251.00, 696.00, 23.00, 309.00, 258.00, 292.00, 583.00, 735.00,,
1747739527,252.00, 695.00, 24.00, 309.00, 258.00, 292.00, 583.00, 735.00,,
1747739528,253.00, 697.00, 22.00, 310.00, 258.00, 292.00, 584.00, 736.00,,
1747739529,254.00, 698.00, 23.00, 311.00, 257.00, 291.00, 584.00, 735.00,,
1747739530,254.00, 697.00, 24.00, 311.00, 256.00, 292.00, 584.00, 735.00,,
1747739531,254.00, 698.00, 22.00, 311.00, 256.00, 292.00, 585.00, 734.00,,
1747739532,254.00, 697.00, 24.00, 311.00, 256.00, 292.00, 585.00, 734.00,,
