Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739400,269.00, 688.00, 24.00, 320.00, 309.00, 318.00, 620.00, 785.00,,
1747739401,269.00, 687.00, 23.00, 318.00, 307.00, 317.00, 616.00, 779.00,,
1747739402,269.00, 688.00, 22.00, 318.00, 306.00, 316.00, 615.00, 780.00,,
1747739403,269.00, 688.00, 21.00, 317.00, 303.00, 316.00, 614.00, 778.00,,
1747739404,267.00, 684.00, 23.00, 316.00, 299.00, 313.00, 610.00, 776.00,,
1747739405,267.00, 687.00, 23.00, 316.00, 297.00, 313.00, 611.00, 774.00,,
1747739406,267.00, 686.00, 21.00, 315.00, 294.00, 312.00, 613.00, 776.00,,
1747739407,267.00, 690.00, 22.00, 316.00, 293.00, 313.00, 614.00, 776.00,,
1747739408,266.00, 688.00, 22.00, 317.00, 291.00, 311.00, 613.00, 774.00,,
1747739409,265.00, 689.00, 22.00, 317.00, 288.00, 311.00, 613.00, 774.00,,
1747739410,265.00, 688.00, 23.00, 316.00, 286.00, 310.00, 614.00, 774.00,,
1747739411,264.00, 688.00, 21.00, 316.00, 284.00, 310.00, 613.00, 772.00,,
1747739412,264.00, 688.00, 22.00, 316.00, 282.00, 309.00, 613.00, 771.00,,
1747739413,264.00, 687.00, 23.00, 315.00, 280.00, 308.00, 611.00, 771.00,,
1747739414,262.00, 684.00, 22.00, 313.00, 278.00, 308.00, 610.00, 767.00,,
1747739416,262.00, 682.00, 21.00, 314.00, 276.00, 308.00, 609.00, 766.00,,
1747739417,261.00, 684.00, 22.00, 316.00, 276.00, 308.00, 613.00, 766.00,,
1747739418,262.00, 686.00, 22.00, 315.00, 275.00, 307.00, 613.00, 769.00,,
1747739419,262.00, 685.00, 21.00, 315.00, 274.00, 308.00, 613.00, 769.00,,
1747739420,262.00, 687.00, 20.00, 316.00, 274.00, 308.00, 614.00, 769.00,,
1747739421,262.00, 687.00, 21.00, 316.00, 273.00, 308.00, 612.00, 767.00,,
1747739422,261.00, 684.00, 22.00, 313.00, 271.00, 305.00, 610.00, 765.00,,
1747739423,261.00, 683.00, 23.00, 313.00, 272.00, 306.00, 609.00, 765.00,,
1747739424,261.00, 684.00, 22.00, 314.00, 271.00, 307.00, 609.00, 764.00,,
1747739425,261.00, 686.00, 23.00, 315.00, 271.00, 308.00, 608.00, 765.00,,
1747739426,262.00, 688.00, 24.00, 315.00, 271.00, 308.00, 607.00, 765.00,,
1747739427,262.00, 685.00, 21.00, 316.00, 271.00, 308.00, 606.00, 764.00,,
1747739428,263.00, 688.00, 23.00, 316.00, 271.00, 308.00, 604.00, 763.00,,
1747739429,262.00, 687.00, 22.00, 315.00, 271.00, 307.00, 600.00, 758.00,,
1747739430,261.00, 683.00, 22.00, 315.00, 269.00, 305.00, 601.00, 757.00,,
1747739431,260.00, 682.00, 21.00, 313.00, 270.00, 304.00, 596.00, 756.00,,
1747739432,260.00, 684.00, 20.00, 314.00, 269.00, 306.00, 595.00, 757.00,,
1747739433,261.00, 685.00, 23.00, 314.00, 268.00, 306.00, 596.00, 758.00,,
1747739434,262.00, 686.00, 22.00, 315.00, 268.00, 304.00, 595.00, 757.00,,
1747739435,261.00, 688.00, 22.00, 315.00, 269.00, 305.00, 597.00, 757.00,,
1747739436,261.00, 687.00, 22.00, 315.00, 269.00, 304.00, 596.00, 757.00,,
1747739437,261.00, 687.00, 24.00, 315.00, 268.00, 304.00, 595.00, 756.00,,
1747739438,260.00, 687.00, 23.00, 315.00, 268.00, 303.00, 594.00, 756.00,,
1747739439,261.00, 687.00, 22.00, 315.00, 267.00, 303.00, 594.00, 755.00,,
1747739440,261.00, 688.00, 23.00, 314.00, 267.00, 302.00, 593.00, 755.00,,
