Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739279,284.00, 687.00, 23.00, 337.00, 361.00, 308.00, 702.00, 774.00,,
1747739280,285.00, 690.00, 22.00, 337.00, 359.00, 309.00, 702.00, 775.00,,
1747739281,285.00, 689.00, 22.00, 336.00, 356.00, 309.00, 699.00, 774.00,,
1747739282,284.00, 687.00, 24.00, 335.00, 353.00, 309.00, 697.00, 770.00,,
1747739283,285.00, 690.00, 24.00, 336.00, 351.00, 309.00, 696.00, 771.00,,
1747739284,284.00, 690.00, 21.00, 335.00, 348.00, 309.00, 693.00, 771.00,,
1747739285,283.00, 687.00, 22.00, 332.00, 346.00, 307.00, 687.00, 769.00,,
1747739286,283.00, 685.00, 22.00, 332.00, 343.00, 309.00, 686.00, 765.00,,
1747739287,282.00, 686.00, 22.00, 332.00, 341.00, 309.00, 684.00, 766.00,,
1747739288,283.00, 687.00, 23.00, 332.00, 341.00, 309.00, 685.00, 768.00,,
1747739289,283.00, 689.00, 22.00, 332.00, 338.00, 309.00, 684.00, 767.00,,
1747739290,283.00, 690.00, 22.00, 333.00, 338.00, 309.00, 683.00, 766.00,,
1747739291,283.00, 689.00, 24.00, 332.00, 336.00, 310.00, 682.00, 766.00,,
1747739292,283.00, 688.00, 22.00, 330.00, 333.00, 309.00, 678.00, 762.00,,
1747739293,284.00, 691.00, 22.00, 332.00, 334.00, 310.00, 679.00, 766.00,,
1747739294,283.00, 690.00, 22.00, 331.00, 332.00, 308.00, 675.00, 763.00,,
1747739295,283.00, 684.00, 21.00, 331.00, 330.00, 308.00, 672.00, 760.00,,
1747739296,281.00, 688.00, 23.00, 330.00, 330.00, 308.00, 674.00, 760.00,,
1747739297,282.00, 688.00, 22.00, 331.00, 329.00, 308.00, 671.00, 762.00,,
1747739298,282.00, 687.00, 22.00, 330.00, 329.00, 309.00, 671.00, 761.00,,
1747739299,283.00, 689.00, 23.00, 331.00, 329.00, 309.00, 671.00, 761.00,,
1747739300,282.00, 688.00, 22.00, 331.00, 328.00, 308.00, 668.00, 760.00,,
1747739301,283.00, 689.00, 23.00, 331.00, 327.00, 308.00, 668.00, 760.00,,
1747739302,282.00, 688.00, 22.00, 330.00, 325.00, 307.00, 664.00, 758.00,,
1747739303,281.00, 688.00, 23.00, 329.00, 324.00, 306.00, 664.00, 754.00,,
1747739304,282.00, 688.00, 23.00, 330.00, 325.00, 307.00, 663.00, 756.00,,
1747739305,283.00, 689.00, 22.00, 331.00, 324.00, 309.00, 664.00, 758.00,,
1747739306,282.00, 689.00, 24.00, 330.00, 324.00, 308.00, 662.00, 757.00,,
1747739307,282.00, 688.00, 21.00, 330.00, 323.00, 307.00, 661.00, 754.00,,
1747739308,282.00, 688.00, 22.00, 329.00, 321.00, 305.00, 656.00, 752.00,,
1747739309,280.00, 684.00, 21.00, 328.00, 322.00, 305.00, 655.00, 755.00,,
1747739310,281.00, 684.00, 22.00, 329.00, 320.00, 306.00, 654.00, 754.00,,
1747739311,280.00, 684.00, 22.00, 329.00, 319.00, 306.00, 653.00, 754.00,,
1747739312,281.00, 686.00, 23.00, 329.00, 320.00, 307.00, 656.00, 754.00,,
1747739313,281.00, 687.00, 23.00, 330.00, 320.00, 306.00, 655.00, 754.00,,
1747739314,281.00, 687.00, 21.00, 330.00, 320.00, 306.00, 653.00, 753.00,,
1747739315,281.00, 687.00, 24.00, 329.00, 319.00, 306.00, 652.00, 754.00,,
1747739316,280.00, 687.00, 22.00, 330.00, 319.00, 306.00, 652.00, 753.00,,
1747739317,281.00, 689.00, 22.00, 329.00, 317.00, 305.00, 647.00, 753.00,,
1747739318,279.00, 686.00, 23.00, 329.00, 317.00, 305.00, 649.00, 753.00,,
