Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747738070,367.00, 564.00, 18.00, 432.00, 509.00, 599.00, 960.00, 907.00,,
1747738071,377.00, 569.00, 18.00, 446.00, 531.00, 599.00, 966.00, 914.00,,
1747738072,382.00, 567.00, 17.00, 453.00, 548.00, 594.00, 965.00, 915.00,,
1747738073,395.00, 566.00, 19.00, 464.00, 564.00, 608.00, 961.00, 909.00,,
1747738074,443.00, 564.00, 18.00, 501.00, 586.00, 601.00, 952.00, 900.00,,
1747738075,476.00, 565.00, 18.00, 519.00, 603.00, 598.00, 952.00, 901.00,,
1747738076,482.00, 552.00, 17.00, 512.00, 598.00, 579.00, 927.00, 878.00,,
1747738077,493.00, 550.00, 18.00, 520.00, 603.00, 570.00, 921.00, 870.00,,
1747738078,508.00, 553.00, 17.00, 524.00, 606.00, 564.00, 919.00, 872.00,,
1747738079,525.00, 559.00, 17.00, 534.00, 615.00, 565.00, 919.00, 864.00,,
1747738080,536.00, 564.00, 17.00, 538.00, 619.00, 562.00, 919.00, 870.00,,
1747738081,547.00, 569.00, 18.00, 541.00, 621.00, 558.00, 914.00, 870.00,,
1747738082,555.00, 571.00, 15.00, 544.00, 622.00, 557.00, 912.00, 866.00,,
1747738083,564.00, 576.00, 20.00, 549.00, 627.00, 554.00, 910.00, 864.00,,
1747738084,573.00, 582.00, 17.00, 551.00, 630.00, 552.00, 908.00, 866.00,,
1747738085,577.00, 586.00, 20.00, 550.00, 630.00, 547.00, 900.00, 860.00,,
1747738086,580.00, 587.00, 16.00, 551.00, 629.00, 546.00, 901.00, 859.00,,
1747738087,584.00, 591.00, 20.00, 550.00, 630.00, 542.00, 898.00, 859.00,,
1747738088,592.00, 599.00, 20.00, 552.00, 632.00, 545.00, 899.00, 863.00,,
1747738089,596.00, 604.00, 19.00, 553.00, 632.00, 543.00, 898.00, 862.00,,
1747738090,595.00, 604.00, 21.00, 552.00, 632.00, 540.00, 895.00, 862.00,,
1747738091,597.00, 608.00, 19.00, 549.00, 628.00, 535.00, 891.00, 857.00,,
1747738092,606.00, 615.00, 19.00, 554.00, 633.00, 538.00, 891.00, 860.00,,
1747738093,608.00, 616.00, 20.00, 550.00, 632.00, 536.00, 888.00, 860.00,,
1747738094,610.00, 616.00, 19.00, 551.00, 627.00, 530.00, 882.00, 857.00,,
1747738095,613.00, 626.00, 19.00, 551.00, 632.00, 534.00, 888.00, 859.00,,
1747738096,613.00, 628.00, 20.00, 550.00, 628.00, 530.00, 884.00, 854.00,,
1747738097,615.00, 631.00, 20.00, 550.00, 631.00, 531.00, 887.00, 851.00,,
1747738098,618.00, 635.00, 20.00, 550.00, 631.00, 529.00, 886.00, 858.00,,
1747738099,619.00, 631.00, 21.00, 545.00, 625.00, 525.00, 877.00, 852.00,,
1747738100,624.00, 640.00, 19.00, 550.00, 630.00, 524.00, 879.00, 855.00,,
1747738101,628.00, 644.00, 21.00, 549.00, 628.00, 522.00, 876.00, 855.00,,
1747738102,631.00, 643.00, 21.00, 549.00, 627.00, 519.00, 874.00, 850.00,,
1747738103,635.00, 649.00, 21.00, 544.00, 624.00, 514.00, 865.00, 852.00,,
1747738104,637.00, 652.00, 22.00, 547.00, 627.00, 515.00, 871.00, 852.00,,
1747738105,641.00, 655.00, 20.00, 546.00, 625.00, 512.00, 869.00, 851.00,,
1747738106,645.00, 656.00, 21.00, 546.00, 625.00, 509.00, 866.00, 846.00,,
1747738107,645.00, 654.00, 21.00, 539.00, 617.00, 503.00, 851.00, 841.00,,
1747738108,656.00, 663.00, 21.00, 544.00, 622.00, 500.00, 858.00, 847.00,,
1747738109,657.00, 662.00, 21.00, 539.00, 619.00, 495.00, 853.00, 845.00,,
