Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739089,275.00, 707.00, 24.00, 393.00, 335.00, 485.00, 934.00, 898.00,,
1747739090,277.00, 709.00, 23.00, 397.00, 341.00, 484.00, 930.00, 894.00,,
1747739091,280.00, 704.00, 23.00, 400.00, 345.00, 482.00, 925.00, 892.00,,
1747739092,287.00, 710.00, 24.00, 406.00, 350.00, 486.00, 930.00, 899.00,,
1747739093,291.00, 710.00, 23.00, 409.00, 354.00, 486.00, 929.00, 899.00,,
1747739094,295.00, 710.00, 23.00, 414.00, 358.00, 486.00, 930.00, 899.00,,
1747739095,298.00, 710.00, 23.00, 418.00, 363.00, 485.00, 925.00, 896.00,,
1747739096,301.00, 705.00, 24.00, 417.00, 363.00, 491.00, 919.00, 893.00,,
1747739097,308.00, 710.00, 24.00, 427.00, 370.00, 513.00, 927.00, 900.00,,
1747739098,325.00, 717.00, 24.00, 443.00, 392.00, 552.00, 938.00, 914.00,,
1747739099,313.00, 672.00, 22.00, 420.00, 381.00, 515.00, 872.00, 856.00,,
1747739100,321.00, 677.00, 22.00, 426.00, 395.00, 515.00, 876.00, 857.00,,
1747739101,326.00, 676.00, 21.00, 434.00, 405.00, 510.00, 874.00, 855.00,,
1747739102,336.00, 671.00, 21.00, 441.00, 416.00, 504.00, 865.00, 853.00,,
1747739103,353.00, 679.00, 22.00, 456.00, 432.00, 505.00, 866.00, 854.00,,
1747739104,366.00, 678.00, 22.00, 463.00, 444.00, 504.00, 862.00, 854.00,,
1747739105,379.00, 680.00, 21.00, 469.00, 455.00, 501.00, 856.00, 852.00,,
1747739106,389.00, 677.00, 21.00, 471.00, 462.00, 499.00, 846.00, 845.00,,
1747739107,402.00, 683.00, 21.00, 481.00, 475.00, 498.00, 851.00, 851.00,,
1747739108,413.00, 686.00, 22.00, 486.00, 484.00, 495.00, 846.00, 850.00,,
1747739109,421.00, 686.00, 22.00, 490.00, 492.00, 490.00, 840.00, 845.00,,
1747739110,430.00, 683.00, 21.00, 491.00, 495.00, 487.00, 829.00, 840.00,,
1747739111,443.00, 690.00, 22.00, 497.00, 506.00, 485.00, 835.00, 846.00,,
1747739112,452.00, 693.00, 23.00, 497.00, 508.00, 477.00, 830.00, 843.00,,
1747739113,454.00, 693.00, 22.00, 497.00, 511.00, 470.00, 824.00, 836.00,,
1747739114,463.00, 696.00, 22.00, 501.00, 519.00, 467.00, 822.00, 842.00,,
1747739115,467.00, 697.00, 24.00, 499.00, 519.00, 459.00, 819.00, 837.00,,
1747739116,466.00, 696.00, 22.00, 496.00, 522.00, 454.00, 810.00, 832.00,,
1747739117,471.00, 700.00, 23.00, 498.00, 525.00, 449.00, 813.00, 836.00,,
1747739118,470.00, 700.00, 22.00, 497.00, 525.00, 440.00, 812.00, 835.00,,
1747739119,466.00, 697.00, 22.00, 489.00, 522.00, 431.00, 800.00, 830.00,,
1747739120,471.00, 704.00, 22.00, 491.00, 526.00, 430.00, 806.00, 830.00,,
1747739121,469.00, 706.00, 23.00, 489.00, 527.00, 425.00, 804.00, 828.00,,
1747739122,464.00, 704.00, 23.00, 482.00, 523.00, 417.00, 801.00, 825.00,,
1747739123,466.00, 707.00, 22.00, 483.00, 521.00, 412.00, 794.00, 820.00,,
1747739124,463.00, 707.00, 24.00, 480.00, 524.00, 410.00, 799.00, 823.00,,
1747739125,461.00, 709.00, 25.00, 477.00, 523.00, 406.00, 797.00, 822.00,,
1747739126,456.00, 706.00, 23.00, 472.00, 520.00, 402.00, 796.00, 821.00,,
1747739127,455.00, 710.00, 23.00, 468.00, 517.00, 396.00, 794.00, 811.00,,
1747739128,451.00, 708.00, 23.00, 470.00, 519.00, 396.00, 794.00, 819.00,,
