Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739208,351.00, 689.00, 23.00, 429.00, 481.00, 459.00, 856.00, 847.00,,
1747739209,358.00, 689.00, 24.00, 433.00, 484.00, 458.00, 858.00, 848.00,,
1747739210,364.00, 684.00, 23.00, 438.00, 485.00, 456.00, 854.00, 845.00,,
1747739211,374.00, 686.00, 24.00, 444.00, 490.00, 461.00, 856.00, 850.00,,
1747739212,392.00, 691.00, 21.00, 454.00, 495.00, 480.00, 855.00, 853.00,,
1747739213,406.00, 688.00, 23.00, 459.00, 497.00, 482.00, 851.00, 850.00,,
1747739214,413.00, 689.00, 21.00, 462.00, 499.00, 478.00, 850.00, 850.00,,
1747739215,418.00, 691.00, 23.00, 463.00, 501.00, 476.00, 850.00, 845.00,,
1747739216,436.00, 719.00, 24.00, 482.00, 523.00, 488.00, 880.00, 878.00,,
1747739217,411.00, 679.00, 22.00, 456.00, 493.00, 459.00, 835.00, 831.00,,
1747739218,410.00, 677.00, 23.00, 457.00, 494.00, 459.00, 834.00, 833.00,,
1747739219,412.00, 680.00, 22.00, 458.00, 495.00, 457.00, 834.00, 834.00,,
1747739220,413.00, 683.00, 22.00, 461.00, 498.00, 456.00, 834.00, 834.00,,
1747739221,416.00, 682.00, 21.00, 465.00, 500.00, 459.00, 833.00, 836.00,,
1747739222,422.00, 685.00, 22.00, 467.00, 501.00, 458.00, 828.00, 837.00,,
1747739223,425.00, 686.00, 23.00, 469.00, 503.00, 458.00, 824.00, 835.00,,
1747739224,427.00, 683.00, 23.00, 469.00, 502.00, 456.00, 817.00, 835.00,,
1747739225,432.00, 690.00, 22.00, 471.00, 505.00, 456.00, 816.00, 836.00,,
1747739226,434.00, 691.00, 22.00, 473.00, 505.00, 455.00, 813.00, 835.00,,
1747739227,436.00, 691.00, 23.00, 471.00, 504.00, 451.00, 808.00, 834.00,,
1747739228,436.00, 691.00, 23.00, 473.00, 507.00, 452.00, 811.00, 835.00,,
1747739229,438.00, 693.00, 22.00, 473.00, 507.00, 451.00, 809.00, 833.00,,
1747739230,437.00, 690.00, 24.00, 472.00, 505.00, 449.00, 804.00, 831.00,,
1747739231,442.00, 694.00, 23.00, 476.00, 507.00, 447.00, 800.00, 831.00,,
1747739232,441.00, 694.00, 22.00, 473.00, 506.00, 441.00, 792.00, 826.00,,
1747739233,443.00, 694.00, 23.00, 475.00, 506.00, 440.00, 791.00, 829.00,,
1747739234,448.00, 698.00, 22.00, 476.00, 507.00, 437.00, 785.00, 825.00,,
1747739235,448.00, 698.00, 23.00, 475.00, 506.00, 432.00, 781.00, 826.00,,
1747739236,452.00, 701.00, 21.00, 476.00, 505.00, 428.00, 777.00, 826.00,,
1747739237,452.00, 701.00, 22.00, 474.00, 504.00, 424.00, 773.00, 824.00,,
1747739238,450.00, 702.00, 23.00, 473.00, 502.00, 419.00, 770.00, 822.00,,
1747739239,451.00, 703.00, 23.00, 472.00, 501.00, 415.00, 767.00, 826.00,,
1747739240,460.00, 720.00, 24.00, 480.00, 510.00, 418.00, 780.00, 837.00,,
1747739241,456.00, 716.00, 23.00, 474.00, 506.00, 415.00, 781.00, 830.00,,
1747739242,404.00, 716.00, 23.00, 457.00, 497.00, 379.00, 776.00, 824.00,,
1747739243,365.00, 713.00, 24.00, 438.00, 484.00, 342.00, 776.00, 825.00,,
1747739244,320.00, 698.00, 24.00, 414.00, 462.00, 318.00, 754.00, 806.00,,
1747739245,304.00, 696.00, 22.00, 403.00, 448.00, 310.00, 749.00, 802.00,,
1747739246,296.00, 695.00, 22.00, 396.00, 441.00, 308.00, 749.00, 798.00,,
1747739247,294.00, 693.00, 22.00, 391.00, 434.00, 308.00, 745.00, 794.00,,
