Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739678,223.00, 658.00, 21.00, 312.00, 173.00, 301.00, 556.00, 650.00,,
1747739679,223.00, 658.00, 22.00, 312.00, 173.00, 302.00, 556.00, 649.00,,
1747739680,223.00, 658.00, 22.00, 312.00, 173.00, 301.00, 554.00, 649.00,,
1747739681,223.00, 658.00, 22.00, 312.00, 173.00, 301.00, 554.00, 650.00,,
1747739682,223.00, 658.00, 23.00, 312.00, 172.00, 300.00, 550.00, 647.00,,
1747739683,220.00, 654.00, 21.00, 310.00, 173.00, 300.00, 549.00, 647.00,,
1747739684,222.00, 657.00, 21.00, 312.00, 173.00, 300.00, 548.00, 650.00,,
1747739685,222.00, 657.00, 21.00, 311.00, 173.00, 301.00, 547.00, 651.00,,
1747739686,222.00, 657.00, 21.00, 312.00, 174.00, 300.00, 546.00, 651.00,,
1747739687,222.00, 657.00, 21.00, 313.00, 174.00, 300.00, 544.00, 652.00,,
1747739688,222.00, 657.00, 21.00, 313.00, 173.00, 299.00, 543.00, 652.00,,
1747739689,223.00, 656.00, 22.00, 312.00, 174.00, 300.00, 543.00, 652.00,,
1747739690,223.00, 657.00, 21.00, 312.00, 174.00, 299.00, 540.00, 652.00,,
1747739691,222.00, 656.00, 20.00, 312.00, 173.00, 298.00, 540.00, 653.00,,
1747739692,222.00, 656.00, 20.00, 312.00, 174.00, 296.00, 538.00, 651.00,,
1747739693,222.00, 656.00, 21.00, 311.00, 173.00, 296.00, 537.00, 651.00,,
1747739695,222.00, 656.00, 21.00, 310.00, 172.00, 293.00, 537.00, 647.00,,
1747739696,222.00, 651.00, 22.00, 311.00, 172.00, 291.00, 533.00, 646.00,,
1747739697,221.00, 652.00, 20.00, 310.00, 172.00, 290.00, 532.00, 648.00,,
1747739698,220.00, 655.00, 21.00, 309.00, 171.00, 288.00, 533.00, 644.00,,
1747739699,220.00, 652.00, 21.00, 309.00, 171.00, 287.00, 531.00, 646.00,,
1747739700,219.00, 651.00, 20.00, 309.00, 171.00, 287.00, 530.00, 644.00,,
1747739701,219.00, 652.00, 21.00, 309.00, 170.00, 285.00, 530.00, 642.00,,
1747739702,220.00, 650.00, 22.00, 307.00, 169.00, 285.00, 529.00, 641.00,,
1747739703,218.00, 652.00, 22.00, 306.00, 169.00, 283.00, 528.00, 641.00,,
1747739704,218.00, 653.00, 22.00, 307.00, 169.00, 282.00, 529.00, 642.00,,
1747739705,219.00, 654.00, 19.00, 307.00, 168.00, 281.00, 530.00, 636.00,,
1747739706,218.00, 656.00, 21.00, 306.00, 167.00, 281.00, 527.00, 638.00,,
1747739707,217.00, 652.00, 20.00, 306.00, 166.00, 279.00, 529.00, 633.00,,
1747739708,216.00, 651.00, 21.00, 306.00, 166.00, 279.00, 526.00, 632.00,,
1747739709,215.00, 653.00, 22.00, 304.00, 165.00, 277.00, 528.00, 630.00,,
1747739710,215.00, 653.00, 21.00, 304.00, 165.00, 277.00, 528.00, 630.00,,
1747739711,214.00, 652.00, 20.00, 304.00, 164.00, 276.00, 525.00, 628.00,,
1747739712,214.00, 653.00, 22.00, 304.00, 164.00, 277.00, 527.00, 629.00,,
1747739713,214.00, 653.00, 20.00, 304.00, 162.00, 275.00, 525.00, 626.00,,
1747739714,214.00, 650.00, 21.00, 303.00, 162.00, 275.00, 525.00, 625.00,,
1747739715,212.00, 653.00, 20.00, 303.00, 162.00, 276.00, 527.00, 626.00,,
1747739716,213.00, 653.00, 23.00, 304.00, 161.00, 276.00, 526.00, 624.00,,
1747739717,214.00, 653.00, 22.00, 303.00, 160.00, 275.00, 528.00, 624.00,,
1747739718,213.00, 653.00, 22.00, 302.00, 160.00, 275.00, 527.00, 622.00,,
