Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739618,238.00, 732.00, 25.00, 328.00, 182.00, 331.00, 626.00, 698.00,,
1747739619,241.00, 739.00, 25.00, 333.00, 184.00, 338.00, 630.00, 702.00,,
1747739620,249.00, 746.00, 24.00, 338.00, 187.00, 347.00, 639.00, 713.00,,
1747739621,238.00, 707.00, 22.00, 322.00, 177.00, 328.00, 603.00, 674.00,,
1747739622,228.00, 674.00, 21.00, 308.00, 169.00, 314.00, 576.00, 646.00,,
1747739623,225.00, 665.00, 21.00, 305.00, 167.00, 308.00, 567.00, 636.00,,
1747739624,225.00, 662.00, 22.00, 305.00, 168.00, 308.00, 567.00, 638.00,,
1747739625,227.00, 664.00, 24.00, 307.00, 169.00, 309.00, 568.00, 641.00,,
1747739626,228.00, 665.00, 22.00, 308.00, 170.00, 308.00, 566.00, 641.00,,
1747739627,228.00, 665.00, 22.00, 309.00, 170.00, 308.00, 564.00, 643.00,,
1747739628,229.00, 665.00, 21.00, 310.00, 171.00, 308.00, 563.00, 645.00,,
1747739629,229.00, 665.00, 21.00, 310.00, 172.00, 308.00, 561.00, 645.00,,
1747739630,229.00, 664.00, 21.00, 311.00, 172.00, 308.00, 559.00, 644.00,,
1747739631,228.00, 661.00, 21.00, 309.00, 172.00, 307.00, 556.00, 644.00,,
1747739632,229.00, 663.00, 21.00, 311.00, 173.00, 306.00, 558.00, 648.00,,
1747739633,229.00, 663.00, 22.00, 311.00, 174.00, 306.00, 556.00, 650.00,,
1747739634,229.00, 662.00, 21.00, 312.00, 174.00, 307.00, 556.00, 651.00,,
1747739635,230.00, 663.00, 22.00, 312.00, 175.00, 306.00, 552.00, 651.00,,
1747739636,230.00, 662.00, 21.00, 313.00, 176.00, 305.00, 552.00, 654.00,,
1747739637,231.00, 663.00, 22.00, 313.00, 176.00, 304.00, 548.00, 654.00,,
1747739638,232.00, 664.00, 21.00, 313.00, 176.00, 303.00, 546.00, 655.00,,
1747739639,231.00, 662.00, 22.00, 314.00, 177.00, 302.00, 544.00, 653.00,,
1747739640,232.00, 664.00, 23.00, 313.00, 177.00, 300.00, 542.00, 654.00,,
1747739641,232.00, 664.00, 21.00, 313.00, 177.00, 298.00, 541.00, 655.00,,
1747739642,231.00, 663.00, 21.00, 313.00, 177.00, 296.00, 540.00, 653.00,,
1747739643,231.00, 663.00, 21.00, 313.00, 177.00, 294.00, 539.00, 653.00,,
1747739644,230.00, 663.00, 21.00, 312.00, 177.00, 293.00, 537.00, 650.00,,
1747739645,229.00, 659.00, 21.00, 310.00, 177.00, 292.00, 535.00, 649.00,,
1747739647,229.00, 659.00, 21.00, 311.00, 176.00, 288.00, 537.00, 651.00,,
1747739648,228.00, 661.00, 21.00, 310.00, 176.00, 288.00, 541.00, 649.00,,
1747739649,228.00, 659.00, 21.00, 310.00, 175.00, 288.00, 540.00, 650.00,,
1747739650,227.00, 660.00, 22.00, 309.00, 175.00, 287.00, 543.00, 651.00,,
1747739651,228.00, 662.00, 21.00, 311.00, 176.00, 286.00, 541.00, 649.00,,
1747739652,228.00, 661.00, 21.00, 310.00, 175.00, 286.00, 541.00, 651.00,,
1747739653,226.00, 659.00, 21.00, 311.00, 175.00, 286.00, 544.00, 648.00,,
1747739654,225.00, 661.00, 21.00, 309.00, 176.00, 285.00, 542.00, 650.00,,
1747739655,225.00, 657.00, 21.00, 309.00, 175.00, 286.00, 543.00, 652.00,,
1747739656,226.00, 659.00, 21.00, 309.00, 175.00, 286.00, 544.00, 651.00,,
1747739657,226.00, 661.00, 21.00, 310.00, 175.00, 287.00, 544.00, 653.00,,
1747739658,225.00, 659.00, 22.00, 310.00, 175.00, 288.00, 546.00, 654.00,,
