Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739026,247.00, 651.00, 21.00, 319.00, 201.00, 347.00, 662.00, 736.00,,
1747739027,247.00, 659.00, 22.00, 322.00, 205.00, 347.00, 668.00, 744.00,,
1747739028,245.00, 658.00, 21.00, 320.00, 207.00, 345.00, 665.00, 743.00,,
1747739029,246.00, 661.00, 23.00, 320.00, 208.00, 342.00, 660.00, 739.00,,
1747739030,241.00, 650.00, 21.00, 314.00, 207.00, 337.00, 654.00, 734.00,,
1747739031,240.00, 650.00, 22.00, 312.00, 207.00, 334.00, 649.00, 729.00,,
1747739032,241.00, 649.00, 20.00, 311.00, 209.00, 335.00, 646.00, 733.00,,
1747739033,241.00, 655.00, 21.00, 314.00, 211.00, 335.00, 652.00, 736.00,,
1747739034,241.00, 650.00, 21.00, 312.00, 211.00, 333.00, 648.00, 735.00,,
1747739035,242.00, 657.00, 22.00, 314.00, 212.00, 334.00, 648.00, 738.00,,
1747739036,240.00, 655.00, 21.00, 312.00, 213.00, 332.00, 643.00, 737.00,,
1747739037,242.00, 659.00, 20.00, 314.00, 214.00, 333.00, 643.00, 739.00,,
1747739038,240.00, 660.00, 21.00, 314.00, 214.00, 333.00, 641.00, 739.00,,
1747739039,239.00, 659.00, 21.00, 311.00, 215.00, 330.00, 637.00, 735.00,,
1747739040,241.00, 664.00, 21.00, 314.00, 215.00, 331.00, 638.00, 737.00,,
1747739041,242.00, 663.00, 22.00, 314.00, 216.00, 331.00, 639.00, 739.00,,
1747739042,240.00, 662.00, 21.00, 313.00, 215.00, 330.00, 634.00, 736.00,,
1747739043,241.00, 667.00, 19.00, 312.00, 215.00, 328.00, 632.00, 736.00,,
1747739044,242.00, 668.00, 22.00, 313.00, 216.00, 330.00, 635.00, 736.00,,
1747739045,240.00, 667.00, 20.00, 312.00, 215.00, 328.00, 630.00, 732.00,,
1747739046,242.00, 670.00, 22.00, 314.00, 216.00, 325.00, 623.00, 730.00,,
1747739047,241.00, 670.00, 22.00, 313.00, 215.00, 326.00, 626.00, 732.00,,
1747739049,241.00, 667.00, 21.00, 311.00, 213.00, 323.00, 624.00, 727.00,,
1747739050,241.00, 666.00, 21.00, 310.00, 212.00, 324.00, 619.00, 724.00,,
1747739051,241.00, 673.00, 22.00, 313.00, 213.00, 321.00, 619.00, 722.00,,
1747739052,242.00, 681.00, 23.00, 315.00, 215.00, 324.00, 626.00, 730.00,,
1747739053,242.00, 675.00, 21.00, 312.00, 212.00, 321.00, 621.00, 723.00,,
1747739054,240.00, 672.00, 23.00, 311.00, 211.00, 318.00, 617.00, 717.00,,
1747739055,241.00, 678.00, 23.00, 313.00, 211.00, 320.00, 621.00, 720.00,,
1747739056,241.00, 679.00, 22.00, 313.00, 210.00, 318.00, 621.00, 718.00,,
1747739057,239.00, 676.00, 22.00, 312.00, 209.00, 318.00, 619.00, 716.00,,
1747739058,241.00, 680.00, 21.00, 312.00, 208.00, 317.00, 621.00, 716.00,,
1747739059,241.00, 682.00, 22.00, 313.00, 207.00, 315.00, 620.00, 714.00,,
1747739060,253.00, 723.00, 23.00, 330.00, 219.00, 334.00, 657.00, 754.00,,
1747739061,246.00, 704.00, 22.00, 321.00, 212.00, 323.00, 637.00, 729.00,,
1747739062,232.00, 681.00, 21.00, 311.00, 204.00, 314.00, 623.00, 709.00,,
1747739063,227.00, 682.00, 22.00, 311.00, 202.00, 314.00, 627.00, 710.00,,
1747739064,224.00, 682.00, 22.00, 309.00, 200.00, 313.00, 628.00, 706.00,,
1747739065,225.00, 676.00, 22.00, 309.00, 198.00, 313.00, 630.00, 706.00,,
1747739066,234.00, 710.00, 24.00, 324.00, 208.00, 327.00, 657.00, 738.00,,
