Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747737940,320.00, 434.00, 14.00, 338.00, 152.00, 364.00, 796.00, 710.00,,
1747737941,322.00, 436.00, 15.00, 341.00, 157.00, 368.00, 803.00, 723.00,,
1747737942,321.00, 437.00, 14.00, 341.00, 161.00, 367.00, 799.00, 728.00,,
1747737943,319.00, 436.00, 16.00, 339.00, 167.00, 369.00, 797.00, 742.00,,
1747737944,321.00, 443.00, 14.00, 341.00, 176.00, 375.00, 803.00, 752.00,,
1747737945,321.00, 445.00, 15.00, 342.00, 185.00, 378.00, 804.00, 759.00,,
1747737946,319.00, 448.00, 15.00, 341.00, 193.00, 379.00, 803.00, 764.00,,
1747737947,321.00, 454.00, 15.00, 340.00, 200.00, 381.00, 800.00, 765.00,,
1747737948,322.00, 461.00, 14.00, 343.00, 210.00, 384.00, 803.00, 772.00,,
1747737949,323.00, 468.00, 16.00, 345.00, 218.00, 387.00, 806.00, 773.00,,
1747737950,329.00, 483.00, 16.00, 353.00, 226.00, 392.00, 818.00, 787.00,,
1747737951,330.00, 489.00, 16.00, 351.00, 230.00, 391.00, 820.00, 789.00,,
1747737952,329.00, 491.00, 17.00, 350.00, 231.00, 387.00, 814.00, 783.00,,
1747737953,329.00, 491.00, 16.00, 348.00, 232.00, 388.00, 810.00, 781.00,,
1747737954,330.00, 497.00, 18.00, 351.00, 236.00, 386.00, 817.00, 786.00,,
1747737955,328.00, 498.00, 18.00, 349.00, 236.00, 385.00, 816.00, 786.00,,
1747737956,330.00, 501.00, 16.00, 350.00, 237.00, 384.00, 810.00, 779.00,,
1747737957,330.00, 503.00, 16.00, 350.00, 237.00, 384.00, 816.00, 784.00,,
1747737958,328.00, 502.00, 17.00, 348.00, 236.00, 382.00, 816.00, 784.00,,
1747737959,330.00, 504.00, 17.00, 348.00, 236.00, 381.00, 816.00, 780.00,,
1747737960,330.00, 508.00, 11.00, 350.00, 237.00, 379.00, 810.00, 777.00,,
1747737961,331.00, 510.00, 17.00, 349.00, 238.00, 381.00, 818.00, 784.00,,
1747737962,327.00, 509.00, 17.00, 346.00, 235.00, 377.00, 815.00, 776.00,,
1747737963,330.00, 512.00, 16.00, 349.00, 238.00, 379.00, 816.00, 781.00,,
1747737964,330.00, 510.00, 17.00, 348.00, 237.00, 377.00, 816.00, 777.00,,
1747737965,329.00, 514.00, 17.00, 348.00, 237.00, 379.00, 816.00, 779.00,,
1747737966,329.00, 515.00, 16.00, 349.00, 237.00, 377.00, 815.00, 778.00,,
1747737967,328.00, 516.00, 17.00, 347.00, 235.00, 377.00, 815.00, 774.00,,
1747737968,330.00, 517.00, 16.00, 349.00, 236.00, 378.00, 814.00, 775.00,,
1747737969,330.00, 517.00, 15.00, 348.00, 236.00, 377.00, 816.00, 775.00,,
1747737970,329.00, 518.00, 15.00, 349.00, 235.00, 375.00, 812.00, 770.00,,
1747737971,330.00, 515.00, 16.00, 348.00, 233.00, 373.00, 809.00, 770.00,,
1747737972,330.00, 521.00, 16.00, 349.00, 235.00, 376.00, 816.00, 771.00,,
1747737973,330.00, 522.00, 17.00, 349.00, 235.00, 376.00, 815.00, 770.00,,
1747737974,328.00, 520.00, 17.00, 347.00, 234.00, 374.00, 814.00, 769.00,,
1747737975,328.00, 521.00, 16.00, 346.00, 233.00, 373.00, 811.00, 765.00,,
1747737976,328.00, 520.00, 16.00, 345.00, 232.00, 372.00, 808.00, 764.00,,
1747737977,331.00, 521.00, 17.00, 345.00, 231.00, 374.00, 807.00, 758.00,,
1747737978,331.00, 527.00, 16.00, 348.00, 232.00, 374.00, 814.00, 762.00,,
1747737979,331.00, 527.00, 17.00, 348.00, 231.00, 374.00, 814.00, 761.00,,
