Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747739549,245.00, 694.00, 22.00, 308.00, 237.00, 280.00, 577.00, 711.00,,
1747739550,245.00, 695.00, 23.00, 308.00, 235.00, 280.00, 574.00, 706.00,,
1747739551,243.00, 694.00, 22.00, 308.00, 237.00, 282.00, 577.00, 706.00,,
1747739552,242.00, 692.00, 22.00, 307.00, 234.00, 282.00, 574.00, 704.00,,
1747739553,240.00, 688.00, 22.00, 307.00, 234.00, 283.00, 576.00, 703.00,,
1747739554,241.00, 686.00, 22.00, 306.00, 235.00, 283.00, 574.00, 703.00,,
1747739555,240.00, 688.00, 22.00, 306.00, 235.00, 283.00, 575.00, 706.00,,
1747739556,240.00, 688.00, 23.00, 308.00, 234.00, 283.00, 577.00, 705.00,,
1747739557,239.00, 691.00, 23.00, 307.00, 235.00, 283.00, 575.00, 704.00,,
1747739558,241.00, 688.00, 24.00, 307.00, 233.00, 283.00, 574.00, 704.00,,
1747739559,240.00, 689.00, 21.00, 308.00, 234.00, 284.00, 575.00, 707.00,,
1747739560,241.00, 691.00, 22.00, 308.00, 235.00, 284.00, 573.00, 704.00,,
1747739561,240.00, 691.00, 22.00, 308.00, 233.00, 284.00, 571.00, 704.00,,
1747739562,241.00, 692.00, 22.00, 308.00, 234.00, 283.00, 572.00, 706.00,,
1747739563,240.00, 688.00, 22.00, 308.00, 234.00, 284.00, 571.00, 705.00,,
1747739564,240.00, 689.00, 22.00, 309.00, 234.00, 284.00, 570.00, 705.00,,
1747739565,240.00, 690.00, 23.00, 308.00, 234.00, 284.00, 570.00, 705.00,,
1747739566,241.00, 690.00, 22.00, 309.00, 234.00, 284.00, 570.00, 705.00,,
1747739567,241.00, 692.00, 21.00, 308.00, 234.00, 284.00, 569.00, 705.00,,
1747739568,241.00, 692.00, 23.00, 308.00, 233.00, 284.00, 569.00, 704.00,,
1747739569,241.00, 691.00, 23.00, 309.00, 234.00, 284.00, 569.00, 703.00,,
1747739570,241.00, 691.00, 23.00, 309.00, 233.00, 284.00, 569.00, 703.00,,
1747739571,240.00, 687.00, 23.00, 309.00, 231.00, 282.00, 567.00, 696.00,,
1747739572,241.00, 687.00, 22.00, 308.00, 231.00, 283.00, 565.00, 698.00,,
1747739573,240.00, 688.00, 22.00, 309.00, 231.00, 282.00, 567.00, 697.00,,
1747739574,240.00, 689.00, 22.00, 309.00, 230.00, 280.00, 567.00, 699.00,,
1747739575,248.00, 711.00, 23.00, 318.00, 238.00, 291.00, 583.00, 719.00,,
1747739576,249.00, 714.00, 24.00, 319.00, 237.00, 291.00, 584.00, 720.00,,
1747739577,248.00, 713.00, 23.00, 318.00, 236.00, 291.00, 584.00, 719.00,,
1747739578,238.00, 702.00, 23.00, 310.00, 231.00, 284.00, 577.00, 707.00,,
1747739579,233.00, 698.00, 21.00, 308.00, 227.00, 279.00, 579.00, 705.00,,
1747739580,232.00, 699.00, 23.00, 307.00, 224.00, 276.00, 578.00, 702.00,,
1747739581,229.00, 700.00, 21.00, 304.00, 218.00, 272.00, 575.00, 699.00,,
1747739582,224.00, 694.00, 22.00, 301.00, 212.00, 265.00, 549.00, 687.00,,
1747739583,221.00, 686.00, 22.00, 298.00, 208.00, 265.00, 570.00, 685.00,,
1747739584,221.00, 688.00, 22.00, 297.00, 205.00, 266.00, 571.00, 683.00,,
1747739585,217.00, 687.00, 24.00, 296.00, 200.00, 265.00, 554.00, 678.00,,
1747739586,229.00, 724.00, 23.00, 311.00, 207.00, 278.00, 600.00, 714.00,,
1747739587,222.00, 710.00, 22.00, 305.00, 201.00, 275.00, 596.00, 700.00,,
1747739588,220.00, 708.00, 24.00, 304.00, 196.00, 271.00, 588.00, 691.00,,
