Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748681158,70.00, 121.00, 685.00, 262.00, 116.00, 125.00, 261.00, 400.00,,
1748681159,70.00, 122.00, 685.00, 262.00, 116.00, 125.00, 261.00, 399.00,,
1748681160,70.00, 122.00, 685.00, 263.00, 116.00, 126.00, 262.00, 400.00,,
1748681161,70.00, 121.00, 684.00, 262.00, 116.00, 125.00, 262.00, 400.00,,
1748681162,70.00, 121.00, 684.00, 262.00, 116.00, 125.00, 261.00, 399.00,,
1748681163,70.00, 122.00, 685.00, 262.00, 116.00, 125.00, 261.00, 400.00,,
1748681164,70.00, 121.00, 684.00, 262.00, 116.00, 125.00, 262.00, 400.00,,
1748681165,70.00, 121.00, 685.00, 261.00, 116.00, 125.00, 261.00, 399.00,,
1748681166,70.00, 122.00, 685.00, 262.00, 117.00, 125.00, 262.00, 400.00,,
1748681167,70.00, 121.00, 685.00, 263.00, 117.00, 126.00, 262.00, 400.00,,
1748681168,70.00, 121.00, 684.00, 262.00, 116.00, 125.00, 261.00, 400.00,,
1748681169,70.00, 121.00, 685.00, 262.00, 117.00, 125.00, 261.00, 400.00,,
1748681170,71.00, 121.00, 685.00, 262.00, 116.00, 125.00, 262.00, 400.00,,
1748681171,70.00, 122.00, 686.00, 263.00, 116.00, 125.00, 262.00, 400.00,,
1748681172,70.00, 122.00, 686.00, 262.00, 117.00, 125.00, 262.00, 400.00,,
1748681173,70.00, 121.00, 685.00, 262.00, 117.00, 125.00, 262.00, 400.00,,
1748681174,71.00, 122.00, 686.00, 262.00, 116.00, 125.00, 262.00, 401.00,,
1748681175,70.00, 121.00, 687.00, 262.00, 116.00, 126.00, 262.00, 401.00,,
1748681176,71.00, 121.00, 686.00, 262.00, 117.00, 125.00, 262.00, 401.00,,
1748681177,70.00, 121.00, 687.00, 262.00, 117.00, 126.00, 262.00, 401.00,,
1748681178,70.00, 122.00, 689.00, 263.00, 117.00, 126.00, 261.00, 400.00,,
1748681179,71.00, 122.00, 689.00, 262.00, 116.00, 126.00, 261.00, 399.00,,
1748681180,70.00, 122.00, 689.00, 262.00, 116.00, 125.00, 261.00, 399.00,,
1748681181,71.00, 122.00, 688.00, 262.00, 116.00, 125.00, 261.00, 399.00,,
1748681182,70.00, 122.00, 689.00, 262.00, 117.00, 126.00, 260.00, 399.00,,
1748681183,71.00, 122.00, 690.00, 263.00, 117.00, 126.00, 261.00, 400.00,,
1748681184,70.00, 122.00, 687.00, 262.00, 116.00, 125.00, 261.00, 399.00,,
1748681185,70.00, 122.00, 687.00, 262.00, 117.00, 125.00, 261.00, 399.00,,
1748681186,70.00, 122.00, 686.00, 262.00, 117.00, 126.00, 261.00, 399.00,,
1748681187,71.00, 122.00, 687.00, 262.00, 116.00, 126.00, 260.00, 399.00,,
1748681188,70.00, 121.00, 688.00, 263.00, 117.00, 125.00, 261.00, 400.00,,
1748681189,71.00, 122.00, 686.00, 262.00, 116.00, 125.00, 260.00, 399.00,,
1748681190,71.00, 122.00, 687.00, 262.00, 117.00, 125.00, 260.00, 399.00,,
1748681191,71.00, 122.00, 689.00, 263.00, 117.00, 125.00, 260.00, 400.00,,
1748681192,70.00, 121.00, 689.00, 261.00, 116.00, 125.00, 260.00, 398.00,,
1748681193,70.00, 122.00, 689.00, 263.00, 116.00, 125.00, 260.00, 399.00,,
1748681194,71.00, 122.00, 688.00, 263.00, 116.00, 125.00, 260.00, 400.00,,
1748681195,70.00, 122.00, 691.00, 263.00, 116.00, 125.00, 260.00, 399.00,,
1748681196,71.00, 122.00, 688.00, 263.00, 117.00, 126.00, 261.00, 399.00,,
1748681197,71.00, 122.00, 686.00, 262.00, 117.00, 125.00, 260.00, 398.00,,
