Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748858930,464.00, 145.00, 701.00, 379.00, 295.00, 568.00, 845.00, 630.00,,
1748858931,465.00, 145.00, 702.00, 380.00, 296.00, 569.00, 845.00, 632.00,,
1748858932,464.00, 145.00, 704.00, 380.00, 296.00, 568.00, 844.00, 630.00,,
1748858933,464.00, 144.00, 700.00, 380.00, 296.00, 568.00, 845.00, 628.00,,
1748858934,466.00, 145.00, 704.00, 380.00, 297.00, 569.00, 845.00, 631.00,,
1748858935,465.00, 145.00, 704.00, 380.00, 296.00, 568.00, 847.00, 632.00,,
1748858936,465.00, 145.00, 704.00, 380.00, 296.00, 568.00, 845.00, 630.00,,
1748858937,465.00, 145.00, 703.00, 380.00, 297.00, 570.00, 846.00, 630.00,,
1748858938,464.00, 145.00, 703.00, 380.00, 297.00, 569.00, 847.00, 631.00,,
1748858939,464.00, 144.00, 701.00, 379.00, 295.00, 567.00, 844.00, 629.00,,
1748858940,464.00, 145.00, 702.00, 379.00, 296.00, 568.00, 846.00, 630.00,,
1748858941,466.00, 145.00, 701.00, 380.00, 296.00, 569.00, 846.00, 630.00,,
1748858942,467.00, 145.00, 704.00, 380.00, 297.00, 570.00, 846.00, 631.00,,
1748858943,467.00, 145.00, 703.00, 380.00, 296.00, 569.00, 845.00, 632.00,,
1748858944,466.00, 145.00, 702.00, 380.00, 297.00, 570.00, 847.00, 631.00,,
1748858945,467.00, 145.00, 704.00, 380.00, 297.00, 569.00, 847.00, 632.00,,
1748858946,466.00, 145.00, 703.00, 380.00, 297.00, 569.00, 846.00, 632.00,,
1748858947,466.00, 144.00, 702.00, 379.00, 297.00, 569.00, 847.00, 632.00,,
1748858948,467.00, 145.00, 702.00, 380.00, 296.00, 569.00, 845.00, 632.00,,
1748858949,465.00, 144.00, 703.00, 380.00, 297.00, 568.00, 845.00, 631.00,,
1748858950,466.00, 145.00, 702.00, 379.00, 296.00, 568.00, 846.00, 631.00,,
1748858951,465.00, 144.00, 700.00, 379.00, 297.00, 567.00, 843.00, 628.00,,
1748858952,465.00, 145.00, 701.00, 378.00, 296.00, 567.00, 842.00, 629.00,,
1748858953,466.00, 144.00, 701.00, 379.00, 297.00, 567.00, 844.00, 630.00,,
1748858954,466.00, 145.00, 702.00, 380.00, 297.00, 567.00, 845.00, 630.00,,
1748858955,465.00, 145.00, 702.00, 381.00, 298.00, 567.00, 846.00, 631.00,,
1748858956,466.00, 145.00, 702.00, 380.00, 297.00, 567.00, 846.00, 630.00,,
1748858957,466.00, 145.00, 703.00, 381.00, 297.00, 567.00, 846.00, 631.00,,
1748858958,465.00, 145.00, 702.00, 381.00, 298.00, 568.00, 847.00, 631.00,,
1748858959,465.00, 145.00, 702.00, 380.00, 297.00, 567.00, 846.00, 630.00,,
1748858960,465.00, 145.00, 701.00, 380.00, 297.00, 566.00, 845.00, 631.00,,
1748858961,465.00, 145.00, 702.00, 380.00, 297.00, 567.00, 846.00, 630.00,,
1748858962,464.00, 145.00, 702.00, 380.00, 297.00, 566.00, 844.00, 630.00,,
1748858963,464.00, 145.00, 701.00, 379.00, 297.00, 565.00, 844.00, 629.00,,
1748858964,465.00, 145.00, 701.00, 380.00, 297.00, 563.00, 843.00, 628.00,,
1748858965,465.00, 145.00, 702.00, 381.00, 297.00, 564.00, 844.00, 629.00,,
1748858966,465.00, 145.00, 702.00, 380.00, 297.00, 564.00, 843.00, 628.00,,
1748858967,463.00, 144.00, 700.00, 380.00, 297.00, 563.00, 844.00, 628.00,,
1748858968,464.00, 145.00, 700.00, 380.00, 297.00, 564.00, 845.00, 628.00,,
1748858969,464.00, 145.00, 700.00, 379.00, 296.00, 562.00, 841.00, 627.00,,
