Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748861491,361.00, 516.00, 887.00, 320.00, 302.00, 318.00, 727.00, 651.00,,
1748861491,361.00, 518.00, 891.00, 321.00, 301.00, 319.00, 730.00, 652.00,,
1748861491,364.00, 518.00, 891.00, 322.00, 302.00, 321.00, 731.00, 651.00,,
1748861492,364.00, 517.00, 891.00, 322.00, 300.00, 319.00, 730.00, 649.00,,
1748861493,363.00, 510.00, 888.00, 322.00, 297.00, 317.00, 724.00, 647.00,,
1748861494,363.00, 512.00, 888.00, 320.00, 296.00, 322.00, 732.00, 646.00,,
1748861495,364.00, 515.00, 892.00, 322.00, 297.00, 322.00, 732.00, 646.00,,
1748861496,364.00, 513.00, 890.00, 322.00, 296.00, 322.00, 732.00, 640.00,,
1748861497,362.00, 508.00, 888.00, 320.00, 292.00, 322.00, 728.00, 636.00,,
1748861498,361.00, 505.00, 889.00, 319.00, 292.00, 321.00, 727.00, 640.00,,
1748861499,379.00, 514.00, 898.00, 321.00, 295.00, 322.00, 732.00, 645.00,,
1748861500,378.00, 552.00, 908.00, 325.00, 317.00, 301.00, 722.00, 682.00,,
1748861501,374.00, 560.00, 911.00, 325.00, 331.00, 294.00, 718.00, 701.00,,
1748861502,372.00, 569.00, 914.00, 325.00, 340.00, 292.00, 715.00, 708.00,,
1748861503,371.00, 567.00, 909.00, 322.00, 344.00, 289.00, 713.00, 716.00,,
1748861504,370.00, 574.00, 914.00, 323.00, 351.00, 293.00, 714.00, 725.00,,
1748861505,369.00, 574.00, 914.00, 323.00, 354.00, 292.00, 712.00, 727.00,,
1748861506,366.00, 578.00, 909.00, 321.00, 355.00, 291.00, 712.00, 727.00,,
1748861507,366.00, 575.00, 909.00, 322.00, 358.00, 292.00, 711.00, 731.00,,
1748861508,368.00, 579.00, 914.00, 322.00, 360.00, 292.00, 711.00, 732.00,,
1748861509,365.00, 576.00, 911.00, 321.00, 361.00, 293.00, 710.00, 733.00,,
1748861510,367.00, 579.00, 914.00, 322.00, 361.00, 293.00, 713.00, 733.00,,
1748861511,366.00, 580.00, 914.00, 322.00, 362.00, 293.00, 711.00, 732.00,,
1748861512,363.00, 575.00, 912.00, 318.00, 360.00, 292.00, 707.00, 733.00,,
1748861513,366.00, 576.00, 909.00, 320.00, 361.00, 294.00, 713.00, 733.00,,
1748861514,365.00, 580.00, 914.00, 321.00, 363.00, 295.00, 713.00, 733.00,,
1748861515,366.00, 581.00, 913.00, 321.00, 363.00, 295.00, 714.00, 733.00,,
1748861516,365.00, 581.00, 914.00, 321.00, 363.00, 295.00, 709.00, 727.00,,
1748861523,364.00, 581.00, 914.00, 319.00, 360.00, 296.00, 713.00, 729.00,,
1748861524,364.00, 580.00, 912.00, 321.00, 361.00, 298.00, 716.00, 729.00,,
1748861525,364.00, 579.00, 911.00, 321.00, 360.00, 298.00, 717.00, 728.00,,
1748861526,364.00, 580.00, 911.00, 320.00, 360.00, 300.00, 718.00, 726.00,,
1748861527,362.00, 576.00, 910.00, 321.00, 358.00, 299.00, 715.00, 726.00,,
1748861528,363.00, 580.00, 911.00, 321.00, 359.00, 299.00, 715.00, 721.00,,
1748861529,364.00, 579.00, 911.00, 321.00, 359.00, 301.00, 719.00, 724.00,,
1748861530,363.00, 578.00, 910.00, 320.00, 357.00, 302.00, 719.00, 723.00,,
1748861531,362.00, 575.00, 912.00, 320.00, 357.00, 302.00, 717.00, 719.00,,
1748861532,362.00, 576.00, 907.00, 320.00, 357.00, 303.00, 720.00, 720.00,,
1748861534,363.00, 577.00, 911.00, 320.00, 356.00, 303.00, 721.00, 720.00,,
1748861535,361.00, 574.00, 904.00, 320.00, 351.00, 300.00, 719.00, 712.00,,
1748861536,363.00, 577.00, 910.00, 321.00, 353.00, 302.00, 718.00, 715.00,,
1748861537,364.00, 578.00, 910.00, 321.00, 354.00, 304.00, 720.00, 716.00,,
1748861538,361.00, 577.00, 903.00, 318.00, 354.00, 302.00, 716.00, 710.00,,
1748861539,362.00, 576.00, 910.00, 320.00, 353.00, 305.00, 722.00, 716.00,,
1748861540,364.00, 577.00, 910.00, 321.00, 353.00, 305.00, 720.00, 714.00,,
1748861541,363.00, 577.00, 909.00, 320.00, 353.00, 305.00, 721.00, 715.00,,
1748861542,363.00, 577.00, 909.00, 321.00, 353.00, 305.00, 715.00, 709.00,,
1748861543,361.00, 575.00, 907.00, 319.00, 351.00, 304.00, 721.00, 712.00,,
1748861544,362.00, 576.00, 909.00, 320.00, 351.00, 305.00, 721.00, 714.00,,
1748861545,364.00, 576.00, 907.00, 322.00, 352.00, 305.00, 720.00, 713.00,,
1748861546,363.00, 575.00, 905.00, 321.00, 351.00, 305.00, 719.00, 713.00,,
1748861547,362.00, 573.00, 903.00, 322.00, 350.00, 305.00, 720.00, 708.00,,
1748861548,363.00, 571.00, 901.00, 319.00, 350.00, 306.00, 721.00, 710.00,,
1748861549,364.00, 575.00, 906.00, 321.00, 350.00, 306.00, 721.00, 710.00,,
1748861550,364.00, 574.00, 901.00, 322.00, 350.00, 306.00, 720.00, 710.00,,
1748861551,362.00, 570.00, 901.00, 320.00, 348.00, 304.00, 715.00, 709.00,,
1748861552,361.00, 571.00, 900.00, 321.00, 350.00, 306.00, 716.00, 705.00,,
1748861553,363.00, 574.00, 903.00, 322.00, 350.00, 306.00, 721.00, 709.00,,
1748861554,363.00, 569.00, 897.00, 319.00, 347.00, 307.00, 714.00, 704.00,,
1748861555,362.00, 573.00, 902.00, 322.00, 349.00, 306.00, 721.00, 708.00,,
1748861556,363.00, 572.00, 902.00, 322.00, 348.00, 307.00, 721.00, 707.00,,
1748861557,361.00, 571.00, 898.00, 320.00, 347.00, 305.00, 718.00, 703.00,,
1748861558,363.00, 572.00, 902.00, 322.00, 348.00, 308.00, 721.00, 706.00,,
1748861559,360.00, 568.00, 898.00, 321.00, 347.00, 306.00, 719.00, 702.00,,
1748861560,364.00, 571.00, 904.00, 322.00, 346.00, 308.00, 722.00, 704.00,,
1748861561,363.00, 570.00, 903.00, 319.00, 342.00, 306.00, 717.00, 703.00,,
1748861562,363.00, 569.00, 905.00, 322.00, 344.00, 308.00, 718.00, 698.00,,
1748861563,363.00, 570.00, 904.00, 322.00, 343.00, 310.00, 723.00, 699.00,,
1748861570,364.00, 565.00, 895.00, 320.00, 336.00, 311.00, 719.00, 691.00,,
1748861571,364.00, 566.00, 900.00, 323.00, 337.00, 312.00, 724.00, 693.00,,
