Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748861609,375.00, 541.00, 895.00, 327.00, 307.00, 319.00, 724.00, 658.00,,
1748861610,376.00, 552.00, 900.00, 328.00, 313.00, 319.00, 726.00, 674.00,,
1748861611,374.00, 553.00, 901.00, 328.00, 318.00, 318.00, 721.00, 676.00,,
1748861612,371.00, 550.00, 899.00, 328.00, 320.00, 317.00, 719.00, 681.00,,
1748861613,372.00, 554.00, 901.00, 328.00, 321.00, 316.00, 724.00, 689.00,,
1748861614,371.00, 549.00, 895.00, 325.00, 321.00, 317.00, 717.00, 685.00,,
1748861616,370.00, 553.00, 904.00, 328.00, 324.00, 317.00, 720.00, 689.00,,
1748861617,371.00, 554.00, 903.00, 328.00, 324.00, 317.00, 724.00, 693.00,,
1748861618,369.00, 554.00, 898.00, 326.00, 323.00, 316.00, 723.00, 692.00,,
1748861619,370.00, 553.00, 902.00, 327.00, 325.00, 316.00, 725.00, 694.00,,
1748861620,370.00, 552.00, 902.00, 327.00, 324.00, 316.00, 724.00, 694.00,,
1748861621,370.00, 551.00, 901.00, 327.00, 325.00, 317.00, 724.00, 689.00,,
1748861622,370.00, 553.00, 903.00, 327.00, 324.00, 316.00, 724.00, 694.00,,
1748861623,367.00, 551.00, 899.00, 327.00, 324.00, 316.00, 723.00, 692.00,,
1748861624,369.00, 552.00, 902.00, 328.00, 324.00, 317.00, 724.00, 693.00,,
1748861625,368.00, 550.00, 900.00, 326.00, 324.00, 317.00, 722.00, 692.00,,
1748861626,369.00, 551.00, 902.00, 327.00, 324.00, 316.00, 725.00, 693.00,,
1748861627,367.00, 548.00, 898.00, 327.00, 324.00, 315.00, 723.00, 692.00,,
1748861628,369.00, 550.00, 900.00, 327.00, 324.00, 317.00, 725.00, 692.00,,
1748861629,368.00, 550.00, 899.00, 327.00, 322.00, 316.00, 722.00, 689.00,,
1748861630,369.00, 550.00, 901.00, 327.00, 323.00, 317.00, 724.00, 690.00,,
1748861631,367.00, 547.00, 899.00, 325.00, 321.00, 315.00, 721.00, 687.00,,
1748861632,369.00, 549.00, 901.00, 327.00, 322.00, 317.00, 724.00, 689.00,,
1748861633,366.00, 549.00, 897.00, 325.00, 320.00, 316.00, 725.00, 687.00,,
1748861634,368.00, 548.00, 901.00, 327.00, 321.00, 318.00, 724.00, 688.00,,
1748861635,368.00, 548.00, 901.00, 327.00, 321.00, 318.00, 725.00, 687.00,,
1748861636,368.00, 544.00, 895.00, 326.00, 319.00, 317.00, 724.00, 683.00,,
1748861637,368.00, 547.00, 900.00, 327.00, 320.00, 318.00, 726.00, 686.00,,
1748861638,365.00, 545.00, 896.00, 324.00, 318.00, 315.00, 720.00, 680.00,,
1748861639,368.00, 542.00, 895.00, 325.00, 317.00, 318.00, 723.00, 683.00,,
1748861640,368.00, 546.00, 900.00, 327.00, 318.00, 318.00, 725.00, 682.00,,
1748861641,366.00, 542.00, 894.00, 325.00, 317.00, 316.00, 724.00, 682.00,,
1748861642,367.00, 545.00, 900.00, 327.00, 316.00, 318.00, 726.00, 680.00,,
1748861643,367.00, 545.00, 901.00, 328.00, 316.00, 317.00, 723.00, 675.00,,
1748861644,366.00, 545.00, 897.00, 326.00, 316.00, 319.00, 727.00, 678.00,,
