Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748859223,411.00, 291.00, 883.00, 354.00, 350.00, 446.00, 804.00, 695.00,,
1748859224,410.00, 295.00, 884.00, 353.00, 351.00, 444.00, 803.00, 699.00,,
1748859225,410.00, 299.00, 889.00, 353.00, 356.00, 445.00, 803.00, 705.00,,
1748859226,409.00, 302.00, 890.00, 352.00, 356.00, 443.00, 803.00, 709.00,,
1748859227,410.00, 304.00, 891.00, 352.00, 357.00, 443.00, 801.00, 711.00,,
1748859228,409.00, 304.00, 887.00, 352.00, 356.00, 442.00, 799.00, 710.00,,
1748859229,408.00, 305.00, 887.00, 351.00, 356.00, 443.00, 801.00, 713.00,,
1748859230,409.00, 304.00, 884.00, 350.00, 354.00, 443.00, 800.00, 712.00,,
1748859231,410.00, 305.00, 885.00, 350.00, 354.00, 444.00, 798.00, 709.00,,
1748859232,409.00, 305.00, 882.00, 350.00, 353.00, 446.00, 801.00, 711.00,,
1748859233,410.00, 304.00, 882.00, 350.00, 353.00, 447.00, 801.00, 711.00,,
1748859234,410.00, 304.00, 879.00, 348.00, 351.00, 447.00, 800.00, 708.00,,
1748859235,411.00, 303.00, 878.00, 349.00, 349.00, 448.00, 800.00, 708.00,,
1748859236,410.00, 302.00, 874.00, 347.00, 349.00, 448.00, 799.00, 705.00,,
1748859237,411.00, 302.00, 875.00, 349.00, 348.00, 448.00, 801.00, 705.00,,
1748859238,412.00, 302.00, 874.00, 348.00, 347.00, 449.00, 800.00, 704.00,,
1748859239,412.00, 301.00, 873.00, 348.00, 346.00, 450.00, 801.00, 705.00,,
1748859240,411.00, 300.00, 872.00, 347.00, 345.00, 451.00, 801.00, 703.00,,
1748859241,412.00, 300.00, 870.00, 347.00, 344.00, 450.00, 801.00, 702.00,,
1748859242,412.00, 300.00, 870.00, 348.00, 344.00, 450.00, 801.00, 700.00,,
1748859243,412.00, 299.00, 868.00, 347.00, 343.00, 450.00, 801.00, 699.00,,
1748859244,410.00, 298.00, 865.00, 346.00, 341.00, 450.00, 800.00, 697.00,,
1748859245,411.00, 298.00, 866.00, 347.00, 341.00, 451.00, 801.00, 698.00,,
1748859246,412.00, 298.00, 865.00, 348.00, 341.00, 453.00, 803.00, 696.00,,
1748859247,413.00, 298.00, 866.00, 348.00, 340.00, 453.00, 802.00, 695.00,,
1748859248,413.00, 298.00, 865.00, 348.00, 340.00, 453.00, 802.00, 694.00,,
1748859249,413.00, 297.00, 865.00, 348.00, 339.00, 454.00, 803.00, 694.00,,
1748859250,415.00, 297.00, 862.00, 348.00, 338.00, 454.00, 803.00, 692.00,,
1748859251,414.00, 296.00, 859.00, 346.00, 337.00, 454.00, 803.00, 692.00,,
1748859252,413.00, 294.00, 858.00, 346.00, 336.00, 452.00, 799.00, 689.00,,
1748859253,415.00, 296.00, 859.00, 347.00, 337.00, 455.00, 803.00, 690.00,,
1748859254,416.00, 295.00, 860.00, 348.00, 336.00, 456.00, 803.00, 690.00,,
1748859255,416.00, 295.00, 858.00, 348.00, 336.00, 456.00, 803.00, 688.00,,
1748859256,415.00, 295.00, 857.00, 348.00, 336.00, 455.00, 803.00, 687.00,,
1748859257,416.00, 295.00, 855.00, 347.00, 334.00, 456.00, 804.00, 688.00,,
1748859258,416.00, 293.00, 855.00, 348.00, 334.00, 456.00, 803.00, 687.00,,
1748859259,416.00, 294.00, 855.00, 348.00, 334.00, 457.00, 803.00, 684.00,,
1748859260,416.00, 293.00, 855.00, 348.00, 334.00, 457.00, 804.00, 685.00,,
1748859261,416.00, 293.00, 854.00, 348.00, 333.00, 458.00, 805.00, 685.00,,
1748859262,416.00, 292.00, 855.00, 349.00, 333.00, 459.00, 805.00, 685.00,,
