Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748859276,444444444419.00, 289.00, 846.00, 349.00, 329.00, 461.00, 807.00, 678.00,,
1748859276,419.00, 289.00, 845.00, 349.00, 328.00, 462.00, 806.00, 677.00,,
1748859276,419.00, 289.00, 844.00, 349.00, 328.00, 463.00, 809.00, 678.00,,
1748859277,419.00, 288.00, 843.00, 350.00, 328.00, 463.00, 807.00, 676.00,,
1748859278,418.00, 288.00, 843.00, 349.00, 327.00, 463.00, 808.00, 676.00,,
1748859279,420.00, 289.00, 844.00, 350.00, 326.00, 462.00, 806.00, 674.00,,
1748859280,419.00, 288.00, 844.00, 349.00, 326.00, 464.00, 810.00, 676.00,,
1748859281,418.00, 288.00, 844.00, 350.00, 326.00, 464.00, 810.00, 675.00,,
1748859282,419.00, 288.00, 844.00, 350.00, 326.00, 466.00, 811.00, 675.00,,
1748859283,418.00, 288.00, 843.00, 351.00, 326.00, 466.00, 811.00, 675.00,,
1748859284,426.00, 287.00, 840.00, 348.00, 324.00, 466.00, 807.00, 671.00,,
1748859285,433.00, 293.00, 847.00, 350.00, 326.00, 464.00, 805.00, 673.00,,
1748859286,434.00, 297.00, 854.00, 351.00, 326.00, 466.00, 807.00, 674.00,,
1748859287,434.00, 300.00, 862.00, 352.00, 327.00, 467.00, 807.00, 673.00,,
1748859288,457.00, 324.00, 892.00, 353.00, 328.00, 479.00, 811.00, 682.00,,
1748859289,470.00, 359.00, 910.00, 356.00, 339.00, 506.00, 818.00, 702.00,,
1748859290,462.00, 366.00, 913.00, 356.00, 350.00, 516.00, 822.00, 720.00,,
1748859291,460.00, 372.00, 913.00, 355.00, 357.00, 515.00, 819.00, 726.00,,
1748859292,459.00, 377.00, 918.00, 358.00, 362.00, 518.00, 822.00, 735.00,,
1748859293,459.00, 379.00, 918.00, 359.00, 365.00, 517.00, 822.00, 739.00,,
1748859294,458.00, 380.00, 918.00, 359.00, 367.00, 517.00, 823.00, 740.00,,
1748859295,457.00, 379.00, 916.00, 360.00, 368.00, 516.00, 822.00, 740.00,,
1748859296,455.00, 378.00, 915.00, 360.00, 368.00, 515.00, 824.00, 741.00,,
1748859297,454.00, 376.00, 911.00, 359.00, 368.00, 515.00, 820.00, 739.00,,
1748859298,454.00, 376.00, 910.00, 360.00, 368.00, 513.00, 821.00, 738.00,,
