Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748861255,375.00, 443.00, 876.00, 322.00, 271.00, 325.00, 729.00, 649.00,,
1748861256,372.00, 440.00, 876.00, 323.00, 273.00, 328.00, 735.00, 649.00,,
1748861257,373.00, 442.00, 875.00, 323.00, 274.00, 328.00, 735.00, 649.00,,
1748861258,372.00, 440.00, 873.00, 323.00, 274.00, 328.00, 730.00, 642.00,,
1748861259,372.00, 440.00, 866.00, 321.00, 272.00, 327.00, 736.00, 647.00,,
1748861260,371.00, 438.00, 872.00, 322.00, 274.00, 329.00, 737.00, 645.00,,
1748861261,371.00, 435.00, 867.00, 321.00, 272.00, 328.00, 735.00, 641.00,,
1748861262,370.00, 436.00, 867.00, 322.00, 273.00, 329.00, 736.00, 642.00,,
1748861263,370.00, 435.00, 867.00, 322.00, 272.00, 329.00, 736.00, 636.00,,
1748861264,370.00, 432.00, 864.00, 321.00, 271.00, 327.00, 733.00, 637.00,,
1748861265,369.00, 433.00, 864.00, 322.00, 272.00, 329.00, 736.00, 637.00,,
1748861266,369.00, 431.00, 860.00, 321.00, 271.00, 329.00, 737.00, 636.00,,
1748861267,367.00, 431.00, 858.00, 321.00, 270.00, 327.00, 733.00, 633.00,,
1748861268,369.00, 429.00, 859.00, 321.00, 270.00, 329.00, 736.00, 633.00,,
1748861269,369.00, 429.00, 859.00, 322.00, 270.00, 329.00, 737.00, 632.00,,
1748861270,367.00, 425.00, 855.00, 321.00, 268.00, 329.00, 736.00, 628.00,,
1748861271,368.00, 426.00, 858.00, 322.00, 268.00, 330.00, 737.00, 630.00,,
1748861272,368.00, 426.00, 855.00, 322.00, 268.00, 330.00, 737.00, 628.00,,
1748861273,366.00, 424.00, 857.00, 320.00, 266.00, 328.00, 733.00, 628.00,,
1748861274,366.00, 422.00, 849.00, 321.00, 266.00, 330.00, 738.00, 626.00,,
1748861275,369.00, 425.00, 855.00, 322.00, 267.00, 331.00, 738.00, 626.00,,
1748861276,365.00, 420.00, 853.00, 318.00, 264.00, 332.00, 732.00, 620.00,,
1748861277,368.00, 423.00, 853.00, 321.00, 263.00, 330.00, 735.00, 620.00,,
1748861278,368.00, 422.00, 854.00, 322.00, 265.00, 334.00, 740.00, 621.00,,
1748861279,368.00, 421.00, 853.00, 321.00, 264.00, 334.00, 741.00, 620.00,,
1748861280,367.00, 419.00, 855.00, 320.00, 263.00, 335.00, 741.00, 618.00,,
1748861281,368.00, 420.00, 853.00, 321.00, 262.00, 336.00, 741.00, 616.00,,
1748861282,365.00, 414.00, 845.00, 320.00, 259.00, 334.00, 736.00, 610.00,,
1748861283,368.00, 418.00, 852.00, 321.00, 261.00, 337.00, 742.00, 614.00,,
1748861284,368.00, 417.00, 851.00, 321.00, 260.00, 334.00, 735.00, 608.00,,
1748861285,368.00, 414.00, 848.00, 320.00, 258.00, 337.00, 742.00, 609.00,,
1748861286,369.00, 416.00, 853.00, 322.00, 259.00, 339.00, 742.00, 609.00,,
1748861287,368.00, 410.00, 843.00, 321.00, 256.00, 335.00, 735.00, 604.00,,
1748861288,366.00, 412.00, 845.00, 320.00, 258.00, 338.00, 741.00, 607.00,,
1748861289,369.00, 414.00, 848.00, 321.00, 257.00, 338.00, 741.00, 606.00,,
1748861290,368.00, 409.00, 840.00, 319.00, 256.00, 338.00, 738.00, 605.00,,
1748861291,369.00, 413.00, 848.00, 321.00, 256.00, 339.00, 742.00, 604.00,,
1748861292,367.00, 412.00, 840.00, 319.00, 256.00, 336.00, 736.00, 599.00,,
1748861293,369.00, 411.00, 846.00, 321.00, 255.00, 338.00, 742.00, 602.00,,
1748861294,369.00, 411.00, 846.00, 321.00, 254.00, 338.00, 736.00, 597.00,,
1748861302,368.00, 406.00, 842.00, 322.00, 250.00, 339.00, 743.00, 596.00,,
1748861303,370.00, 407.00, 844.00, 322.00, 251.00, 340.00, 742.00, 594.00,,
1748861304,370.00, 406.00, 842.00, 321.00, 250.00, 340.00, 741.00, 589.00,,
1748861305,367.00, 403.00, 837.00, 321.00, 249.00, 339.00, 743.00, 591.00,,
1748861306,370.00, 406.00, 841.00, 322.00, 250.00, 340.00, 741.00, 591.00,,
1748861307,370.00, 405.00, 841.00, 322.00, 249.00, 340.00, 740.00, 590.00,,
1748861308,367.00, 403.00, 839.00, 320.00, 248.00, 339.00, 736.00, 587.00,,
1748861309,370.00, 405.00, 841.00, 322.00, 249.00, 340.00, 742.00, 590.00,,
1748861310,370.00, 405.00, 840.00, 322.00, 249.00, 340.00, 741.00, 589.00,,
1748861311,370.00, 403.00, 838.00, 321.00, 248.00, 339.00, 742.00, 587.00,,
1748861312,370.00, 403.00, 839.00, 322.00, 248.00, 340.00, 742.00, 588.00,,
1748861313,370.00, 403.00, 838.00, 320.00, 246.00, 336.00, 735.00, 587.00,,
1748861314,370.00, 403.00, 837.00, 322.00, 247.00, 340.00, 741.00, 584.00,,
1748861315,370.00, 402.00, 838.00, 323.00, 247.00, 340.00, 741.00, 586.00,,
1748861316,368.00, 399.00, 833.00, 322.00, 244.00, 338.00, 740.00, 579.00,,
1748861317,371.00, 401.00, 840.00, 321.00, 244.00, 339.00, 738.00, 584.00,,
1748861318,370.00, 400.00, 837.00, 322.00, 245.00, 341.00, 742.00, 583.00,,
1748861319,368.00, 400.00, 833.00, 319.00, 242.00, 337.00, 742.00, 578.00,,
1748861320,371.00, 399.00, 838.00, 320.00, 242.00, 341.00, 740.00, 581.00,,
1748861321,371.00, 398.00, 837.00, 322.00, 243.00, 342.00, 742.00, 580.00,,
1748861322,371.00, 394.00, 832.00, 322.00, 241.00, 341.00, 738.00, 575.00,,
1748861323,368.00, 394.00, 832.00, 322.00, 241.00, 341.00, 742.00, 577.00,,
1748861324,371.00, 396.00, 836.00, 321.00, 242.00, 344.00, 743.00, 576.00,,
1748861325,369.00, 394.00, 836.00, 320.00, 240.00, 342.00, 739.00, 573.00,,
1748861326,371.00, 395.00, 835.00, 321.00, 240.00, 343.00, 742.00, 573.00,,
1748861327,367.00, 391.00, 834.00, 318.00, 238.00, 340.00, 737.00, 572.00,,
1748861328,371.00, 392.00, 829.00, 320.00, 238.00, 342.00, 741.00, 570.00,,
1748861329,372.00, 394.00, 835.00, 322.00, 240.00, 343.00, 743.00, 572.00,,
1748861330,368.00, 393.00, 827.00, 320.00, 237.00, 339.00, 741.00, 567.00,,
1748861331,369.00, 390.00, 830.00, 321.00, 238.00, 341.00, 742.00, 570.00,,
1748861332,371.00, 392.00, 831.00, 321.00, 238.00, 341.00, 740.00, 569.00,,
1748861333,367.00, 388.00, 831.00, 318.00, 236.00, 339.00, 736.00, 568.00,,
1748861334,371.00, 391.00, 830.00, 322.00, 237.00, 341.00, 742.00, 568.00,,
1748861335,370.00, 391.00, 831.00, 321.00, 237.00, 341.00, 741.00, 567.00,,
1748861336,369.00, 388.00, 831.00, 320.00, 236.00, 340.00, 738.00, 567.00,,
1748861337,371.00, 388.00, 829.00, 322.00, 237.00, 342.00, 742.00, 567.00,,
1748861338,370.00, 390.00, 829.00, 322.00, 236.00, 341.00, 741.00, 566.00,,
1748861339,368.00, 387.00, 825.00, 320.00, 236.00, 339.00, 738.00, 566.00,,
1748861340,368.00, 389.00, 823.00, 320.00, 235.00, 340.00, 739.00, 565.00,,
1748861341,371.00, 390.00, 827.00, 322.00, 236.00, 341.00, 741.00, 566.00,,
