Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748859415,551.00, 479.00, 930.00, 516.00, 595.00, 634.00, 848.00, 845.00,,
1748859416,549.00, 481.00, 931.00, 515.00, 591.00, 633.00, 850.00, 845.00,,
1748859417,550.00, 482.00, 935.00, 516.00, 590.00, 634.00, 850.00, 846.00,,
1748859418,548.00, 482.00, 932.00, 514.00, 586.00, 632.00, 851.00, 846.00,,
1748859419,547.00, 483.00, 933.00, 513.00, 584.00, 631.00, 849.00, 843.00,,
1748859420,545.00, 483.00, 931.00, 512.00, 582.00, 631.00, 850.00, 844.00,,
1748859421,544.00, 484.00, 931.00, 512.00, 580.00, 630.00, 850.00, 842.00,,
1748859422,544.00, 485.00, 931.00, 510.00, 576.00, 629.00, 849.00, 843.00,,
1748859423,542.00, 484.00, 929.00, 508.00, 572.00, 628.00, 849.00, 838.00,,
1748859424,540.00, 484.00, 928.00, 505.00, 571.00, 625.00, 849.00, 838.00,,
1748859425,538.00, 484.00, 927.00, 505.00, 568.00, 623.00, 846.00, 838.00,,
1748859426,537.00, 485.00, 930.00, 503.00, 564.00, 623.00, 848.00, 839.00,,
1748859427,538.00, 484.00, 929.00, 504.00, 562.00, 622.00, 846.00, 835.00,,
1748859428,535.00, 485.00, 925.00, 500.00, 559.00, 620.00, 848.00, 831.00,,
1748859429,534.00, 485.00, 926.00, 498.00, 557.00, 619.00, 846.00, 832.00,,
1748859430,535.00, 485.00, 928.00, 499.00, 557.00, 622.00, 848.00, 832.00,,
1748859431,533.00, 485.00, 927.00, 498.00, 554.00, 620.00, 848.00, 832.00,,
1748859432,533.00, 486.00, 925.00, 496.00, 551.00, 619.00, 847.00, 829.00,,
1748859433,532.00, 487.00, 928.00, 495.00, 550.00, 617.00, 847.00, 828.00,,
1748859434,530.00, 485.00, 926.00, 494.00, 547.00, 617.00, 847.00, 828.00,,
1748859435,532.00, 487.00, 928.00, 494.00, 546.00, 617.00, 847.00, 828.00,,
1748859436,531.00, 486.00, 926.00, 492.00, 543.00, 616.00, 847.00, 826.00,,
1748859438,530.00, 487.00, 927.00, 491.00, 542.00, 614.00, 847.00, 826.00,,
1748859439,529.00, 486.00, 925.00, 489.00, 538.00, 613.00, 846.00, 824.00,,
1748859440,530.00, 487.00, 926.00, 488.00, 537.00, 613.00, 848.00, 825.00,,
1748859441,527.00, 486.00, 926.00, 487.00, 535.00, 612.00, 847.00, 823.00,,
1748859442,526.00, 486.00, 924.00, 486.00, 533.00, 611.00, 846.00, 822.00,,
1748859443,526.00, 486.00, 924.00, 484.00, 531.00, 610.00, 846.00, 821.00,,
1748859444,526.00, 485.00, 923.00, 483.00, 530.00, 610.00, 846.00, 818.00,,
1748859445,525.00, 484.00, 922.00, 481.00, 527.00, 608.00, 842.00, 818.00,,
1748859446,522.00, 481.00, 918.00, 480.00, 523.00, 604.00, 841.00, 814.00,,
1748859447,521.00, 482.00, 921.00, 478.00, 522.00, 604.00, 842.00, 816.00,,
1748859448,520.00, 483.00, 923.00, 477.00, 522.00, 605.00, 842.00, 815.00,,
1748859449,521.00, 484.00, 921.00, 477.00, 520.00, 605.00, 845.00, 816.00,,
1748859450,520.00, 482.00, 919.00, 477.00, 518.00, 603.00, 842.00, 813.00,,
1748859451,520.00, 483.00, 918.00, 474.00, 518.00, 601.00, 842.00, 812.00,,
1748859452,520.00, 483.00, 923.00, 474.00, 515.00, 601.00, 844.00, 813.00,,
1748859453,521.00, 483.00, 920.00, 473.00, 514.00, 602.00, 845.00, 812.00,,
1748859454,520.00, 484.00, 923.00, 473.00, 512.00, 600.00, 842.00, 811.00,,
1748859455,518.00, 483.00, 922.00, 471.00, 511.00, 601.00, 844.00, 812.00,,
