Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748859502,501.00, 471.00, 909.00, 438.00, 463.00, 563.00, 838.00, 784.00,,
1748859503,499.00, 470.00, 911.00, 438.00, 463.00, 564.00, 837.00, 785.00,,
1748859504,499.00, 470.00, 911.00, 437.00, 462.00, 563.00, 835.00, 782.00,,
1748859505,498.00, 470.00, 908.00, 435.00, 459.00, 561.00, 837.00, 782.00,,
1748859506,498.00, 468.00, 905.00, 435.00, 458.00, 558.00, 832.00, 780.00,,
1748859507,499.00, 469.00, 911.00, 437.00, 460.00, 559.00, 835.00, 780.00,,
1748859508,499.00, 469.00, 909.00, 436.00, 460.00, 561.00, 837.00, 783.00,,
1748859509,499.00, 469.00, 910.00, 435.00, 459.00, 560.00, 836.00, 782.00,,
1748859510,497.00, 468.00, 909.00, 435.00, 458.00, 559.00, 837.00, 782.00,,
1748859511,498.00, 469.00, 909.00, 434.00, 457.00, 558.00, 836.00, 780.00,,
1748859512,495.00, 469.00, 909.00, 434.00, 457.00, 558.00, 835.00, 779.00,,
1748859513,496.00, 467.00, 908.00, 433.00, 456.00, 558.00, 836.00, 780.00,,
1748859514,496.00, 468.00, 907.00, 432.00, 456.00, 557.00, 835.00, 779.00,,
1748859515,495.00, 468.00, 906.00, 431.00, 454.00, 555.00, 835.00, 780.00,,
1748859516,496.00, 467.00, 907.00, 431.00, 454.00, 554.00, 834.00, 778.00,,
1748859517,494.00, 467.00, 904.00, 431.00, 453.00, 554.00, 835.00, 777.00,,
1748859518,494.00, 465.00, 904.00, 430.00, 454.00, 552.00, 834.00, 777.00,,
1748859519,495.00, 466.00, 907.00, 430.00, 453.00, 554.00, 835.00, 776.00,,
1748859520,494.00, 466.00, 907.00, 430.00, 452.00, 552.00, 835.00, 776.00,,
1748859521,495.00, 466.00, 907.00, 430.00, 451.00, 551.00, 835.00, 777.00,,
1748859522,494.00, 465.00, 905.00, 429.00, 451.00, 551.00, 836.00, 776.00,,
1748859523,495.00, 466.00, 907.00, 429.00, 450.00, 551.00, 835.00, 775.00,,
1748859524,494.00, 465.00, 906.00, 428.00, 450.00, 551.00, 835.00, 776.00,,
1748859525,494.00, 465.00, 906.00, 428.00, 449.00, 549.00, 835.00, 775.00,,
1748859526,493.00, 464.00, 906.00, 428.00, 449.00, 549.00, 835.00, 775.00,,
