Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748859128,451.00, 159.00, 681.00, 367.00, 283.00, 524.00, 830.00, 613.00,,
1748859129,452.00, 158.00, 681.00, 367.00, 283.00, 524.00, 828.00, 612.00,,
1748859130,452.00, 158.00, 680.00, 367.00, 284.00, 525.00, 828.00, 612.00,,
1748859131,452.00, 159.00, 684.00, 368.00, 284.00, 526.00, 830.00, 614.00,,
1748859132,453.00, 159.00, 683.00, 367.00, 284.00, 525.00, 828.00, 614.00,,
1748859133,454.00, 159.00, 683.00, 368.00, 284.00, 526.00, 829.00, 613.00,,
1748859134,454.00, 159.00, 683.00, 368.00, 284.00, 525.00, 829.00, 613.00,,
1748859135,453.00, 159.00, 684.00, 368.00, 284.00, 527.00, 831.00, 614.00,,
1748859136,453.00, 159.00, 682.00, 367.00, 284.00, 526.00, 831.00, 615.00,,
1748859138,453.00, 159.00, 683.00, 368.00, 284.00, 526.00, 831.00, 614.00,,
1748859139,453.00, 158.00, 684.00, 368.00, 283.00, 526.00, 830.00, 614.00,,
1748859140,453.00, 158.00, 683.00, 368.00, 284.00, 527.00, 832.00, 615.00,,
1748859141,452.00, 159.00, 683.00, 367.00, 284.00, 527.00, 832.00, 615.00,,
1748859142,451.00, 158.00, 683.00, 367.00, 283.00, 526.00, 830.00, 612.00,,
1748859143,452.00, 158.00, 681.00, 366.00, 282.00, 526.00, 831.00, 613.00,,
1748859144,450.00, 158.00, 682.00, 367.00, 283.00, 525.00, 831.00, 614.00,,
1748859145,450.00, 158.00, 682.00, 368.00, 282.00, 525.00, 832.00, 612.00,,
1748859146,451.00, 158.00, 682.00, 367.00, 283.00, 524.00, 833.00, 615.00,,
1748859147,451.00, 158.00, 683.00, 366.00, 282.00, 526.00, 831.00, 614.00,,
1748859148,451.00, 158.00, 682.00, 367.00, 281.00, 524.00, 829.00, 611.00,,
1748859149,449.00, 158.00, 683.00, 366.00, 283.00, 526.00, 833.00, 615.00,,
1748859150,451.00, 158.00, 683.00, 366.00, 282.00, 527.00, 835.00, 613.00,,
1748859151,450.00, 158.00, 685.00, 367.00, 282.00, 529.00, 835.00, 615.00,,
1748859152,450.00, 158.00, 685.00, 367.00, 282.00, 529.00, 833.00, 615.00,,
1748859153,451.00, 158.00, 685.00, 367.00, 282.00, 529.00, 834.00, 616.00,,
1748859154,450.00, 158.00, 684.00, 367.00, 283.00, 530.00, 835.00, 616.00,,
1748859155,451.00, 158.00, 684.00, 368.00, 283.00, 531.00, 835.00, 616.00,,
1748859156,451.00, 158.00, 684.00, 367.00, 283.00, 529.00, 835.00, 616.00,,
1748859157,451.00, 158.00, 685.00, 367.00, 283.00, 530.00, 835.00, 616.00,,
1748859158,452.00, 158.00, 684.00, 368.00, 283.00, 531.00, 836.00, 617.00,,
1748859159,451.00, 158.00, 683.00, 366.00, 282.00, 531.00, 837.00, 617.00,,
1748859160,450.00, 157.00, 684.00, 367.00, 283.00, 532.00, 837.00, 616.00,,
1748859161,450.00, 158.00, 683.00, 367.00, 282.00, 531.00, 837.00, 617.00,,
1748859162,450.00, 158.00, 684.00, 367.00, 282.00, 532.00, 835.00, 616.00,,
1748859163,451.00, 157.00, 682.00, 366.00, 282.00, 534.00, 837.00, 617.00,,
1748859164,450.00, 157.00, 680.00, 367.00, 282.00, 531.00, 836.00, 615.00,,
1748859165,450.00, 158.00, 681.00, 367.00, 283.00, 531.00, 835.00, 617.00,,
1748859166,450.00, 158.00, 683.00, 367.00, 283.00, 531.00, 837.00, 617.00,,
1748859167,451.00, 157.00, 683.00, 368.00, 283.00, 532.00, 836.00, 617.00,,
1748859168,451.00, 158.00, 683.00, 367.00, 284.00, 534.00, 836.00, 617.00,,
