Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748859030,435.00, 156.00, 725.00, 369.00, 295.00, 518.00, 830.00, 624.00,,
1748859031,435.00, 156.00, 728.00, 370.00, 295.00, 516.00, 828.00, 622.00,,
1748859032,431.00, 157.00, 728.00, 370.00, 295.00, 513.00, 828.00, 624.00,,
1748859033,431.00, 158.00, 729.00, 369.00, 295.00, 507.00, 824.00, 623.00,,
1748859034,428.00, 159.00, 731.00, 368.00, 295.00, 501.00, 825.00, 623.00,,
1748859035,428.00, 161.00, 732.00, 368.00, 294.00, 499.00, 821.00, 626.00,,
1748859036,427.00, 161.00, 727.00, 367.00, 294.00, 499.00, 821.00, 623.00,,
1748859037,429.00, 162.00, 725.00, 367.00, 294.00, 500.00, 822.00, 626.00,,
1748859038,429.00, 163.00, 722.00, 366.00, 293.00, 498.00, 822.00, 624.00,,
1748859039,428.00, 163.00, 718.00, 365.00, 292.00, 499.00, 819.00, 623.00,,
1748859040,429.00, 163.00, 716.00, 365.00, 293.00, 501.00, 821.00, 624.00,,
1748859041,430.00, 164.00, 715.00, 365.00, 293.00, 501.00, 821.00, 624.00,,
1748859042,431.00, 165.00, 716.00, 366.00, 292.00, 503.00, 822.00, 624.00,,
1748859043,432.00, 165.00, 714.00, 365.00, 292.00, 503.00, 820.00, 623.00,,
1748859044,432.00, 164.00, 713.00, 364.00, 292.00, 505.00, 822.00, 624.00,,
1748859045,434.00, 165.00, 713.00, 365.00, 291.00, 505.00, 822.00, 623.00,,
1748859046,434.00, 165.00, 710.00, 365.00, 291.00, 506.00, 822.00, 623.00,,
1748859047,435.00, 165.00, 708.00, 364.00, 291.00, 505.00, 822.00, 623.00,,
1748859048,436.00, 165.00, 708.00, 364.00, 290.00, 507.00, 821.00, 621.00,,
1748859049,437.00, 165.00, 708.00, 364.00, 290.00, 507.00, 821.00, 622.00,,
1748859050,436.00, 164.00, 709.00, 364.00, 290.00, 507.00, 822.00, 621.00,,
1748859052,437.00, 164.00, 708.00, 362.00, 288.00, 508.00, 819.00, 619.00,,
1748859053,435.00, 164.00, 709.00, 363.00, 288.00, 507.00, 823.00, 619.00,,
1748859054,436.00, 164.00, 708.00, 361.00, 286.00, 506.00, 819.00, 619.00,,
1748859055,436.00, 164.00, 707.00, 362.00, 287.00, 507.00, 820.00, 618.00,,
1748859056,437.00, 164.00, 706.00, 362.00, 287.00, 509.00, 823.00, 620.00,,
1748859057,438.00, 165.00, 709.00, 364.00, 287.00, 510.00, 822.00, 619.00,,
1748859058,438.00, 165.00, 709.00, 363.00, 287.00, 509.00, 823.00, 619.00,,
1748859059,439.00, 164.00, 709.00, 363.00, 287.00, 509.00, 823.00, 619.00,,
1748859060,438.00, 164.00, 708.00, 363.00, 286.00, 510.00, 823.00, 618.00,,
1748859061,438.00, 165.00, 708.00, 363.00, 285.00, 510.00, 824.00, 619.00,,
1748859062,436.00, 164.00, 706.00, 361.00, 285.00, 509.00, 821.00, 616.00,,
1748859063,437.00, 164.00, 703.00, 362.00, 285.00, 509.00, 822.00, 617.00,,
1748859064,437.00, 164.00, 702.00, 363.00, 285.00, 509.00, 823.00, 616.00,,
1748859065,438.00, 164.00, 700.00, 362.00, 285.00, 510.00, 824.00, 618.00,,
1748859066,441.00, 164.00, 701.00, 364.00, 286.00, 511.00, 823.00, 618.00,,
1748859067,440.00, 164.00, 697.00, 363.00, 285.00, 512.00, 823.00, 618.00,,
1748859068,441.00, 164.00, 696.00, 364.00, 285.00, 511.00, 823.00, 617.00,,
1748859069,442.00, 164.00, 697.00, 364.00, 285.00, 512.00, 823.00, 616.00,,
1748859070,443.00, 164.00, 695.00, 364.00, 286.00, 513.00, 823.00, 617.00,,
