Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748862001,342.00, 409.00, 842.00, 323.00, 229.00, 298.00, 705.00, 577.00,,
1748862001,342.00, 410.00, 836.00, 322.00, 229.00, 299.00, 709.00, 573.00,,
1748862001,339.00, 406.00, 841.00, 322.00, 229.00, 301.00, 705.00, 574.00,,
1748862002,342.00, 407.00, 837.00, 322.00, 229.00, 300.00, 704.00, 575.00,,
1748862003,340.00, 409.00, 834.00, 322.00, 230.00, 297.00, 704.00, 574.00,,
1748862004,342.00, 408.00, 838.00, 323.00, 230.00, 301.00, 708.00, 577.00,,
1748862005,342.00, 409.00, 842.00, 324.00, 231.00, 301.00, 711.00, 579.00,,
1748862006,343.00, 409.00, 842.00, 324.00, 231.00, 301.00, 711.00, 579.00,,
1748862007,342.00, 405.00, 837.00, 322.00, 230.00, 301.00, 705.00, 574.00,,
1748862008,358.00, 406.00, 837.00, 325.00, 232.00, 308.00, 710.00, 578.00,,
1748862009,356.00, 404.00, 833.00, 327.00, 232.00, 313.00, 713.00, 580.00,,
1748862010,356.00, 404.00, 833.00, 327.00, 233.00, 316.00, 718.00, 582.00,,
1748862011,354.00, 401.00, 831.00, 326.00, 233.00, 316.00, 716.00, 580.00,,
1748862012,354.00, 401.00, 832.00, 326.00, 233.00, 316.00, 717.00, 582.00,,
1748862013,350.00, 397.00, 830.00, 323.00, 232.00, 313.00, 712.00, 580.00,,
1748862014,354.00, 399.00, 829.00, 326.00, 233.00, 316.00, 715.00, 580.00,,
1748862015,354.00, 400.00, 831.00, 326.00, 234.00, 316.00, 718.00, 582.00,,
1748862016,353.00, 398.00, 826.00, 323.00, 233.00, 314.00, 713.00, 581.00,,
1748862017,353.00, 400.00, 831.00, 326.00, 234.00, 316.00, 718.00, 582.00,,
1748862024,351.00, 399.00, 832.00, 325.00, 234.00, 315.00, 719.00, 582.00,,
1748862025,353.00, 400.00, 832.00, 326.00, 234.00, 314.00, 718.00, 581.00,,
1748862026,351.00, 395.00, 829.00, 324.00, 232.00, 312.00, 714.00, 580.00,,
1748862027,351.00, 398.00, 829.00, 324.00, 234.00, 313.00, 718.00, 582.00,,
1748862028,351.00, 400.00, 830.00, 325.00, 234.00, 315.00, 719.00, 580.00,,
1748862029,352.00, 400.00, 832.00, 325.00, 234.00, 314.00, 719.00, 581.00,,
1748862030,351.00, 398.00, 831.00, 326.00, 234.00, 314.00, 720.00, 581.00,,
