Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748862111,346.00, 378.00, 813.00, 323.00, 211.00, 314.00, 718.00, 536.00,,
1748862112,346.00, 377.00, 812.00, 320.00, 210.00, 311.00, 716.00, 536.00,,
1748862113,344.00, 375.00, 809.00, 321.00, 210.00, 312.00, 717.00, 535.00,,
1748862114,346.00, 378.00, 814.00, 323.00, 211.00, 313.00, 720.00, 536.00,,
1748862115,346.00, 377.00, 815.00, 323.00, 211.00, 314.00, 719.00, 536.00,,
1748862116,346.00, 377.00, 813.00, 323.00, 210.00, 312.00, 718.00, 534.00,,
1748862117,346.00, 377.00, 815.00, 323.00, 211.00, 313.00, 719.00, 535.00,,
1748862118,346.00, 377.00, 815.00, 323.00, 211.00, 314.00, 720.00, 535.00,,
1748862119,345.00, 376.00, 811.00, 322.00, 209.00, 312.00, 717.00, 535.00,,
1748862120,346.00, 376.00, 816.00, 323.00, 210.00, 314.00, 720.00, 535.00,,
1748862121,346.00, 376.00, 815.00, 323.00, 210.00, 314.00, 717.00, 531.00,,
1748862122,345.00, 373.00, 812.00, 323.00, 208.00, 313.00, 717.00, 533.00,,
1748862123,345.00, 375.00, 815.00, 323.00, 210.00, 314.00, 720.00, 533.00,,
1748862125,346.00, 374.00, 814.00, 322.00, 209.00, 314.00, 719.00, 532.00,,
1748862126,346.00, 374.00, 814.00, 323.00, 209.00, 311.00, 715.00, 529.00,,
1748862127,344.00, 372.00, 811.00, 322.00, 208.00, 313.00, 719.00, 532.00,,
1748862128,345.00, 374.00, 814.00, 323.00, 208.00, 315.00, 720.00, 531.00,,
1748862129,345.00, 372.00, 812.00, 322.00, 208.00, 314.00, 720.00, 530.00,,
1748862130,343.00, 369.00, 809.00, 322.00, 206.00, 313.00, 718.00, 525.00,,
1748862131,343.00, 369.00, 806.00, 322.00, 206.00, 313.00, 716.00, 526.00,,
1748862132,345.00, 372.00, 811.00, 322.00, 207.00, 315.00, 720.00, 528.00,,
1748862133,345.00, 371.00, 812.00, 322.00, 207.00, 314.00, 720.00, 528.00,,
1748862134,345.00, 371.00, 810.00, 322.00, 206.00, 315.00, 716.00, 523.00,,
1748862135,344.00, 371.00, 810.00, 321.00, 207.00, 315.00, 721.00, 526.00,,
1748862136,346.00, 371.00, 811.00, 322.00, 206.00, 314.00, 720.00, 526.00,,
1748862137,343.00, 368.00, 806.00, 320.00, 206.00, 311.00, 713.00, 524.00,,
1748862138,345.00, 368.00, 806.00, 320.00, 205.00, 315.00, 718.00, 523.00,,
1748862139,345.00, 370.00, 811.00, 322.00, 206.00, 314.00, 720.00, 524.00,,
1748862140,344.00, 369.00, 807.00, 320.00, 204.00, 313.00, 718.00, 523.00,,
1748862141,345.00, 370.00, 809.00, 321.00, 204.00, 313.00, 719.00, 524.00,,
1748862142,345.00, 368.00, 810.00, 322.00, 205.00, 314.00, 720.00, 524.00,,
1748862143,345.00, 369.00, 810.00, 322.00, 205.00, 313.00, 719.00, 524.00,,
1748862144,343.00, 365.00, 809.00, 319.00, 203.00, 311.00, 716.00, 523.00,,
1748862145,345.00, 369.00, 806.00, 320.00, 204.00, 312.00, 721.00, 523.00,,
1748862146,345.00, 368.00, 810.00, 322.00, 205.00, 314.00, 720.00, 524.00,,
1748862147,345.00, 365.00, 805.00, 320.00, 203.00, 314.00, 715.00, 522.00,,
1748862148,344.00, 366.00, 808.00, 322.00, 204.00, 313.00, 719.00, 524.00,,
1748862149,346.00, 367.00, 810.00, 322.00, 204.00, 314.00, 720.00, 522.00,,
1748862150,342.00, 365.00, 809.00, 320.00, 202.00, 312.00, 716.00, 522.00,,
1748862151,344.00, 365.00, 808.00, 320.00, 203.00, 315.00, 720.00, 521.00,,
