Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748861885,336.00, 442.00, 846.00, 323.00, 257.00, 293.00, 700.00, 608.00,,
1748861886,335.00, 435.00, 845.00, 322.00, 254.00, 293.00, 700.00, 606.00,,
1748861887,335.00, 434.00, 842.00, 323.00, 252.00, 293.00, 699.00, 605.00,,
1748861888,335.00, 433.00, 846.00, 319.00, 251.00, 293.00, 696.00, 602.00,,
1748861889,336.00, 432.00, 841.00, 320.00, 250.00, 293.00, 695.00, 601.00,,
1748861890,334.00, 434.00, 840.00, 320.00, 248.00, 291.00, 701.00, 599.00,,
1748861891,335.00, 432.00, 849.00, 320.00, 248.00, 292.00, 699.00, 602.00,,
1748861892,335.00, 431.00, 842.00, 322.00, 248.00, 292.00, 702.00, 598.00,,
1748861893,336.00, 433.00, 845.00, 320.00, 247.00, 293.00, 701.00, 600.00,,
1748861894,338.00, 435.00, 851.00, 321.00, 247.00, 293.00, 701.00, 601.00,,
1748861895,336.00, 434.00, 850.00, 321.00, 247.00, 294.00, 703.00, 599.00,,
1748861896,337.00, 432.00, 848.00, 321.00, 246.00, 293.00, 703.00, 599.00,,
1748861897,337.00, 432.00, 849.00, 322.00, 246.00, 294.00, 704.00, 597.00,,
1748861898,338.00, 432.00, 849.00, 321.00, 245.00, 294.00, 705.00, 597.00,,
1748861899,338.00, 432.00, 850.00, 321.00, 245.00, 294.00, 705.00, 596.00,,
1748861900,338.00, 432.00, 849.00, 321.00, 245.00, 294.00, 706.00, 595.00,,
1748861901,335.00, 428.00, 843.00, 320.00, 241.00, 292.00, 704.00, 589.00,,
1748861902,335.00, 429.00, 847.00, 319.00, 242.00, 292.00, 706.00, 591.00,,
1748861903,336.00, 429.00, 850.00, 319.00, 242.00, 293.00, 707.00, 594.00,,
1748861904,336.00, 429.00, 846.00, 320.00, 243.00, 294.00, 706.00, 591.00,,
1748861905,337.00, 430.00, 850.00, 321.00, 243.00, 293.00, 705.00, 590.00,,
1748861906,338.00, 428.00, 848.00, 321.00, 243.00, 295.00, 709.00, 592.00,,
1748861907,338.00, 429.00, 850.00, 321.00, 242.00, 296.00, 709.00, 593.00,,
1748861908,338.00, 429.00, 848.00, 321.00, 242.00, 296.00, 710.00, 592.00,,
1748861909,338.00, 429.00, 849.00, 321.00, 242.00, 295.00, 709.00, 592.00,,
1748861910,338.00, 429.00, 849.00, 321.00, 242.00, 295.00, 710.00, 592.00,,
1748861911,338.00, 430.00, 850.00, 321.00, 241.00, 296.00, 709.00, 590.00,,
1748861912,338.00, 429.00, 848.00, 322.00, 242.00, 294.00, 705.00, 587.00,,
1748861913,339.00, 430.00, 848.00, 321.00, 240.00, 293.00, 705.00, 586.00,,
1748861914,339.00, 428.00, 843.00, 320.00, 240.00, 296.00, 704.00, 586.00,,
1748861915,338.00, 426.00, 844.00, 320.00, 240.00, 297.00, 706.00, 588.00,,
1748861916,339.00, 428.00, 847.00, 322.00, 240.00, 296.00, 709.00, 588.00,,
1748861917,339.00, 428.00, 848.00, 322.00, 241.00, 297.00, 713.00, 588.00,,
1748861918,338.00, 427.00, 847.00, 322.00, 241.00, 296.00, 709.00, 587.00,,
1748861919,338.00, 427.00, 851.00, 322.00, 240.00, 298.00, 709.00, 586.00,,
1748861921,339.00, 426.00, 847.00, 321.00, 240.00, 300.00, 711.00, 586.00,,
1748861922,337.00, 425.00, 847.00, 322.00, 240.00, 299.00, 714.00, 587.00,,
1748861923,339.00, 427.00, 849.00, 322.00, 239.00, 300.00, 713.00, 586.00,,
1748861924,340.00, 428.00, 851.00, 322.00, 240.00, 301.00, 715.00, 588.00,,
1748861925,339.00, 426.00, 849.00, 322.00, 239.00, 299.00, 712.00, 585.00,,
