Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1748861945,341.00, 417.00, 840.00, 325.00, 234.00, 304.00, 714.00, 576.00,,
1748861945,341.00, 415.00, 838.00, 324.00, 233.00, 302.00, 713.00, 577.00,,
1748861945,340.00, 413.00, 838.00, 324.00, 232.00, 301.00, 710.00, 573.00,,
1748861946,337.00, 410.00, 831.00, 322.00, 230.00, 298.00, 706.00, 572.00,,
1748861947,339.00, 412.00, 836.00, 323.00, 232.00, 299.00, 708.00, 575.00,,
1748861948,340.00, 412.00, 836.00, 322.00, 231.00, 300.00, 709.00, 574.00,,
1748861949,340.00, 412.00, 838.00, 323.00, 231.00, 300.00, 709.00, 574.00,,
1748861950,340.00, 412.00, 839.00, 323.00, 230.00, 300.00, 710.00, 575.00,,
1748861951,340.00, 412.00, 839.00, 323.00, 230.00, 300.00, 709.00, 570.00,,
1748861952,338.00, 409.00, 838.00, 320.00, 228.00, 298.00, 705.00, 574.00,,
1748861953,339.00, 410.00, 837.00, 323.00, 229.00, 299.00, 708.00, 574.00,,
1748861954,339.00, 410.00, 836.00, 321.00, 229.00, 299.00, 708.00, 575.00,,
1748861955,340.00, 411.00, 839.00, 322.00, 229.00, 300.00, 708.00, 574.00,,
1748861956,341.00, 412.00, 840.00, 323.00, 229.00, 299.00, 708.00, 570.00,,
1748861957,340.00, 409.00, 836.00, 321.00, 228.00, 300.00, 706.00, 572.00,,
1748861958,341.00, 411.00, 839.00, 321.00, 228.00, 298.00, 708.00, 574.00,,
1748861959,340.00, 411.00, 840.00, 323.00, 229.00, 300.00, 708.00, 574.00,,
1748861960,340.00, 411.00, 840.00, 322.00, 229.00, 299.00, 708.00, 574.00,,
1748861961,340.00, 409.00, 836.00, 321.00, 228.00, 298.00, 706.00, 574.00,,
1748861962,339.00, 410.00, 840.00, 322.00, 229.00, 299.00, 708.00, 575.00,,
1748861963,340.00, 411.00, 840.00, 323.00, 228.00, 299.00, 708.00, 574.00,,
1748861964,341.00, 411.00, 840.00, 322.00, 227.00, 297.00, 703.00, 573.00,,
1748861965,340.00, 408.00, 836.00, 321.00, 228.00, 299.00, 706.00, 574.00,,
1748861966,341.00, 408.00, 838.00, 322.00, 228.00, 300.00, 706.00, 573.00,,
1748861967,342.00, 411.00, 842.00, 323.00, 229.00, 299.00, 709.00, 575.00,,
1748861968,341.00, 410.00, 842.00, 323.00, 228.00, 300.00, 709.00, 575.00,,
1748861969,341.00, 411.00, 841.00, 323.00, 228.00, 298.00, 704.00, 571.00,,
1748861970,341.00, 410.00, 837.00, 321.00, 227.00, 300.00, 707.00, 573.00,,
1748861971,341.00, 409.00, 841.00, 323.00, 228.00, 299.00, 705.00, 572.00,,
1748861978,341.00, 410.00, 841.00, 323.00, 229.00, 300.00, 709.00, 576.00,,
1748861979,341.00, 410.00, 841.00, 323.00, 229.00, 299.00, 709.00, 576.00,,
1748861980,340.00, 408.00, 841.00, 321.00, 228.00, 299.00, 706.00, 576.00,,
1748861981,341.00, 410.00, 841.00, 323.00, 228.00, 298.00, 705.00, 574.00,,
1748861982,341.00, 410.00, 841.00, 323.00, 229.00, 299.00, 709.00, 576.00,,
1748861983,341.00, 410.00, 841.00, 323.00, 229.00, 300.00, 710.00, 577.00,,
1748861984,342.00, 410.00, 840.00, 323.00, 228.00, 298.00, 705.00, 573.00,,
1748861985,340.00, 407.00, 838.00, 324.00, 228.00, 298.00, 706.00, 574.00,,
