Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747048828,394.00, 396.00, 11.00, 270.00, 97.00, 253.00, 764.00, 341.00,,
1747048829,394.00, 396.00, 11.00, 270.00, 97.00, 253.00, 763.00, 340.00,,
1747048831,394.00, 395.00, 11.00, 269.00, 96.00, 252.00, 761.00, 339.00,,
1747048832,394.00, 396.00, 11.00, 270.00, 97.00, 253.00, 763.00, 340.00,,
1747048833,394.00, 396.00, 10.00, 270.00, 97.00, 253.00, 763.00, 340.00,,
1747048834,393.00, 395.00, 10.00, 270.00, 96.00, 252.00, 761.00, 340.00,,
1747048835,393.00, 396.00, 10.00, 270.00, 97.00, 253.00, 764.00, 340.00,,
1747048836,393.00, 396.00, 10.00, 270.00, 97.00, 252.00, 760.00, 339.00,,
1747048837,394.00, 397.00, 11.00, 271.00, 96.00, 254.00, 764.00, 341.00,,
1747048838,394.00, 395.00, 11.00, 269.00, 97.00, 252.00, 760.00, 340.00,,
1747048839,393.00, 396.00, 10.00, 270.00, 97.00, 253.00, 763.00, 341.00,,
1747048840,393.00, 396.00, 10.00, 271.00, 97.00, 253.00, 761.00, 340.00,,
1747048841,392.00, 395.00, 7.00, 269.00, 97.00, 252.00, 760.00, 339.00,,
1747048842,393.00, 396.00, 10.00, 270.00, 96.00, 252.00, 762.00, 340.00,,
1747048843,393.00, 396.00, 11.00, 270.00, 97.00, 252.00, 761.00, 340.00,,
1747048844,392.00, 395.00, 10.00, 269.00, 97.00, 252.00, 761.00, 340.00,,
1747048845,393.00, 396.00, 10.00, 270.00, 97.00, 252.00, 763.00, 340.00,,
1747048846,394.00, 396.00, 11.00, 270.00, 97.00, 253.00, 761.00, 340.00,,
1747048847,392.00, 394.00, 11.00, 269.00, 97.00, 252.00, 760.00, 339.00,,
1747048848,394.00, 396.00, 10.00, 271.00, 97.00, 252.00, 762.00, 341.00,,
1747048849,394.00, 397.00, 11.00, 270.00, 97.00, 253.00, 763.00, 341.00,,
1747048850,392.00, 396.00, 11.00, 270.00, 97.00, 252.00, 761.00, 340.00,,
1747048851,392.00, 395.00, 11.00, 269.00, 96.00, 252.00, 760.00, 340.00,,
1747048852,394.00, 396.00, 10.00, 270.00, 97.00, 253.00, 762.00, 340.00,,
1747048853,393.00, 395.00, 10.00, 270.00, 97.00, 252.00, 761.00, 340.00,,
1747048854,392.00, 394.00, 11.00, 269.00, 97.00, 252.00, 760.00, 339.00,,
1747048855,392.00, 395.00, 10.00, 270.00, 97.00, 252.00, 761.00, 340.00,,
1747048856,393.00, 397.00, 10.00, 270.00, 97.00, 252.00, 762.00, 341.00,,
1747048857,392.00, 395.00, 10.00, 269.00, 96.00, 251.00, 759.00, 339.00,,
1747048858,392.00, 395.00, 10.00, 270.00, 97.00, 252.00, 761.00, 340.00,,
1747048859,394.00, 396.00, 11.00, 270.00, 97.00, 252.00, 760.00, 341.00,,
1747048860,391.00, 395.00, 10.00, 269.00, 97.00, 251.00, 759.00, 339.00,,
1747048861,391.00, 395.00, 10.00, 269.00, 97.00, 252.00, 761.00, 340.00,,
1747048862,394.00, 397.00, 10.00, 270.00, 97.00, 252.00, 762.00, 341.00,,
1747048863,393.00, 396.00, 11.00, 270.00, 97.00, 252.00, 762.00, 341.00,,
1747048864,393.00, 395.00, 11.00, 269.00, 97.00, 251.00, 759.00, 340.00,,
1747048865,391.00, 395.00, 10.00, 269.00, 97.00, 251.00, 760.00, 340.00,,
1747048866,393.00, 396.00, 10.00, 270.00, 97.00, 252.00, 763.00, 341.00,,
1747048867,391.00, 395.00, 9.00, 270.00, 97.00, 252.00, 760.00, 340.00,,
1747048868,391.00, 394.00, 10.00, 269.00, 97.00, 251.00, 760.00, 340.00,,
