Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747219470,211.00, 549.00, 18.00, 251.00, 130.00, 190.00, 604.00, 448.00,,
1747219471,212.00, 548.00, 17.00, 251.00, 130.00, 191.00, 603.00, 448.00,,
1747219472,212.00, 548.00, 18.00, 251.00, 130.00, 191.00, 603.00, 447.00,,
1747219473,211.00, 548.00, 17.00, 251.00, 130.00, 191.00, 604.00, 447.00,,
1747219474,211.00, 547.00, 18.00, 251.00, 130.00, 191.00, 604.00, 447.00,,
1747219475,211.00, 547.00, 17.00, 251.00, 130.00, 191.00, 604.00, 447.00,,
1747219476,212.00, 547.00, 18.00, 251.00, 130.00, 191.00, 604.00, 447.00,,
1747219477,211.00, 547.00, 18.00, 251.00, 130.00, 191.00, 604.00, 446.00,,
1747219478,212.00, 547.00, 17.00, 251.00, 130.00, 191.00, 604.00, 446.00,,
1747219479,212.00, 546.00, 17.00, 251.00, 130.00, 192.00, 604.00, 446.00,,
1747219480,212.00, 546.00, 17.00, 251.00, 130.00, 192.00, 604.00, 446.00,,
1747219481,212.00, 546.00, 17.00, 251.00, 130.00, 192.00, 604.00, 446.00,,
1747219482,212.00, 546.00, 18.00, 251.00, 130.00, 192.00, 604.00, 445.00,,
1747219483,212.00, 545.00, 17.00, 251.00, 129.00, 192.00, 604.00, 445.00,,
1747219484,212.00, 545.00, 17.00, 251.00, 129.00, 192.00, 604.00, 445.00,,
1747219485,212.00, 545.00, 17.00, 251.00, 129.00, 192.00, 604.00, 445.00,,
1747219486,212.00, 545.00, 18.00, 251.00, 129.00, 192.00, 604.00, 445.00,,
1747219487,212.00, 545.00, 17.00, 251.00, 129.00, 192.00, 604.00, 444.00,,
1747219488,212.00, 544.00, 17.00, 251.00, 129.00, 192.00, 604.00, 444.00,,
1747219489,212.00, 544.00, 17.00, 251.00, 129.00, 193.00, 604.00, 444.00,,
1747219490,212.00, 544.00, 17.00, 251.00, 129.00, 193.00, 604.00, 444.00,,
1747219491,212.00, 544.00, 18.00, 251.00, 129.00, 193.00, 604.00, 444.00,,
1747219492,213.00, 544.00, 16.00, 251.00, 129.00, 193.00, 604.00, 444.00,,
1747219493,212.00, 543.00, 17.00, 251.00, 129.00, 193.00, 604.00, 443.00,,
1747219494,212.00, 543.00, 17.00, 251.00, 129.00, 193.00, 604.00, 443.00,,
1747219495,212.00, 543.00, 17.00, 251.00, 129.00, 193.00, 604.00, 443.00,,
1747219496,212.00, 543.00, 17.00, 251.00, 129.00, 193.00, 604.00, 443.00,,
1747219497,213.00, 542.00, 16.00, 251.00, 129.00, 193.00, 604.00, 443.00,,
1747219498,213.00, 542.00, 17.00, 251.00, 129.00, 194.00, 604.00, 442.00,,
1747219499,212.00, 542.00, 17.00, 251.00, 128.00, 194.00, 604.00, 442.00,,
1747219500,213.00, 542.00, 17.00, 251.00, 128.00, 194.00, 604.00, 442.00,,
1747219501,213.00, 542.00, 17.00, 251.00, 128.00, 194.00, 604.00, 442.00,,
1747219502,213.00, 541.00, 17.00, 251.00, 128.00, 194.00, 605.00, 442.00,,
1747219503,213.00, 541.00, 18.00, 251.00, 128.00, 194.00, 604.00, 441.00,,
1747219504,213.00, 541.00, 17.00, 251.00, 128.00, 194.00, 604.00, 441.00,,
1747219505,213.00, 541.00, 17.00, 251.00, 128.00, 194.00, 605.00, 441.00,,
1747219506,213.00, 540.00, 17.00, 251.00, 128.00, 194.00, 605.00, 441.00,,
1747219507,213.00, 540.00, 17.00, 251.00, 128.00, 195.00, 604.00, 441.00,,
1747219508,213.00, 540.00, 17.00, 251.00, 128.00, 195.00, 605.00, 441.00,,
1747219509,213.00, 540.00, 17.00, 251.00, 128.00, 195.00, 604.00, 440.00,,
