Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747048921,415.00, 399.00, 11.00, 275.00, 103.00, 266.00, 774.00, 364.00,,
1747048922,417.00, 399.00, 10.00, 274.00, 103.00, 267.00, 773.00, 364.00,,
1747048923,419.00, 400.00, 11.00, 275.00, 103.00, 267.00, 774.00, 366.00,,
1747048924,420.00, 400.00, 11.00, 275.00, 103.00, 267.00, 774.00, 367.00,,
1747048925,418.00, 398.00, 11.00, 274.00, 104.00, 267.00, 772.00, 367.00,,
1747048926,420.00, 400.00, 10.00, 275.00, 104.00, 268.00, 776.00, 369.00,,
1747048927,420.00, 401.00, 11.00, 275.00, 105.00, 267.00, 773.00, 370.00,,
1747048928,419.00, 399.00, 12.00, 274.00, 104.00, 267.00, 771.00, 369.00,,
1747048929,419.00, 401.00, 10.00, 276.00, 105.00, 267.00, 773.00, 371.00,,
1747048930,418.00, 401.00, 11.00, 275.00, 105.00, 268.00, 775.00, 372.00,,
1747048931,417.00, 400.00, 11.00, 275.00, 104.00, 267.00, 771.00, 372.00,,
1747048932,416.00, 400.00, 11.00, 275.00, 104.00, 267.00, 771.00, 372.00,,
1747048933,418.00, 401.00, 11.00, 275.00, 105.00, 267.00, 773.00, 372.00,,
1747048934,417.00, 400.00, 11.00, 275.00, 105.00, 266.00, 770.00, 373.00,,
1747048935,417.00, 401.00, 11.00, 275.00, 105.00, 267.00, 771.00, 374.00,,
1747048936,416.00, 400.00, 11.00, 274.00, 105.00, 266.00, 770.00, 372.00,,
1747048937,418.00, 402.00, 10.00, 275.00, 105.00, 266.00, 771.00, 374.00,,
1747048938,415.00, 401.00, 10.00, 274.00, 105.00, 266.00, 768.00, 373.00,,
1747048939,415.00, 401.00, 11.00, 275.00, 105.00, 266.00, 769.00, 374.00,,
1747048940,416.00, 401.00, 10.00, 275.00, 105.00, 266.00, 768.00, 373.00,,
1747048941,415.00, 401.00, 10.00, 275.00, 105.00, 265.00, 769.00, 374.00,,
1747048942,416.00, 402.00, 10.00, 275.00, 105.00, 265.00, 770.00, 375.00,,
1747048943,413.00, 400.00, 10.00, 274.00, 105.00, 263.00, 766.00, 373.00,,
1747048944,415.00, 402.00, 11.00, 275.00, 105.00, 265.00, 770.00, 374.00,,
1747048945,414.00, 401.00, 10.00, 274.00, 105.00, 264.00, 768.00, 372.00,,
1747048946,413.00, 401.00, 11.00, 274.00, 105.00, 264.00, 768.00, 374.00,,
1747048947,414.00, 402.00, 11.00, 275.00, 105.00, 263.00, 766.00, 373.00,,
1747048948,412.00, 401.00, 11.00, 274.00, 105.00, 263.00, 766.00, 373.00,,
1747048949,413.00, 402.00, 11.00, 275.00, 105.00, 263.00, 767.00, 374.00,,
1747048950,412.00, 401.00, 11.00, 274.00, 105.00, 262.00, 766.00, 373.00,,
1747048951,413.00, 402.00, 10.00, 275.00, 105.00, 262.00, 768.00, 374.00,,
1747048952,412.00, 402.00, 10.00, 275.00, 105.00, 262.00, 765.00, 373.00,,
1747048953,410.00, 401.00, 11.00, 274.00, 105.00, 261.00, 764.00, 372.00,,
1747048954,412.00, 403.00, 11.00, 276.00, 106.00, 261.00, 767.00, 374.00,,
1747048955,411.00, 401.00, 11.00, 274.00, 105.00, 260.00, 764.00, 373.00,,
1747048956,411.00, 401.00, 10.00, 274.00, 105.00, 260.00, 764.00, 372.00,,
1747048957,411.00, 402.00, 11.00, 275.00, 105.00, 260.00, 766.00, 374.00,,
1747048958,411.00, 403.00, 10.00, 274.00, 105.00, 260.00, 764.00, 372.00,,
1747048959,409.00, 401.00, 12.00, 274.00, 104.00, 260.00, 765.00, 373.00,,
1747048960,412.00, 403.00, 10.00, 275.00, 105.00, 260.00, 767.00, 373.00,,
