Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747221852,215.00, 483.00, 16.00, 251.00, 250.00, 312.00, 641.00, 750.00,,
1747221853,217.00, 483.00, 16.00, 252.00, 256.00, 310.00, 644.00, 753.00,,
1747221854,219.00, 484.00, 16.00, 252.00, 261.00, 307.00, 646.00, 757.00,,
1747221855,221.00, 485.00, 17.00, 253.00, 266.00, 305.00, 649.00, 761.00,,
1747221856,222.00, 485.00, 17.00, 253.00, 269.00, 302.00, 650.00, 764.00,,
1747221857,223.00, 486.00, 17.00, 253.00, 271.00, 300.00, 651.00, 765.00,,
1747221858,223.00, 486.00, 18.00, 253.00, 272.00, 297.00, 653.00, 767.00,,
1747221859,224.00, 486.00, 16.00, 253.00, 272.00, 296.00, 654.00, 769.00,,
1747221860,224.00, 486.00, 16.00, 253.00, 273.00, 294.00, 655.00, 770.00,,
1747221861,224.00, 486.00, 16.00, 253.00, 274.00, 293.00, 655.00, 771.00,,
1747221862,236.00, 511.00, 17.00, 266.00, 287.00, 306.00, 688.00, 811.00,,
1747221863,236.00, 510.00, 17.00, 265.00, 286.00, 303.00, 687.00, 809.00,,
1747221864,233.00, 502.00, 16.00, 262.00, 283.00, 302.00, 672.00, 785.00,,
1747221865,262.00, 525.00, 19.00, 265.00, 313.00, 330.00, 682.00, 820.00,,
1747221866,256.00, 520.00, 16.00, 258.00, 319.00, 316.00, 655.00, 803.00,,
1747221867,261.00, 532.00, 17.00, 259.00, 330.00, 314.00, 654.00, 807.00,,
1747221868,263.00, 540.00, 17.00, 259.00, 336.00, 311.00, 653.00, 811.00,,
1747221869,264.00, 548.00, 18.00, 260.00, 341.00, 309.00, 653.00, 814.00,,
1747221870,265.00, 554.00, 17.00, 260.00, 344.00, 307.00, 653.00, 816.00,,
1747221871,266.00, 558.00, 17.00, 260.00, 347.00, 305.00, 652.00, 817.00,,
1747221872,265.00, 562.00, 16.00, 260.00, 348.00, 303.00, 652.00, 818.00,,
1747221873,265.00, 566.00, 18.00, 260.00, 350.00, 301.00, 651.00, 818.00,,
1747221874,265.00, 568.00, 18.00, 261.00, 351.00, 300.00, 651.00, 819.00,,
1747221875,265.00, 571.00, 18.00, 261.00, 352.00, 299.00, 651.00, 820.00,,
1747221876,265.00, 574.00, 18.00, 261.00, 352.00, 298.00, 651.00, 820.00,,
1747221877,264.00, 576.00, 18.00, 261.00, 352.00, 297.00, 651.00, 820.00,,
1747221878,264.00, 578.00, 18.00, 261.00, 353.00, 296.00, 651.00, 820.00,,
1747221879,264.00, 580.00, 19.00, 261.00, 353.00, 295.00, 650.00, 819.00,,
1747221880,263.00, 581.00, 19.00, 261.00, 352.00, 294.00, 650.00, 819.00,,
1747221881,264.00, 583.00, 19.00, 261.00, 352.00, 293.00, 650.00, 819.00,,
1747221882,264.00, 585.00, 19.00, 261.00, 352.00, 293.00, 651.00, 819.00,,
1747221883,263.00, 587.00, 19.00, 261.00, 352.00, 292.00, 650.00, 819.00,,
1747221884,263.00, 587.00, 18.00, 261.00, 352.00, 291.00, 650.00, 819.00,,
1747221885,262.00, 589.00, 18.00, 261.00, 352.00, 291.00, 650.00, 818.00,,
1747221886,262.00, 589.00, 19.00, 261.00, 351.00, 290.00, 649.00, 817.00,,
1747221887,262.00, 591.00, 19.00, 261.00, 351.00, 290.00, 649.00, 818.00,,
1747221888,262.00, 592.00, 19.00, 261.00, 352.00, 289.00, 650.00, 818.00,,
1747221889,262.00, 593.00, 19.00, 261.00, 351.00, 288.00, 650.00, 818.00,,
1747221890,262.00, 594.00, 18.00, 261.00, 351.00, 288.00, 649.00, 817.00,,
1747221891,261.00, 594.00, 19.00, 261.00, 350.00, 287.00, 649.00, 816.00,,
