Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747308570,220.00, 324.00, 11.00, 321.00, 112.00, 217.00, 565.00, 408.00,,
1747308571,218.00, 323.00, 9.00, 320.00, 112.00, 217.00, 564.00, 407.00,,
1747308572,218.00, 324.00, 10.00, 321.00, 112.00, 217.00, 565.00, 409.00,,
1747308573,219.00, 325.00, 10.00, 320.00, 112.00, 217.00, 565.00, 408.00,,
1747308574,218.00, 323.00, 9.00, 320.00, 112.00, 217.00, 564.00, 407.00,,
1747308575,219.00, 324.00, 10.00, 321.00, 112.00, 217.00, 565.00, 408.00,,
1747308576,219.00, 324.00, 11.00, 322.00, 112.00, 217.00, 565.00, 409.00,,
1747308577,219.00, 324.00, 10.00, 321.00, 112.00, 218.00, 564.00, 408.00,,
1747308578,219.00, 323.00, 12.00, 320.00, 112.00, 217.00, 565.00, 408.00,,
1747308579,219.00, 323.00, 9.00, 321.00, 112.00, 217.00, 565.00, 408.00,,
1747308580,220.00, 324.00, 9.00, 321.00, 112.00, 217.00, 565.00, 409.00,,
1747308581,218.00, 322.00, 10.00, 321.00, 112.00, 217.00, 565.00, 408.00,,
1747308582,219.00, 324.00, 10.00, 321.00, 113.00, 217.00, 565.00, 408.00,,
1747308583,220.00, 324.00, 11.00, 321.00, 112.00, 218.00, 566.00, 409.00,,
1747308584,219.00, 323.00, 10.00, 321.00, 112.00, 217.00, 565.00, 407.00,,
1747308585,219.00, 323.00, 11.00, 320.00, 112.00, 218.00, 565.00, 408.00,,
1747308586,220.00, 324.00, 10.00, 322.00, 112.00, 218.00, 567.00, 408.00,,
1747308587,220.00, 324.00, 10.00, 321.00, 112.00, 218.00, 566.00, 408.00,,
1747308588,220.00, 323.00, 11.00, 321.00, 112.00, 218.00, 566.00, 408.00,,
1747308589,220.00, 324.00, 12.00, 321.00, 112.00, 218.00, 566.00, 408.00,,
1747308590,220.00, 324.00, 10.00, 321.00, 113.00, 218.00, 566.00, 408.00,,
1747308591,220.00, 323.00, 11.00, 321.00, 113.00, 218.00, 566.00, 408.00,,
1747308592,220.00, 323.00, 11.00, 321.00, 112.00, 218.00, 566.00, 408.00,,
1747308593,220.00, 323.00, 10.00, 321.00, 113.00, 219.00, 566.00, 408.00,,
1747308594,221.00, 324.00, 11.00, 322.00, 112.00, 218.00, 567.00, 408.00,,
1747308595,220.00, 323.00, 10.00, 321.00, 112.00, 218.00, 565.00, 407.00,,
1747308596,220.00, 323.00, 10.00, 321.00, 113.00, 218.00, 565.00, 408.00,,
1747308597,220.00, 324.00, 9.00, 322.00, 112.00, 218.00, 566.00, 408.00,,
1747308598,220.00, 323.00, 10.00, 321.00, 113.00, 218.00, 564.00, 406.00,,
1747308599,220.00, 324.00, 8.00, 321.00, 113.00, 219.00, 566.00, 408.00,,
1747308600,220.00, 324.00, 9.00, 322.00, 113.00, 218.00, 565.00, 407.00,,
1747308601,220.00, 323.00, 10.00, 321.00, 113.00, 218.00, 564.00, 407.00,,
1747308602,221.00, 323.00, 9.00, 322.00, 113.00, 219.00, 565.00, 407.00,,
1747308604,221.00, 324.00, 13.00, 321.00, 113.00, 218.00, 564.00, 406.00,,
1747308605,221.00, 323.00, 10.00, 321.00, 113.00, 219.00, 565.00, 407.00,,
1747308606,221.00, 323.00, 11.00, 321.00, 113.00, 219.00, 565.00, 407.00,,
1747308607,221.00, 323.00, 10.00, 321.00, 112.00, 218.00, 564.00, 406.00,,
1747308608,221.00, 323.00, 8.00, 322.00, 112.00, 219.00, 565.00, 406.00,,
1747308609,221.00, 323.00, 10.00, 321.00, 112.00, 218.00, 563.00, 406.00,,
1747308610,221.00, 323.00, 10.00, 321.00, 113.00, 218.00, 564.00, 407.00,,
