Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747220797,289.00, 520.00, 16.00, 261.00, 313.00, 303.00, 681.00, 798.00,,
1747220798,287.00, 519.00, 17.00, 261.00, 314.00, 300.00, 675.00, 796.00,,
1747220799,304.00, 550.00, 12.00, 285.00, 328.00, 313.00, 706.00, 830.00,,
1747220800,286.00, 523.00, 15.00, 261.00, 324.00, 319.00, 679.00, 808.00,,
1747220801,285.00, 532.00, 17.00, 260.00, 340.00, 308.00, 680.00, 813.00,,
1747220802,284.00, 538.00, 17.00, 260.00, 347.00, 305.00, 680.00, 817.00,,
1747220803,283.00, 543.00, 17.00, 260.00, 351.00, 303.00, 681.00, 818.00,,
1747220804,282.00, 546.00, 17.00, 260.00, 353.00, 301.00, 678.00, 819.00,,
1747220805,281.00, 549.00, 17.00, 260.00, 353.00, 298.00, 674.00, 819.00,,
1747220806,280.00, 552.00, 17.00, 260.00, 354.00, 296.00, 669.00, 819.00,,
1747220807,279.00, 553.00, 17.00, 260.00, 353.00, 294.00, 666.00, 819.00,,
1747220808,278.00, 554.00, 17.00, 259.00, 352.00, 292.00, 663.00, 818.00,,
1747220809,277.00, 556.00, 17.00, 259.00, 351.00, 290.00, 659.00, 816.00,,
1747220810,277.00, 557.00, 17.00, 259.00, 350.00, 288.00, 656.00, 815.00,,
1747220811,276.00, 557.00, 17.00, 259.00, 348.00, 286.00, 655.00, 813.00,,
1747220812,275.00, 558.00, 17.00, 259.00, 347.00, 284.00, 653.00, 812.00,,
1747220813,274.00, 559.00, 17.00, 258.00, 346.00, 282.00, 651.00, 810.00,,
1747220814,273.00, 559.00, 17.00, 258.00, 345.00, 280.00, 649.00, 809.00,,
1747220815,272.00, 559.00, 18.00, 258.00, 343.00, 277.00, 647.00, 807.00,,
1747220816,272.00, 560.00, 17.00, 258.00, 342.00, 275.00, 645.00, 805.00,,
1747220817,271.00, 561.00, 17.00, 258.00, 341.00, 273.00, 643.00, 803.00,,
1747220818,270.00, 561.00, 18.00, 258.00, 340.00, 271.00, 642.00, 802.00,,
1747220819,270.00, 561.00, 18.00, 257.00, 338.00, 269.00, 640.00, 800.00,,
1747220820,269.00, 562.00, 17.00, 257.00, 337.00, 268.00, 640.00, 799.00,,
1747220821,268.00, 562.00, 17.00, 257.00, 336.00, 267.00, 639.00, 798.00,,
1747220822,267.00, 563.00, 18.00, 257.00, 335.00, 265.00, 638.00, 796.00,,
1747220823,266.00, 563.00, 18.00, 257.00, 333.00, 263.00, 637.00, 794.00,,
1747220824,266.00, 563.00, 17.00, 256.00, 332.00, 262.00, 636.00, 793.00,,
1747220825,265.00, 564.00, 18.00, 257.00, 330.00, 261.00, 635.00, 791.00,,
1747220826,264.00, 564.00, 18.00, 256.00, 329.00, 260.00, 634.00, 790.00,,
1747220827,263.00, 564.00, 19.00, 256.00, 328.00, 259.00, 634.00, 788.00,,
1747220828,262.00, 565.00, 18.00, 256.00, 327.00, 257.00, 632.00, 786.00,,
1747220829,260.00, 564.00, 17.00, 256.00, 326.00, 255.00, 630.00, 785.00,,
1747220830,259.00, 565.00, 17.00, 255.00, 325.00, 253.00, 628.00, 783.00,,
1747220831,258.00, 565.00, 17.00, 255.00, 323.00, 252.00, 627.00, 781.00,,
1747220832,256.00, 566.00, 18.00, 255.00, 322.00, 251.00, 626.00, 779.00,,
1747220833,255.00, 566.00, 18.00, 255.00, 321.00, 250.00, 625.00, 777.00,,
1747220834,253.00, 566.00, 17.00, 254.00, 319.00, 249.00, 624.00, 775.00,,
1747220835,252.00, 566.00, 20.00, 254.00, 318.00, 249.00, 624.00, 774.00,,
1747220836,251.00, 566.00, 17.00, 254.00, 317.00, 247.00, 623.00, 773.00,,
