Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747220734,212.00, 405.00, 14.00, 249.00, 105.00, 324.00, 774.00, 629.00,,
1747220735,215.00, 406.00, 14.00, 249.00, 107.00, 347.00, 775.00, 640.00,,
1747220736,220.00, 405.00, 13.00, 250.00, 109.00, 366.00, 778.00, 648.00,,
1747220737,227.00, 406.00, 13.00, 251.00, 112.00, 374.00, 780.00, 656.00,,
1747220738,236.00, 406.00, 13.00, 253.00, 116.00, 382.00, 780.00, 662.00,,
1747220739,247.00, 405.00, 12.00, 254.00, 121.00, 388.00, 783.00, 669.00,,
1747220740,262.00, 406.00, 13.00, 257.00, 126.00, 396.00, 785.00, 673.00,,
1747220741,299.00, 407.00, 13.00, 260.00, 132.00, 406.00, 786.00, 675.00,,
1747220742,331.00, 412.00, 13.00, 266.00, 141.00, 411.00, 797.00, 685.00,,
1747220743,341.00, 408.00, 14.00, 265.00, 144.00, 403.00, 789.00, 678.00,,
1747220744,350.00, 409.00, 13.00, 266.00, 148.00, 400.00, 790.00, 679.00,,
1747220745,357.00, 410.00, 13.00, 268.00, 151.00, 397.00, 789.00, 680.00,,
1747220746,363.00, 411.00, 13.00, 269.00, 154.00, 394.00, 788.00, 681.00,,
1747220747,370.00, 411.00, 13.00, 270.00, 157.00, 392.00, 784.00, 680.00,,
1747220748,385.00, 422.00, 14.00, 277.00, 164.00, 399.00, 799.00, 697.00,,
1747220749,384.00, 413.00, 13.00, 273.00, 163.00, 389.00, 780.00, 682.00,,
1747220750,388.00, 413.00, 12.00, 273.00, 165.00, 386.00, 774.00, 681.00,,
1747220751,393.00, 414.00, 14.00, 274.00, 169.00, 360.00, 761.00, 694.00,,
1747220752,352.00, 427.00, 14.00, 271.00, 198.00, 324.00, 752.00, 720.00,,
1747220753,336.00, 440.00, 16.00, 270.00, 217.00, 318.00, 747.00, 735.00,,
1747220754,327.00, 448.00, 14.00, 268.00, 228.00, 314.00, 740.00, 742.00,,
1747220755,322.00, 454.00, 15.00, 267.00, 235.00, 312.00, 735.00, 747.00,,
1747220756,319.00, 460.00, 16.00, 267.00, 240.00, 309.00, 732.00, 750.00,,
1747220757,317.00, 463.00, 16.00, 266.00, 243.00, 307.00, 731.00, 753.00,,
1747220758,315.00, 466.00, 15.00, 266.00, 246.00, 305.00, 728.00, 755.00,,
1747220759,313.00, 469.00, 10.00, 265.00, 248.00, 303.00, 725.00, 756.00,,
1747220760,312.00, 471.00, 16.00, 265.00, 250.00, 302.00, 722.00, 757.00,,
1747220761,310.00, 473.00, 16.00, 265.00, 251.00, 301.00, 719.00, 757.00,,
1747220762,309.00, 474.00, 16.00, 264.00, 252.00, 299.00, 715.00, 757.00,,
1747220763,308.00, 475.00, 17.00, 264.00, 253.00, 298.00, 712.00, 756.00,,
1747220764,308.00, 476.00, 16.00, 264.00, 254.00, 298.00, 707.00, 756.00,,
1747220765,307.00, 477.00, 16.00, 263.00, 254.00, 297.00, 703.00, 756.00,,
1747220766,307.00, 478.00, 16.00, 263.00, 256.00, 296.00, 697.00, 755.00,,
1747220767,305.00, 480.00, 16.00, 263.00, 256.00, 294.00, 692.00, 753.00,,
1747220768,305.00, 481.00, 16.00, 262.00, 257.00, 293.00, 689.00, 754.00,,
1747220769,305.00, 481.00, 16.00, 262.00, 257.00, 292.00, 686.00, 753.00,,
1747220770,303.00, 482.00, 16.00, 262.00, 258.00, 290.00, 684.00, 752.00,,
1747220771,303.00, 483.00, 16.00, 262.00, 258.00, 289.00, 681.00, 751.00,,
1747220772,303.00, 484.00, 17.00, 262.00, 258.00, 288.00, 678.00, 751.00,,
1747220773,302.00, 485.00, 16.00, 262.00, 258.00, 286.00, 675.00, 749.00,,
