Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747308759,225.00, 322.00, 11.00, 320.00, 113.00, 218.00, 561.00, 400.00,,
1747308760,224.00, 322.00, 9.00, 320.00, 113.00, 219.00, 561.00, 400.00,,
1747308761,224.00, 321.00, 10.00, 320.00, 112.00, 218.00, 561.00, 399.00,,
1747308762,224.00, 322.00, 11.00, 320.00, 112.00, 218.00, 561.00, 400.00,,
1747308763,225.00, 322.00, 13.00, 320.00, 113.00, 218.00, 562.00, 400.00,,
1747308764,225.00, 321.00, 11.00, 320.00, 112.00, 217.00, 561.00, 399.00,,
1747308765,224.00, 321.00, 8.00, 320.00, 113.00, 217.00, 561.00, 399.00,,
1747308766,224.00, 322.00, 9.00, 320.00, 113.00, 218.00, 561.00, 400.00,,
1747308767,225.00, 321.00, 10.00, 320.00, 113.00, 218.00, 562.00, 400.00,,
1747308768,224.00, 322.00, 8.00, 320.00, 113.00, 218.00, 560.00, 398.00,,
1747308769,225.00, 321.00, 11.00, 320.00, 112.00, 218.00, 562.00, 399.00,,
1747308770,224.00, 322.00, 10.00, 321.00, 113.00, 219.00, 563.00, 399.00,,
1747308771,224.00, 322.00, 10.00, 321.00, 113.00, 218.00, 562.00, 399.00,,
1747308772,224.00, 321.00, 9.00, 319.00, 112.00, 217.00, 562.00, 398.00,,
1747308773,224.00, 321.00, 12.00, 320.00, 113.00, 218.00, 561.00, 399.00,,
1747308774,224.00, 321.00, 11.00, 320.00, 113.00, 218.00, 563.00, 400.00,,
1747308775,224.00, 322.00, 10.00, 320.00, 113.00, 218.00, 563.00, 399.00,,
1747308776,224.00, 320.00, 10.00, 319.00, 112.00, 217.00, 561.00, 398.00,,
1747308777,224.00, 321.00, 10.00, 320.00, 113.00, 218.00, 562.00, 398.00,,
1747308778,224.00, 321.00, 10.00, 320.00, 112.00, 218.00, 562.00, 398.00,,
1747308779,224.00, 321.00, 8.00, 320.00, 112.00, 218.00, 563.00, 399.00,,
1747308780,224.00, 321.00, 10.00, 320.00, 112.00, 218.00, 562.00, 398.00,,
1747308781,224.00, 321.00, 10.00, 321.00, 112.00, 218.00, 562.00, 399.00,,
1747308782,223.00, 321.00, 11.00, 320.00, 112.00, 218.00, 562.00, 398.00,,
1747308783,223.00, 320.00, 10.00, 319.00, 112.00, 218.00, 561.00, 398.00,,
1747308784,224.00, 321.00, 10.00, 320.00, 112.00, 217.00, 562.00, 399.00,,
1747308785,224.00, 321.00, 9.00, 320.00, 112.00, 218.00, 562.00, 398.00,,
1747308786,224.00, 320.00, 13.00, 320.00, 112.00, 217.00, 560.00, 396.00,,
1747308787,224.00, 321.00, 5.00, 320.00, 112.00, 218.00, 561.00, 398.00,,
1747308788,223.00, 321.00, 10.00, 320.00, 112.00, 217.00, 562.00, 397.00,,
1747308789,224.00, 322.00, 9.00, 320.00, 112.00, 218.00, 562.00, 397.00,,
1747308790,224.00, 321.00, 11.00, 320.00, 112.00, 217.00, 561.00, 396.00,,
1747308791,223.00, 321.00, 9.00, 319.00, 112.00, 218.00, 561.00, 397.00,,
1747308792,223.00, 321.00, 12.00, 320.00, 112.00, 217.00, 561.00, 397.00,,
1747308793,224.00, 321.00, 11.00, 320.00, 112.00, 217.00, 561.00, 397.00,,
1747308794,223.00, 320.00, 9.00, 320.00, 112.00, 217.00, 560.00, 396.00,,
1747308795,223.00, 320.00, 9.00, 320.00, 112.00, 217.00, 560.00, 397.00,,
1747308796,223.00, 321.00, 10.00, 320.00, 112.00, 218.00, 561.00, 396.00,,
1747308797,223.00, 321.00, 10.00, 320.00, 112.00, 218.00, 562.00, 396.00,,
1747308798,223.00, 320.00, 10.00, 319.00, 112.00, 217.00, 559.00, 396.00,,
