Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747308816,224.00, 321.00, 10.00, 320.00, 112.00, 218.00, 562.00, 396.00,,
1747308817,224.00, 321.00, 9.00, 320.00, 112.00, 218.00, 562.00, 397.00,,
1747308818,223.00, 321.00, 10.00, 320.00, 112.00, 218.00, 562.00, 396.00,,
1747308819,223.00, 320.00, 11.00, 319.00, 111.00, 218.00, 562.00, 396.00,,
1747308820,223.00, 320.00, 10.00, 319.00, 112.00, 217.00, 563.00, 397.00,,
1747308821,223.00, 321.00, 10.00, 320.00, 112.00, 218.00, 563.00, 397.00,,
1747308822,223.00, 320.00, 9.00, 319.00, 111.00, 218.00, 561.00, 395.00,,
1747308823,224.00, 320.00, 10.00, 319.00, 112.00, 218.00, 562.00, 396.00,,
1747308824,223.00, 320.00, 10.00, 320.00, 112.00, 218.00, 563.00, 397.00,,
1747308825,224.00, 321.00, 6.00, 320.00, 112.00, 218.00, 563.00, 396.00,,
1747308826,223.00, 320.00, 9.00, 320.00, 112.00, 218.00, 563.00, 396.00,,
1747308827,224.00, 320.00, 10.00, 319.00, 112.00, 218.00, 563.00, 397.00,,
1747308828,224.00, 320.00, 10.00, 320.00, 112.00, 218.00, 563.00, 397.00,,
1747308829,223.00, 320.00, 9.00, 319.00, 112.00, 218.00, 563.00, 395.00,,
1747308830,224.00, 320.00, 10.00, 319.00, 112.00, 218.00, 562.00, 396.00,,
1747308831,224.00, 321.00, 9.00, 320.00, 112.00, 218.00, 563.00, 397.00,,
1747308832,224.00, 321.00, 9.00, 320.00, 112.00, 219.00, 564.00, 397.00,,
1747308833,223.00, 319.00, 9.00, 319.00, 112.00, 219.00, 562.00, 396.00,,
1747308834,224.00, 320.00, 9.00, 320.00, 112.00, 218.00, 563.00, 397.00,,
1747308835,224.00, 320.00, 10.00, 320.00, 112.00, 218.00, 562.00, 397.00,,
1747308836,224.00, 320.00, 9.00, 319.00, 111.00, 218.00, 561.00, 396.00,,
1747308837,223.00, 320.00, 10.00, 320.00, 112.00, 218.00, 560.00, 395.00,,
1747308838,224.00, 321.00, 10.00, 320.00, 112.00, 218.00, 560.00, 395.00,,
1747308839,223.00, 320.00, 11.00, 320.00, 112.00, 218.00, 559.00, 395.00,,
1747308840,223.00, 320.00, 9.00, 319.00, 112.00, 217.00, 558.00, 394.00,,
1747308841,223.00, 321.00, 10.00, 320.00, 112.00, 217.00, 558.00, 394.00,,
1747308842,223.00, 320.00, 10.00, 319.00, 111.00, 216.00, 555.00, 392.00,,
1747308843,223.00, 320.00, 10.00, 319.00, 111.00, 216.00, 556.00, 393.00,,
1747308844,223.00, 320.00, 10.00, 319.00, 111.00, 216.00, 556.00, 393.00,,
1747308845,222.00, 319.00, 10.00, 319.00, 111.00, 215.00, 556.00, 392.00,,
1747308846,222.00, 320.00, 10.00, 319.00, 111.00, 215.00, 556.00, 392.00,,
1747308847,221.00, 319.00, 9.00, 318.00, 111.00, 214.00, 554.00, 391.00,,
1747308848,222.00, 319.00, 5.00, 319.00, 111.00, 215.00, 555.00, 391.00,,
1747308849,222.00, 320.00, 11.00, 319.00, 110.00, 214.00, 556.00, 392.00,,
1747308850,222.00, 320.00, 9.00, 318.00, 110.00, 213.00, 555.00, 390.00,,
1747308851,221.00, 320.00, 10.00, 318.00, 110.00, 213.00, 555.00, 390.00,,
1747308852,221.00, 319.00, 11.00, 319.00, 110.00, 213.00, 555.00, 390.00,,
1747308853,221.00, 320.00, 10.00, 318.00, 110.00, 213.00, 556.00, 390.00,,
1747308854,220.00, 319.00, 8.00, 318.00, 110.00, 213.00, 555.00, 389.00,,
1747308855,221.00, 320.00, 9.00, 318.00, 110.00, 213.00, 556.00, 389.00,,
