Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747308643,224.00, 322.00, 11.00, 322.00, 113.00, 219.00, 566.00, 407.00,,
1747308644,223.00, 323.00, 9.00, 322.00, 113.00, 220.00, 566.00, 406.00,,
1747308645,223.00, 323.00, 10.00, 321.00, 113.00, 218.00, 565.00, 405.00,,
1747308646,222.00, 323.00, 10.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308647,224.00, 323.00, 10.00, 322.00, 113.00, 219.00, 567.00, 406.00,,
1747308648,223.00, 323.00, 10.00, 321.00, 113.00, 218.00, 565.00, 405.00,,
1747308649,223.00, 322.00, 10.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308650,223.00, 323.00, 9.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308651,224.00, 323.00, 11.00, 321.00, 113.00, 219.00, 566.00, 405.00,,
1747308652,222.00, 322.00, 10.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308653,223.00, 323.00, 11.00, 323.00, 113.00, 219.00, 567.00, 406.00,,
1747308654,223.00, 323.00, 11.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308655,222.00, 322.00, 11.00, 321.00, 113.00, 219.00, 566.00, 405.00,,
1747308656,223.00, 323.00, 9.00, 322.00, 113.00, 220.00, 567.00, 406.00,,
1747308657,223.00, 322.00, 8.00, 323.00, 113.00, 219.00, 567.00, 406.00,,
1747308658,224.00, 323.00, 10.00, 322.00, 113.00, 220.00, 565.00, 405.00,,
1747308659,223.00, 323.00, 9.00, 322.00, 113.00, 219.00, 566.00, 405.00,,
1747308660,224.00, 322.00, 10.00, 322.00, 113.00, 220.00, 567.00, 405.00,,
1747308661,223.00, 323.00, 10.00, 322.00, 113.00, 219.00, 567.00, 406.00,,
1747308662,223.00, 322.00, 11.00, 321.00, 113.00, 219.00, 566.00, 405.00,,
1747308663,224.00, 323.00, 9.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308664,223.00, 323.00, 8.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308665,222.00, 322.00, 10.00, 321.00, 113.00, 219.00, 564.00, 405.00,,
1747308666,224.00, 323.00, 9.00, 322.00, 113.00, 220.00, 566.00, 405.00,,
1747308667,223.00, 323.00, 9.00, 322.00, 113.00, 219.00, 566.00, 406.00,,
1747308668,222.00, 322.00, 10.00, 321.00, 113.00, 219.00, 566.00, 405.00,,
1747308669,224.00, 323.00, 11.00, 322.00, 114.00, 219.00, 566.00, 405.00,,
1747308670,224.00, 323.00, 9.00, 322.00, 113.00, 220.00, 566.00, 405.00,,
1747308671,223.00, 322.00, 9.00, 322.00, 113.00, 219.00, 565.00, 404.00,,
1747308672,224.00, 322.00, 9.00, 322.00, 113.00, 220.00, 567.00, 406.00,,
1747308673,223.00, 322.00, 11.00, 320.00, 113.00, 219.00, 565.00, 406.00,,
1747308674,224.00, 322.00, 9.00, 322.00, 114.00, 220.00, 566.00, 405.00,,
1747308675,224.00, 323.00, 10.00, 322.00, 113.00, 219.00, 566.00, 405.00,,
1747308676,223.00, 322.00, 10.00, 322.00, 113.00, 220.00, 567.00, 405.00,,
1747308677,224.00, 323.00, 11.00, 321.00, 113.00, 220.00, 566.00, 405.00,,
1747308678,223.00, 322.00, 10.00, 321.00, 113.00, 219.00, 565.00, 405.00,,
1747308679,224.00, 323.00, 8.00, 322.00, 113.00, 220.00, 567.00, 405.00,,
1747308680,223.00, 322.00, 11.00, 321.00, 113.00, 219.00, 566.00, 405.00,,
1747308681,224.00, 324.00, 10.00, 322.00, 113.00, 220.00, 566.00, 405.00,,
1747308682,225.00, 323.00, 10.00, 321.00, 113.00, 220.00, 566.00, 405.00,,
