Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,humidity,temperature
1747308368,234.00, 299.00, 9.00, 333.00, 98.00, 230.00, 594.00, 368.00,,
1747308369,235.00, 299.00, 9.00, 333.00, 99.00, 240.00, 601.00, 378.00,,
1747308370,235.00, 300.00, 8.00, 333.00, 101.00, 248.00, 605.00, 388.00,,
1747308371,235.00, 300.00, 9.00, 335.00, 104.00, 256.00, 606.00, 401.00,,
1747308372,244.00, 300.00, 10.00, 340.00, 109.00, 262.00, 615.00, 411.00,,
1747308373,250.00, 300.00, 9.00, 341.00, 112.00, 264.00, 615.00, 419.00,,
1747308374,254.00, 301.00, 9.00, 342.00, 115.00, 265.00, 617.00, 428.00,,
1747308375,255.00, 302.00, 11.00, 343.00, 118.00, 264.00, 617.00, 433.00,,
1747308376,256.00, 302.00, 9.00, 342.00, 119.00, 263.00, 618.00, 439.00,,
1747308377,256.00, 304.00, 9.00, 345.00, 121.00, 263.00, 620.00, 445.00,,
1747308378,256.00, 303.00, 9.00, 343.00, 122.00, 261.00, 617.00, 447.00,,
1747308379,256.00, 302.00, 9.00, 343.00, 124.00, 259.00, 616.00, 449.00,,
1747308380,256.00, 302.00, 10.00, 343.00, 125.00, 259.00, 616.00, 453.00,,
1747308381,257.00, 305.00, 9.00, 345.00, 126.00, 259.00, 617.00, 458.00,,
1747308382,257.00, 305.00, 9.00, 345.00, 128.00, 259.00, 617.00, 460.00,,
1747308383,265.00, 315.00, 9.00, 355.00, 133.00, 266.00, 631.00, 477.00,,
1747308384,267.00, 316.00, 9.00, 356.00, 135.00, 267.00, 629.00, 481.00,,
1747308385,266.00, 316.00, 10.00, 355.00, 135.00, 265.00, 624.00, 482.00,,
1747308386,260.00, 307.00, 9.00, 348.00, 133.00, 264.00, 591.00, 474.00,,
1747308387,273.00, 325.00, 10.00, 368.00, 146.00, 277.00, 642.00, 510.00,,
1747308388,262.00, 317.00, 9.00, 355.00, 144.00, 267.00, 619.00, 498.00,,
1747308389,261.00, 319.00, 9.00, 356.00, 148.00, 265.00, 619.00, 504.00,,
1747308390,260.00, 321.00, 10.00, 355.00, 149.00, 264.00, 619.00, 509.00,,
1747308391,257.00, 321.00, 12.00, 352.00, 150.00, 262.00, 615.00, 510.00,,
1747308392,259.00, 326.00, 10.00, 356.00, 153.00, 264.00, 619.00, 518.00,,
1747308393,257.00, 325.00, 11.00, 353.00, 153.00, 261.00, 614.00, 517.00,,
1747308394,257.00, 325.00, 10.00, 353.00, 154.00, 260.00, 612.00, 520.00,,
1747308395,256.00, 326.00, 12.00, 352.00, 155.00, 259.00, 607.00, 520.00,,
1747308396,256.00, 327.00, 10.00, 351.00, 155.00, 257.00, 603.00, 520.00,,
1747308397,256.00, 328.00, 10.00, 351.00, 157.00, 256.00, 601.00, 522.00,,
1747308398,255.00, 328.00, 10.00, 350.00, 157.00, 255.00, 599.00, 521.00,,
1747308399,254.00, 329.00, 10.00, 349.00, 156.00, 252.00, 594.00, 518.00,,
1747308400,253.00, 330.00, 10.00, 348.00, 157.00, 250.00, 593.00, 519.00,,
1747308401,251.00, 328.00, 10.00, 346.00, 156.00, 247.00, 589.00, 515.00,,
1747308402,251.00, 329.00, 10.00, 346.00, 156.00, 244.00, 586.00, 514.00,,
1747308403,249.00, 329.00, 11.00, 344.00, 155.00, 241.00, 582.00, 510.00,,
1747308404,249.00, 330.00, 9.00, 343.00, 155.00, 241.00, 583.00, 511.00,,
1747308405,248.00, 331.00, 11.00, 343.00, 155.00, 240.00, 582.00, 510.00,,
1747308406,246.00, 330.00, 10.00, 341.00, 154.00, 238.00, 579.00, 507.00,,
1747308407,245.00, 330.00, 10.00, 340.00, 154.00, 237.00, 579.00, 507.00,,
