Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1758089847,61.00, 291.00, 8.00, 259.00, 49.00, 64.00, 121.00," 287.0000"
1758089848,61.00, 291.00, 8.00, 259.00, 49.00, 64.00, 121.00," 287.0000"
1758089849,61.00, 291.00, 8.00, 259.00, 49.00, 64.00, 121.00," 287.0000"
1758089850,61.00, 291.00, 8.00, 259.00, 49.00, 64.00, 121.00, 287.00
1758089852,56.00, 291.00, 8.00, 258.00, 48.00, 62.00, 121.00, 285.00
1758089853,56.00, 290.00, 8.00, 257.00, 48.00, 63.00, 121.00, 285.00
1758089854,55.00, 290.00, 8.00, 257.00, 48.08.00, 63.00, 121.00, 285.00
1758089855,55.00, 290.00, 8.00, 257.00, 48.00, 62.00, 121.00, 285.00
1758089857,52.00, 290.00, 7.00, 256.00, 48.00, 62.00, 120.00, 283.00
1758089858,51.00, 290.00, 8.00, 255.00, 48.00, 62.00, 119.00, 283.00
1758089859,51.00, 289.00, 8.00, 254.00, 48.00, 62.00, 119.00, 282.00
1758089861,49.00, 288.00, 8.00, 253.00, 48.00, 61.00, 119.00, 281.00
1758089862,49.00, 288.00, 8.00, 253.00, 48.00, 61.00, 118.00, 280.00
1758089863,48.00, 288.00, 7.00, 253.00, 47.00, 61.00, 118.00, 280.00
1758089865,48.00, 288.00, 7.00, 252.00, 47.00, 61.00, 118.00, 278.00
1758089866,47.00, 287.00, 8.00, 251.00, 47.00, 60.00, 117.00, 277.00
1758089867,47.00, 287.00, 8.00, 251.00, 47.00, 60.00, 118.00, 278.00
1758089869,46.00, 286.00, 7.00, 251.00, 47.00, 61.00, 117.00, 276.00
1758089870,47.00, 287.00, 8.00, 251.00, 46.00, 60.00, 117.00, 276.00
1758089874,45.00, 284.00, 7.00, 250.00, 46.00, 60.00, 115.00, 272.00
1758089875,45.00, 285.00, 7.00, 249.00, 46.00, 60.00, 116.00, 273.00
1758089877,44.00, 284.00, 8.00, 249.00, 45.00, 60.00, 115.00, 270.00
1758089878,44.00, 284.00, 7.00, 249.00, 45.00, 60.00, 115.00, 270.00
1758089879,44.00, 284.00.00, 7.00, 249.00, 45.00, 60.00, 115.00, 270.00
1758089880,44.00, 284.00, 7.00, 249.00, 45.00, 60.00, 115.00, 270.00
1758089882,43.00, 282.00, 7.00, 247.00, 44.00, 59.00, 114.00, 268.00
1758089885,43.00, 283.00, 7.00, 247.00, 44.00, 59.00, 114.00, 267.00
1758089887,43.00, 281.00, 7.00, 247.00, 44.00, 59.00, 113.00, 265.00
1758089888,42.00, 280.00, 8.00, 247.00, 44.00, 59.00, 114.00, 265.00
1758089890,42.00, 281.00, 8.00, 247.00, 44.00, 59.00, 114.00, 265.00
1758089892,42.00, 279.00, 7.00, 245.00, 43.00, 58.58.00, 113.00, 263.00
1758089893,42.00, 279.00, 7.00, 245.00, 43.00, 58.58.00, 113.00, 263.00
1758089894,42.00, 279.00, 7.00, 245.00, 43.00, 58.58.00, 113.00, 263.00
1758089895,42.00, 279.00, 7.00, 245.00, 43.00, 58.00, 113.00, 262.00
1758089897,42.00, 279.00, 7.00, 245.00, 43.00, 58.00, 112.00, 260.00
1758089898,42.00, 278.00, 7.00, 246.00, 42.00, 58.00, 112.00, 261.00
1758089899,42.00, 279.00, 7.00, 246.00, 42.00, 58.00, 112.00, 261.00
1758089901,41.00, 278.00, 8.00, 245.00, 42.00, 58.00, 112.00, 259.00
1758089902,41.00, 277.00, 8.00, 244.00, 42.00, 58.00, 112.00, 259.00
1758089907,40.00, 275.00, 7.00, 244.00, 42.00, 58.58.00, 111.00, 256.00
