Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1758099398,35.00, 197.00, 1.00, 243.00, 28.00, 51.00, 95.00, 185.00
1758099399,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 95.00, 185.00
1758099400,36.00, 197.00, 1.00, 242.00, 28.00, 50.00, 95.00, 184.00
1758099401,35.00, 197.00, 2.00, 242.00, 28.00, 50.00, 94.00, 185.00
1758099402,36.00, 197.00, 2.00, 243.00, 28.00, 51.00, 96.00, 185.00
1758099403,35.00, 197.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099404,36.00, 197.00, 2.00, 242.00, 28.00, 50.00, 95.00, 184.00
1758099405,35.00, 197.00, 2.00, 243.00, 28.00, 50.00, 95.00, 185.00
1758099406,35.00, 197.00, 2.00, 242.00, 28.00, 51.00, 95.00, 185.00
1758099407,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099408,36.00, 198.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099409,36.00, 197.00, 3.00, 242.00, 27.00, 51.00, 95.00, 184.00
1758099410,35.00, 198.00, 2.00, 242.00, 27.00, 50.00, 95.00, 184.00
1758099411,35.00, 198.00, 2.00, 243.00, 28.00, 50.00, 95.00, 185.00
1758099412,35.00, 197.00, 3.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099413,36.00, 197.00, 2.00, 242.00, 28.00, 50.00, 95.00, 184.00
1758099414,35.00, 196.00, 3.00, 242.00, 28.00, 51.00, 95.00, 185.00
1758099415,35.00, 196.00, 1.00, 243.00, 28.00, 51.00, 95.00, 185.00
1758099416,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099417,36.00, 197.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099418,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099419,36.00, 198.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099420,35.00, 197.00, 2.00, 242.00, 28.00, 50.00, 95.00, 184.00
1758099421,36.00, 197.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099422,35.00, 197.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099423,36.00, 197.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099424,35.00, 197.00, 2.00, 242.00, 28.00, 50.00, 95.00, 184.00
1758099425,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 96.00, 184.00
1758099426,35.00, 196.00, 3.00, 242.00, 28.00, 50.00, 95.00, 184.00
1758099427,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099428,35.00, 196.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099429,35.00, 196.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099430,35.00, 196.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099431,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099432,35.00, 196.00, 2.00, 242.00, 27.00, 50.00, 95.00, 184.00
1758099433,35.00, 197.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
1758099434,36.00, 197.00, 3.00, 242.00, 27.00, 51.00, 95.00, 184.00
1758099435,36.00, 197.00, 1.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099436,36.00, 196.00, 2.00, 242.00, 28.00, 51.00, 95.00, 184.00
1758099437,36.00, 196.00, 2.00, 243.00, 28.00, 51.00, 95.00, 184.00
