Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1758104618,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104619,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104620,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104621,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104622,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104623,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104624,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104625,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104626,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104627,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104628,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104629,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104630,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104631,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104632,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104633,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104634,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104635,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104636,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104637,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104638,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104639,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104640,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104641,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104642,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104643,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104644,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104645,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104646,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104647,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104648,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104649,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104650,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104651,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104652,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104653,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104654,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104655,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104656,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
1758104657,0, 179.00, 1.00, 249.00, 27.00, 53.00, 96.00, 182.00
