Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1757925949,49.00, 162.00, 1.00, 225.00, 33.00, 48.00, 97.00, 177.00
1757925950,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925951,48.00, 163.00, 1.00, 225.00, 33.00, 48.00, 97.00, 177.00
1757925952,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 176.00
1757925953,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925954,48.00, 163.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925955,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 96.00, 177.00
1757925956,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925957,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 96.00, 177.00
1757925958,48.00, 161.00, 1.00, 224.00, 33.00, 48.00, 96.00, 176.00
1757925959,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925960,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925961,48.00, 162.00, 2.00, 225.00, 33.00, 48.00, 97.00, 177.00
1757925962,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 96.00, 176.00
1757925963,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925964,48.00, 163.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925965,48.00, 161.00, 1.00, 223.00, 33.00, 48.00, 96.00, 177.00
1757925966,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925967,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 176.00
1757925968,48.00, 161.00, 2.00, 224.00, 33.00, 48.00, 96.00, 177.00
1757925969,48.00, 161.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925970,48.00, 163.00, 1.00, 224.00, 33.00, 48.00, 97.00, 176.00
1757925971,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925972,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925973,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925974,48.00, 162.00, 1.00, 225.00, 33.00, 48.00, 97.00, 177.00
1757925975,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925976,48.00, 163.00, 1.00, 225.00, 33.00, 48.00, 97.00, 177.00
1757925977,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925978,48.00, 161.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925979,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 96.00, 176.00
1757925980,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925981,48.00, 162.00, 2.00, 225.00, 33.00, 48.00, 97.00, 177.00
1757925982,48.00, 161.00, 1.00, 223.00, 33.00, 48.00, 96.00, 176.00
1757925983,48.00, 163.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925984,48.00, 163.00, 2.00, 224.00, 32.00, 48.00, 96.00, 177.00
1757925985,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925986,48.00, 162.00, 1.00, 224.00, 33.00, 48.00, 97.00, 177.00
1757925987,48.00, 161.00, 1.00, 224.00, 33.00, 48.00, 96.00, 176.00
1757925988,48.00, 162.00, 2.00, 224.00, 33.00, 48.00, 97.00, 177.00
