Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1757926565,90.00, 199.00, 2.00, 250.00, 71.00, 56.00, 125.00, 341.00
1757926566,90.00, 200.00, 3.00, 250.00, 71.00, 56.00, 126.00, 342.00
1757926567,90.00, 200.00, 2.00, 250.00, 71.00, 57.00, 125.00, 341.00
1757926568,89.00, 200.00, 3.00, 250.00, 71.00, 56.00, 125.00, 340.00
1757926569,88.00, 200.00, 2.00, 250.00, 71.00, 56.00, 125.00, 340.00
1757926570,88.00, 200.00, 3.00, 250.00, 71.00, 56.00, 125.00, 340.00
1757926571,89.00, 200.00, 1.00, 250.00, 71.00, 56.00, 125.00, 340.00
1757926572,88.00, 199.00, 0.00, 250.00, 71.00, 56.00, 124.00, 339.00
1757926573,88.00, 200.00, 3.00, 250.00, 71.00, 56.00, 124.00, 339.00
1757926574,88.00, 199.00, 1.00, 249.00, 71.00, 56.00, 124.00, 341.00
1757926575,88.00, 200.00, 3.00, 250.00, 71.00, 58.00, 127.00, 346.00
1757926576,88.00, 200.00, 2.00, 251.00, 73.00, 60.00, 130.00, 353.00
1757926577,89.00, 199.00, 3.00, 252.00, 74.00, 62.00, 132.00, 358.00
1757926578,91.00, 201.00, 0.00, 257.00, 76.00, 63.00, 135.00, 364.00
1757926579,94.00, 200.00, 3.00, 260.00, 78.00, 65.00, 138.00, 367.00
1757926580,100.00, 200.00, 0.00, 265.00, 80.00, 67.00, 140.00, 374.00
1757926581,107.00, 200.00, 1.00, 268.00, 82.00, 67.00, 142.00, 377.00
1757926582,115.00, 200.00, 3.00, 271.00, 83.00, 68.00, 144.00, 380.00
1757926583,124.00, 201.00, 2.00, 275.00, 85.00, 68.00, 146.00, 385.00
1757926584,133.00, 201.00, 3.00, 277.00, 86.00, 69.00, 147.00, 388.00
1757926585,141.00, 202.00, 1.00, 280.00, 87.00, 70.00, 150.00, 392.00
1757926586,148.00, 202.00, 3.00, 283.00, 89.00, 70.00, 151.00, 395.00
1757926587,154.00, 203.00, 2.00, 285.00, 90.00, 71.00, 153.00, 397.00
1757926588,160.00, 203.00, 3.00, 288.00, 91.00, 71.00, 154.00, 401.00
1757926589,165.00, 203.00, 3.00, 290.00, 93.00, 72.00, 155.00, 403.00
1757926590,170.00, 204.00, 1.00, 292.00, 94.00, 72.00, 157.00, 407.00
1757926591,175.00, 204.00, 3.00, 294.00, 95.00, 72.00, 157.00, 407.00
1757926592,180.00, 205.00, 2.00, 296.00, 96.00, 73.00, 159.00, 412.00
1757926593,186.00, 205.00, 2.00, 298.00, 98.00, 73.00, 159.00, 413.00
1757926594,194.00, 205.00, 3.00, 300.00, 100.00, 74.00, 161.00, 416.00
1757926595,198.00, 206.00, 2.00, 301.00, 101.00, 74.00, 161.00, 416.00
1757926596,200.00, 206.00, 3.00, 302.00, 101.00, 74.00, 161.00, 417.00
1757926597,202.00, 206.00, 2.00, 303.00, 102.00, 74.00, 163.00, 419.00
1757926598,202.00, 207.00, 4.00, 302.00, 103.00, 74.00, 163.00, 421.00
1757926599,202.00, 208.00, 2.00, 304.00, 104.00, 74.00, 163.00, 422.00
1757926600,202.00, 207.00, 3.00, 305.00, 105.00, 73.00, 164.00, 422.00
1757926601,202.00, 208.00, 2.00, 305.00, 106.00, 73.00, 164.00, 422.00
1757926602,202.00, 209.00, 2.00, 306.00, 106.00, 73.00, 165.00, 426.00
1757926603,201.00, 208.00, 3.00, 306.00, 106.00, 72.00, 165.00, 425.00
1757926604,202.00, 209.00, 2.00, 307.00, 108.00, 72.00, 166.00, 427.00
