Time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1757924225,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924225,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924226,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924227,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924228,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924229,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924230,49.00, 179.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924231,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924232,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924233,49.00, 180.00, 2.00, 229.00, 36.00, 50.00, 103.00, 193.00
1757924234,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924235,49.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924236,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924237,49.00, 179.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924238,49.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924239,50.00, 179.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924240,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924241,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924242,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924243,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924250,49.00, 179.00, 2.00, 229.00, 36.00, 50.00, 103.00, 192.00
1757924251,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924252,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924253,49.00, 180.00, 2.00, 229.00, 36.00, 50.00, 103.00, 192.00
1757924254,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924255,50.00, 181.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
1757924256,49.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924257,50.00, 180.00, 2.00, 229.00, 36.00, 50.00, 103.00, 193.00
1757924258,50.00, 180.00, 2.00, 230.00, 36.00, 50.00, 103.00, 193.00
1757924259,50.00, 179.00, 2.00, 230.00, 36.00, 50.00, 103.00, 192.00
